"Oecophylla_smaragdina"	"Crematogaster_fusca"	"Anonychomyrma_gilberti"	"Crematogaster_pythia"	"Polyrhachis_foreli"	"Technomyrmex_albipes_"	"Paratrechina_vaga"	"Pheidole_platypus"	"Monomorium_floricola"	"Camponotus_vitreus"	"Leptomyrmex_unicolor"	"Tetramorium_validiusculum"	"Polyrhachis_sp1_M_PA_004"	"Turneria_bidentata"	"Rhoptromyrmex_wroughtonii"	"Polyrhachis_sp2_M_PA_004"	"Polyrhachis_yorkana"	"Tapinoma_melanocephalum"	"Camponotus_sp1_M_PA_004"	"Tetraponera_nitida"	"Crematogaster_sp1_M_PA_004"	"Camponotus_sp2_M_PA_004"	"Paratrechina_minutula"	"Pheidole_impressiceps"	"Pheidole_sp1_M_PA_004"	"Polyrhachis_sp3_M_PA_004"	"Monomorium_intrudens"	"Polyrhachis_sp4_M_PA_004"	"Tapinoma_minutum"	"Tetramorium_insolens"	"Echinopla_australis"	"Monomorium_fieldi"	"Odontomachus_cephalotes"	"Polyrhachis_cupreata"	"Polyrhachis_mucronata"	"Polyrhachis_thusnelda"	"Rhytidoponera_spoliata"	"Camponotus_sp3_M_PA_004"	"Podomyrma_sp1_M_PA_004"	"Polyrhachis_delicata"	"Strumigenys_guttulata"	"Merremia_peltata"	"Flagellaria_indica"	"Macaranga_involucrata_subsp._mallotoides"	"Homalanthus_novoguineensis"	"Entada_phaseoloides"	"Ardisia_pachyrrhachis"	"Ipomoea_indica"	"Rockinghamia_angustifolia"	"Syzygium_erythrocalyx"	"Cryptocarya_murrayi"	"Ichnocarpus_frutescens"	"Normanbya_normanbyi"	"Dysoxylum_pettigrewianum"	"Endospermum_myrmecophilum"	"Licuala_ramsayi"	"Castanospermum_australe"	"Archontophoenix_alexandrae"	"Cardwellia_sublimis"	"Clerodendrum_tracyanum"	"Mallotus_mollissimus"	"Smilax_cf._australis"	"Elaeocarpus_angustifolius"	"Glochidion_philippicum"	"Wrightia_laevis_subsp._millgar"	"Adenia_heterophylla"	"Ficus_septica"	"Jasminum_didymum"	"Macaranga_tanarius"	"Mucuna_gigantea"	"Pachygone_longifolia"	"Passiflora_sp._indet."	"Syzygium_sayeri"	"Trichosanthes_pentaphylla"	"Dysoxylum_papuanum"	"Euodia_sp1_M_PA_004"	"Syzygium_gustavioides"	"Unidentified_sp1_M_PA_004"	"Aleurites_rockinghamensis"	"Crotalaria_sp1_M_PA_004"	"Cryptocarya_hypospodia"	"Dysoxylum_mollissimum_subsp._molle"	"Embelia_caulialata"	"Mallotus_paniculatus"	"Neosepicaea_jucunda"	"Stephania_japonica"	"Syzygium_cormiflorum"	"Toona_ciliata"	"Urena_lobata"
"Oecophylla_smaragdina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258064516129032	0.0172043010752688	0.0032258064516129	0	0.0129032258064516	0	0	0.0010752688172043	0.0010752688172043	0.0010752688172043	0	0.00537634408602151	0	0	0.00430107526881721	0.0010752688172043	0.0021505376344086	0.0021505376344086	0	0	0.00537634408602151	0.0010752688172043	0	0.0021505376344086	0.0021505376344086	0	0.0010752688172043	0	0	0.0021505376344086	0.0010752688172043	0	0.0010752688172043	0.0021505376344086	0	0	0.0010752688172043	0	0	0.0010752688172043	0	0	0	0	0	0.0010752688172043	0.0010752688172043	0
"Crematogaster_fusca"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148148148148148	0.0209876543209877	0.00740740740740741	0.0037037037037037	0.00493827160493827	0.00864197530864197	0.00740740740740741	0.00246913580246914	0.00493827160493827	0.00123456790123457	0.00123456790123457	0.00123456790123457	0.00246913580246914	0.00123456790123457	0	0.00246913580246914	0	0	0.00123456790123457	0.00246913580246914	0.00123456790123457	0	0.00123456790123457	0.00123456790123457	0	0.0037037037037037	0.00123456790123457	0	0	0	0	0	0.00246913580246914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anonychomyrma_gilberti"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158730158730159	0.019047619047619	0.00634920634920635	0.00476190476190476	0.0126984126984127	0.00158730158730159	0	0.00317460317460317	0.0126984126984127	0	0.00476190476190476	0	0.00158730158730159	0	0.00158730158730159	0.00317460317460317	0	0.00158730158730159	0	0	0	0.00317460317460317	0.00158730158730159	0	0.00158730158730159	0	0	0	0	0	0	0.00158730158730159	0	0	0	0.00158730158730159	0	0	0	0	0	0.00158730158730159	0	0	0	0	0	0
"Crematogaster_pythia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0261904761904762	0.0142857142857143	0.0214285714285714	0.00238095238095238	0	0.00238095238095238	0.00714285714285714	0.00238095238095238	0.00238095238095238	0.00238095238095238	0	0	0	0	0.00238095238095238	0	0	0.00476190476190476	0	0	0	0	0	0.00238095238095238	0	0	0	0.00238095238095238	0.00238095238095238	0	0.00238095238095238	0	0	0	0	0	0	0	0	0	0	0	0.00238095238095238	0	0	0	0	0
"Polyrhachis_foreli"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0292682926829268	0.0024390243902439	0.0024390243902439	0	0.00487804878048781	0	0.0024390243902439	0.0024390243902439	0	0.00975609756097561	0.0121951219512195	0.0146341463414634	0	0	0.00487804878048781	0	0.00487804878048781	0	0	0	0	0	0.0024390243902439	0	0	0	0.0024390243902439	0	0	0	0	0	0	0	0	0.0024390243902439	0	0	0	0	0	0	0	0	0.0024390243902439	0	0	0
"Technomyrmex_albipes_"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00810810810810811	0.0351351351351351	0.0189189189189189	0.00540540540540541	0	0.0027027027027027	0.00540540540540541	0	0	0.0027027027027027	0.0027027027027027	0	0	0.0027027027027027	0.0027027027027027	0.0027027027027027	0	0.0027027027027027	0.00540540540540541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0027027027027027
"Paratrechina_vaga"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00588235294117647	0.00882352941176471	0.0205882352941176	0.0235294117647059	0	0.00882352941176471	0.00588235294117647	0	0	0	0	0	0.00588235294117647	0.00882352941176471	0	0	0	0	0	0.00294117647058824	0	0	0	0	0	0	0	0	0.00294117647058824	0	0	0	0	0	0	0	0	0.00294117647058824	0.00294117647058824	0	0	0	0	0	0	0	0	0
"Pheidole_platypus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129032258064516	0.0129032258064516	0.0258064516129032	0.0161290322580645	0	0.0129032258064516	0.0032258064516129	0	0	0	0	0	0	0.00645161290322581	0	0	0	0	0	0.0032258064516129	0	0	0	0	0	0.0032258064516129	0	0	0.0032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Monomorium_floricola"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153846153846154	0.0153846153846154	0.0115384615384615	0.00769230769230769	0.00384615384615385	0.00769230769230769	0.0115384615384615	0.00384615384615385	0.00384615384615385	0.00769230769230769	0	0	0.00384615384615385	0	0	0	0	0	0	0	0	0	0	0	0.00384615384615385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384615384615385	0	0	0	0	0	0	0
"Camponotus_vitreus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0130434782608696	0.00434782608695652	0.0304347826086957	0.00434782608695652	0.00434782608695652	0	0	0	0	0.00434782608695652	0.00869565217391304	0	0	0	0	0.00434782608695652	0	0	0.00869565217391304	0.00434782608695652	0	0	0.00434782608695652	0	0	0	0	0.00434782608695652	0	0	0	0.00434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptomyrmex_unicolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0.01875	0	0.00625	0	0	0	0	0	0.0125	0.00625	0.025	0	0	0.0125	0	0.00625	0.00625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramorium_validiusculum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01875	0.0125	0.01875	0.00625	0.00625	0.01875	0.00625	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polyrhachis_sp1_M_PA_004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.02	0	0.00666666666666667	0.02	0	0	0	0	0.0133333333333333	0	0.00666666666666667	0	0	0	0	0	0	0	0	0	0.00666666666666667	0	0	0	0	0	0	0	0	0.00666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turneria_bidentata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.00833333333333333	0	0	0	0	0	0	0.0166666666666667	0	0	0.0166666666666667	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0	0
