"Sideroxylon_cinereum"	"Molinaea_alternifolia"	"Aphloia_theiformis"	"Croton_fothergillifolius"	"Syzygium_venosum"	"Roussea_simplex"	"Stillingia_lineata"	"Dracaena_reflexa"	"Bertiera_zaluzania"	"Coffea_mauritiana"	"Chassalia_coriacea"	"Claoxylon_linostachys"	"Psiadia_terebinthina"	"Antidesma_madagascariense"	"Antirhea_borbonica"	"Toddalia_asiatica"	"Erythroxylum_macrocarpum"	"Pandanus_wiehii"	"Agauria_salicifolia"	"Flagellaria_indica"	"Polyscias_mauritiana"	"Stomorhina_lunata"	"Technomyrmex_albipes"	"Brachymyrmex_sp1_M_PL_063"	"Apis_mellifera"	"Pachycerina_crinicornis"	"Musca_domestica"	"Fannia_pusio"	"Chaetocnema_sp1_M_PL_063"	"Ophyra_capensis"	"Panara_naso"	"Polistes_hebraeus"	"Allograpta_nasuta"	"Lygistorrhina_sp1_M_PL_063"	"Stomoxys_calcitrans"	"Ischiodon_aegyptius"	"Nacoleia_sp1_M_PL_063"	"Chrysomya_megacephala"	"Dioxyna_sororcula"	"Eristalinus_flaveolus"	"Melanostoma_bituberculatum"	"Phelsuma_cepediana"	"Phorinia_sp1_M_PL_063"	"Sarcophaga_arno"	"Cephonodes_trochilus"	"Ornidia_obesa"	"Graphomya_maculata"	"Lecithoceridae_sp1_M_PL_063"	"Nacoleia_sp2_M_PL_063"	"Psilopa_iceryae"	"Syritta_nigrofemorata"	"Syritta_sp1_M_PL_063"	"Cryptinae_sp1_M_PL_063"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_063"	"Homoneura_sp1_M_PL_063"	"Hydrillodes_sp1_M_PL_063"	"Leptotes_pirithous"	"Macroglossum_milvus"	"Mauritiborium_undulatus"	"Orthellia_albigena"	"Remigia_frugalis"	"Scatopsidae_sp1_M_PL_063"	"Stomoxys_niger"	"Tarundia_servillei"	"Trichoplusia_indicator"	"Zosterops_mauritianus"
"Sideroxylon_cinereum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307692307692308	0	0	0.0153846153846154	0	0.0032967032967033	0.0164835164835165	0	0.00659340659340659	0	0	0	0.00769230769230769	0.0032967032967033	0.0032967032967033	0	0.00769230769230769	0	0	0	0	0	0.0032967032967033	0	0.0010989010989011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010989010989011	0	0	0	0	0	0
"Molinaea_alternifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185714285714286	0.0128571428571429	0	0	0.02	0.00714285714285714	0.00285714285714286	0	0.0114285714285714	0	0	0	0	0.00428571428571429	0	0.00428571428571429	0	0.00142857142857143	0.00142857142857143	0.00857142857142857	0.00142857142857143	0.00142857142857143	0	0	0	0	0	0.00142857142857143	0	0	0	0	0.00142857142857143	0.00142857142857143	0	0	0	0	0	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0432835820895522	0.00298507462686567	0.00298507462686567	0.00895522388059702	0.00149253731343284	0.017910447761194	0	0	0	0.00298507462686567	0.00597014925373134	0	0	0	0.00149253731343284	0	0	0	0.00298507462686567	0	0	0.00447761194029851	0	0	0.00149253731343284	0	0	0.00149253731343284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149253731343284	0	0	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288888888888889	0.0177777777777778	0.0155555555555556	0	0.00666666666666667	0.00222222222222222	0	0	0	0	0	0.00444444444444444	0	0.00222222222222222	0.00666666666666667	0	0	0.00666666666666667	0.00444444444444444	0	0	0	0	0	0	0	0	0	0	0	0.00222222222222222	0	0	0	0	0	0.00222222222222222	0	0	0	0	0	0	0	0	0
"Syzygium_venosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0.0606060606060606	0.0121212121212121	0	0.00303030303030303	0	0	0	0	0.0151515151515152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Roussea_simplex"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0	0.0142857142857143	0	0	0.00714285714285714	0	0	0	0	0	0.00714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0.016	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0.004	0	0
"Dracaena_reflexa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0.00952380952380952	0.00476190476190476	0.00476190476190476	0	0	0	0.00476190476190476	0	0.00952380952380952	0	0	0.00476190476190476	0	0	0	0	0	0	0	0	0.00952380952380952	0.00476190476190476	0	0.00476190476190476	0	0	0.00476190476190476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00476190476190476	0
"Bertiera_zaluzania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133333333333333	0	0.0666666666666667	0	0	0	0	0	0	0	0.00666666666666667	0	0	0	0	0	0	0	0	0.00666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666666666666667
"Coffea_mauritiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0.0615384615384615	0	0.0230769230769231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0
