"Arvicola_terrestris"	"Lagurus_lagurus"	"Clethrionomys_glareolus"	"Cricetus_cricetus"	"Microtus_oeconomus"	"Microtus_gregalis"	"Spermophilus_pygmaeus"	"Marmota_bobak"	"Allocricetulus_eversmanni"	"Neomys_fodiens"	"Sorex_araneus"	"Cricetulus_migratorius"	"Microtus_arvalis"	"Allactaga_major"	"Apodemus_uralensis"	"Spermophilus_major"	"Sicista_subtilis"	"Ellobius_talpinus"	"Megabothris_walkeri"	"Ctenophthalmus_breviatus"	"Citellophilus_tesquorum"	"Ctenophthalmus_assimilis"	"Neopsylla_pleskei"	"Amalaraeus_penicilliger"	"Neopsylla_setosa"	"Oropsylla_silantiewi"	"Frontopsylla_elata"	"Stenoponia_ivanovi"	"Amphipsylla_sibirica"	"Amphipsylla_rossica"	"Mesopsylla_hebes"	"Palaeopsylla_soricis"	"Hystrichopsylla_talpae"	"Peromyscopsylla_bidentata"	"Amphipsylla_kuznetzovi"	"Amphipsylla_prima"	"Pectinoctenus_pavlovskii"	"Oropsylla_ilovaiskii"	"Corrodopsylla_birulai"	"Amphipsylla_dumalis"	"Frontopsylla_elatoides"	"Leptopsylla_segnis"
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0615912208504801	0.0146776406035665	0.00356652949245542	0.0112482853223594	0.00548696844993141	0.000274348422496571	0	0	0.000823045267489712	0	0	0.000823045267489712	0	0	0.000685871056241427	0	0	0	0.000823045267489712	0	0	0	0	0
"Lagurus_lagurus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0498432601880878	0.0332288401253919	0.00125391849529781	0.0137931034482759	0	0	0	0	0	0	0	0	0	0	0	0	0.00188087774294671	0	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164609053497942	0	0	0.0189300411522634	0.00123456790123457	0.054320987654321	0.0037037037037037	0	0.00329218106995885	0	0.00823045267489712	0	0	0	0.00411522633744856	0.00452674897119342	0	0	0	0	0	0	0	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00994475138121547	0.0519337016574586	0.0104972375690608	0.00386740331491713	0.0209944751381215	0	0	0	0	0	0	0	0	0	0	0	0.00276243093922652	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0281818181818182	0.0163636363636364	0	0.0109090909090909	0.00545454545454545	0	0	0	0.00181818181818182	0.0227272727272727	0.00181818181818182	0.00727272727272727	0	0	0	0.00181818181818182	0.00363636363636364	0	0	0	0	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00736842105263158	0.0315789473684211	0.0168421052631579	0.0284210526315789	0.0126315789473684	0	0	0	0.00315789473684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_pygmaeus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0577464788732394	0.0225352112676056	0	0	0	0.00422535211267606	0	0	0	0	0	0.0028169014084507	0	0	0	0	0.0028169014084507	0	0.00704225352112676	0	0	0.0028169014084507	0
"Marmota_bobak"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00465116279069767	0	0	0	0.0232558139534884	0.0720930232558139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allocricetulus_eversmanni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0578947368421053	0.0184210526315789	0	0.0236842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297297297297297	0.00540540540540541	0	0.0405405405405405	0.00540540540540541	0	0	0	0.00540540540540541	0	0	0	0	0.0135135135135135	0	0	0	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625	0.009375	0	0.01875	0.00625	0.00625	0	0	0.00625	0	0	0	0	0.034375	0	0	0	0	0	0	0.0125	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666666666666667	0.0233333333333333	0.01	0	0.00666666666666667	0	0.0533333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153846153846154	0.0769230769230769	0	0	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0
"Allactaga_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0.0111111111111111	0	0	0	0	0	0	0	0	0	0.0777777777777778	0	0	0	0	0	0	0	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0111111111111111	0.0166666666666667	0	0.0111111111111111	0.0166666666666667	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0.06875	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sicista_subtilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05
"Ellobius_talpinus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
"Megabothris_walkeri"	0.0843984962406015	0	0.00075187969924812	0.00338345864661654	0.00582706766917293	0.00131578947368421	0	0	0	0.00206766917293233	0.00037593984962406	0.00037593984962406	0.00075187969924812	0	0	0.00037593984962406	0.00037593984962406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_breviatus"	0.0204980842911877	0.0304597701149425	0	0.018007662835249	0.00344827586206897	0.00574712643678161	0.0078544061302682	0	0.00421455938697318	0.000383141762452107	0.000574712643678161	0.00134099616858238	0.00383141762452107	0.000383141762452107	0.00114942528735632	0.00210727969348659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0.0128712871287129	0.0524752475247525	0	0.00940594059405941	0	0.00792079207920792	0.00792079207920792	0.00099009900990099	0.00346534653465347	0	0	0.00148514851485149	0	0.00099009900990099	0.00099009900990099	0.00148514851485149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.0405940594059406	0.00198019801980198	0.0227722772277228	0.00346534653465347	0.00594059405940594	0.0133663366336634	0	0	0	0.00742574257425743	0.00297029702970297	0	0	0	0.00148514851485149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.0253164556962025	0.0278481012658228	0.00189873417721519	0.0240506329113924	0.00379746835443038	0.00759493670886076	0	0	0.00569620253164557	0.00126582278481013	0.00126582278481013	0.00126582278481013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.00144927536231884	0	0.0956521739130435	0	0	0	0	0	0	0	0.00144927536231884	0	0	0	0.00144927536231884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_setosa"	0	0	0.0219512195121951	0	0	0	0.00731707317073171	0.024390243902439	0	0	0	0.0390243902439024	0	0	0.00731707317073171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_silantiewi"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0.024	0	0.032	0	0.008	0.012	0	0	0	0.008	0.008	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_ivanovi"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0	0	0.0909090909090909	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.0375	0	0	0	0.05	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mesopsylla_hebes"	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0.0875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0	0	0	0	0	0	0	0	0	0.03125	0.06875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
