"Nephrosperma_vanhoutteanum"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Mimusops_sechellarum"	"Soulamea_terminaloides"	"Apis_mellifera"	"Unidentified_sp2_M_PL_084"	"Rhiparida_seychellensis"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_084"	"Unidentified_sp1_M_PL_084"	"Scaptodrosophila_sp1_M_PL_084"	"Xylocopa_caffra"	"Geron_seychellarum"	"Phelsuma_sp1_M_PL_084"	"Polistes_olivaceus"	"Unidentified_sp3_M_PL_084"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0.0132075471698113	0.0377358490566038	0.0245283018867925	0	0.0150943396226415	0.00377358490566038	0	0	0.00188679245283019	0.00188679245283019	0	0.00188679245283019
"Paragenipa_wrightii"	0	0	0	0	0	0.0628571428571429	0	0	0.0314285714285714	0	0	0	0.00285714285714286	0	0	0.00285714285714286	0
"Memecylon_eleagni"	0	0	0	0	0	0.0857142857142857	0	0	0	0	0	0	0.0142857142857143	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0666666666666667	0	0	0	0	0
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Apis_mellifera"	0.02	0.0628571428571429	0.0171428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_084"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_084"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_084"	0.04	0	0	0.02	0.04	0	0	0	0	0	0	0	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_084"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Geron_seychellarum"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_084"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_olivaceus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_084"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
