"Pyrostria_fasciculata"	"Labourdonnaisia_callophylloides"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Gaertnera_sp1_M_PL_069"	"Syzygium_petrinese"	"Diospyros_revaughanii"	"Euodia_obtusifolia"	"Embelia_angustifolia"	"Memecylon_ovatifolium"	"Syzygium_commersonii"	"Tristhema_mauritiana"	"Tabernaemontana_persicarifolia"	"Xyris_sp1_M_PL_069"	"Apis_mellifera"	"Technomyrmex_albipes"	"Chrysomya_megacephala"	"Musca_domestica"	"Hydrillodes_sp1_M_PL_069"	"Brachymyrmex_sp1_M_PL_069"	"Nacoleia_sp1_M_PL_069"	"Phorinia_sp1_M_PL_069"	"Paragus_borbonicus"	"Stomorhina_lunata"	"Dolichopodidae_sp1_M_PL_069"	"Graphomya_maculata"	"Panara_naso"	"Phelsuma_cepediana"	"Trirhithrum_sp1_M_PL_069"	"Villa_unifasciata"	"Allograpta_sp1_M_PL_069"	"Conocephalus_sp1_M_PL_069"	"Macroglossum_milvus"	"Melanostoma_annulipes"	"Pteromalidae_sp1_M_PL_069"	"Scopariinae_sp1_M_PL_069"	"Stomoxys_calcitrans"	"Strictopterinae_sp1_M_PL_069"	"Syritta_sp1_M_PL_069"
"Pyrostria_fasciculata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862068965517241	0	0	0.00344827586206897	0	0	0.00344827586206897	0	0	0	0	0	0.00344827586206897	0	0	0.00344827586206897	0	0	0	0	0	0	0	0	0
"Labourdonnaisia_callophylloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0535714285714286	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00357142857142857	0	0	0	0	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0.028	0	0	0	0.016	0.012	0.004	0.008	0.004	0	0	0.008	0	0	0	0	0	0.004	0	0.004	0	0
"Syzygium_coriaceum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0.032	0.008	0	0.024	0.008	0.004	0	0.004	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0.004
"Gaertnera_sp1_M_PL_069"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.00666666666666667	0	0.0466666666666667	0	0.00666666666666667	0	0	0	0	0	0.00666666666666667	0	0	0	0	0	0.00666666666666667	0	0	0.00666666666666667	0	0	0
"Syzygium_petrinese"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Diospyros_revaughanii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571428571428571	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0.0142857142857143	0	0	0.0142857142857143	0	0	0	0	0	0	0	0
"Euodia_obtusifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0
"Embelia_angustifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_ovatifolium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
