"Microtus_arvalis"	"Clethrionomys_centralis"	"Spermophilus_undulatus"	"Apodemus_uralensis"	"Apodemus_agrarius"	"Sorex_araneus"	"Sicista_tianshanica"	"Dryomys_nitedula"	"Arvicola_terrestris"	"Neomys_fodiens"	"Cricetulus_migratorius"	"Cricetus_cricetus"	"Marmota_baibacina"	"Spermophilus_erythrogenys"	"Ctenophthalmus_assimilis"	"Neopsylla_mana"	"Megabothris_rectangulatus"	"Citellophilus_tesquorum"	"Amphipsylla_rossica"	"Hystrichopsylla_talpae"	"Nosopsyllus_consimilis"	"Pectinoctenus_nemorosa"	"Frontopsylla_elata"	"Frontopsylla_protera"	"Amalaraeus_penicilliger"	"Neopsylla_teratura"	"Palaeopsylla_soricis"	"Frontopsylla_elatoides"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_arvalis"	"Amphipsylla_sibirica"	"Frontopsylla_ornata"	"Oropsylla_silantiewi"	"Amphipsylla_primaris"	"Corrodopsylla_birulai"	"Rhadinopsylla_angusta"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0550155118924509	0.010168907273354	0.00713547052740434	0	0.00723888314374354	0.00361944157187177	0.00568769389865564	0.000413650465356774	0.00596346087556015	0.00124095139607032	0.00141330575663564	0.000827300930713547	0.000413650465356774	0.000344708721130645	0	0.000344708721130645	0	0.000172354360565322	0	0	0	0
"Clethrionomys_centralis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278492647058824	0.00698529411764706	0.0169117647058824	0	0.0109375	0.0189338235294118	0.00395220588235294	0.00202205882352941	0.00294117647058824	0.00496323529411765	0.00202205882352941	0.00101102941176471	0	0.000183823529411765	0	0	0.00101102941176471	0.000275735294117647	0	0	0	0
"Spermophilus_undulatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160278745644599	0	0.0702090592334495	0	0	0.00801393728222997	0	0	0.000348432055749129	0.000348432055749129	0.0029616724738676	0	0.00209059233449477	0	0	0	0	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00859106529209622	0.00378006872852234	0.00274914089347079	0	0.00171821305841924	0.00274914089347079	0.0106529209621993	0.0542955326460481	0.00481099656357388	0.00687285223367698	0.00171821305841924	0.00103092783505155	0	0	0	0.00103092783505155	0	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009375	0.00234375	0.00234375	0	0	0.00390625	0.00546875	0.0578125	0.00625	0.00859375	0.00390625	0	0	0	0	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0117647058823529	0.00392156862745098	0	0	0	0	0	0	0	0.0215686274509804	0	0	0.0588235294117647	0	0	0	0	0	0	0	0.00392156862745098	0
"Sicista_tianshanica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173913043478261	0.00652173913043478	0.00869565217391304	0	0	0.00652173913043478	0.00652173913043478	0.00434782608695652	0.0130434782608696	0.0195652173913043	0.0173913043478261	0	0	0	0	0	0	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133333333333333	0	0.00666666666666667	0	0.00666666666666667	0	0.0133333333333333	0	0	0.00444444444444444	0	0	0	0	0.0511111111111111	0	0	0	0	0.00444444444444444	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0483870967741936	0.00645161290322581	0.0129032258064516	0	0.00645161290322581	0.0129032258064516	0	0	0.0129032258064516	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0423076923076923	0	0	0	0	0	0	0	0	0.0269230769230769	0	0	0.0230769230769231	0	0	0	0	0	0	0	0	0.00769230769230769
