"Rhombomys_opimus"	"Spermophilus_pygmaeus"	"Spermophilus_fulvus"	"Meriones_meridianus"	"Stylodipus_telum"	"Allactaga_elater"	"Allactaga_major"	"Pygeretmus_pumilio"	"Meriones_tamariscinus"	"Cricetulus_migratorius"	"Allocricetulus_eversmanni"	"Xenopsylla_skrjabini"	"Nosopsyllus_laeviceps"	"Coptopsylla_lamellifer"	"Neopsylla_setosa"	"Citellophilus_trispinus"	"Rhadinopsylla_cedestis"	"Echidnophaga_oschanini"	"Oropsylla_ilovaiskii"	"Citellophilus_tesquorum"	"Ctenophthalmus_dolichus"	"Mesopsylla_hebes"	"Mesopsylla_tuschkan"	"Mesopsylla_lenis"	"Ctenophthalmus_breviatus"	"Xenopsylla_conformis"	"Ophthalmopsylla_volgensis"	"Frontopsylla_semura"	"Amphipsylla_schelkovnikovi"	"Amphipsylla_kalabukhovi"	"Paradoxopsyllus_repandus"	"Leptopsylla_segnis"	"Stenoponia_conspecta"
"Rhombomys_opimus"	0	0	0	0	0	0	0	0	0	0	0	0.0879365185098836	0.00775949641126414	0.00160702093290479	5.07918533197888e-05	2.49795999933388e-06	0.000933404386417759	0.000726073706473047	0.000353045013239188	8.32653333111293e-06	0.000517077719862113	1.24897999966694e-05	1.08244933304468e-05	9.15918666422422e-06	8.32653333111293e-07	6.24489999833469e-05	8.32653333111293e-07	4.99591999866775e-06	0	0	2.49795999933388e-06	8.32653333111293e-07	8.32653333111293e-07
"Spermophilus_pygmaeus"	0	0	0	0	0	0	0	0	0	0	0	0.0108926844988721	0.00409281340638092	0	0.0524653561069932	0.00280373831775701	0.000386722526587174	3.22268772155978e-05	0.00837898807605543	0.014502094747019	0.000128907508862391	3.22268772155978e-05	9.66806316467934e-05	0.00157911698356429	0.00325491459877538	0.000193361263293587	3.22268772155978e-05	0.00112794070254592	0	0	0	0	0
"Spermophilus_fulvus"	0	0	0	0	0	0	0	0	0	0	0	0.00395108184383819	0.00282220131702728	0	0.00225776105362183	0.0758231420507996	0	0	0.00813734713076199	0.00700846660395108	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_meridianus"	0	0	0	0	0	0	0	0	0	0	0	0.079408543263965	0.0151150054764513	0.000547645125958379	0.000985761226725082	0	0.000766703176341731	0.000547645125958379	0.000657174151150055	0	0	0.000219058050383352	0.000657174151150055	0.000328587075575027	0	0.000657174151150055	0	0	0	0	0	0.000109529025191676	0
"Stylodipus_telum"	0	0	0	0	0	0	0	0	0	0	0	0.0223300970873786	0.00728155339805825	0	0.00776699029126214	0	0	0	0.00121359223300971	0.016504854368932	0	0.00800970873786408	0.0189320388349515	0.00121359223300971	0.000728155339805825	0	0.0150485436893204	0.000970873786407767	0	0	0	0	0
"Allactaga_elater"	0	0	0	0	0	0	0	0	0	0	0	0.0340350877192982	0.00982456140350877	0	0.000350877192982456	0	0.000350877192982456	0	0.000350877192982456	0	0	0.0178947368421053	0.0168421052631579	0.0171929824561404	0	0	0.00280701754385965	0.000350877192982456	0	0	0	0	0
"Allactaga_major"	0	0	0	0	0	0	0	0	0	0	0	0.0109489051094891	0	0	0	0	0	0.00072992700729927	0	0	0	0.0635036496350365	0.0200729927007299	0.00437956204379562	0	0	0.000364963503649635	0	0	0	0	0	0
"Pygeretmus_pumilio"	0	0	0	0	0	0	0	0	0	0	0	0.0548571428571429	0.00514285714285714	0	0	0	0.00114285714285714	0	0	0	0	0.012	0.0137142857142857	0.00971428571428572	0	0	0.00342857142857143	0	0	0	0	0	0
"Meriones_tamariscinus"	0	0	0	0	0	0	0	0	0	0	0	0.0319327731092437	0.0546218487394958	0.00840336134453782	0	0.00168067226890756	0.000840336134453782	0.00168067226890756	0	0	0	0	0	0.000840336134453782	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0.0125	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0.0625	0	0	0	0
"Allocricetulus_eversmanni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0.0166666666666667	0	0.0166666666666667	0	0	0.05	0	0	0
"Xenopsylla_skrjabini"	0.0985995705349641	0.000315563439454766	7.84240500420129e-05	0.00067687424143404	8.58930071888713e-05	9.05611054056577e-05	2.80085893007189e-05	8.96274857623004e-05	3.54775464475773e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_laeviceps"	0.0953155364631278	0.00129896696328117	0.000613685179502915	0.0014114759128567	0.000306842589751458	0.00028638641710136	0	9.20527769254373e-05	0.000664825611128158	1.02280863250486e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coptopsylla_lamellifer"	0.0992287917737789	0	0	0.00025706940874036	0	0	0	0	0.00051413881748072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_setosa"	0.00342696629213483	0.0914606741573034	0.00269662921348315	0.00050561797752809	0.00179775280898876	5.61797752808989e-05	0	0	0	5.61797752808989e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_trispinus"	0.000176056338028169	0.0051056338028169	0.0946009389671362	0	0	0	0	0	0.000117370892018779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_cedestis"	0.0979895104895105	0.00104895104895105	0	0.000611888111888112	0	8.74125874125874e-05	0	0.000174825174825175	8.74125874125874e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Echidnophaga_oschanini"	0.0988662131519275	0.000113378684807256	0	0.000566893424036281	0	0	0.000226757369614512	0	0.000226757369614512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_ilovaiskii"	0.048735632183908	0.0298850574712644	0.0198850574712644	0.000689655172413793	0.000574712643678161	0.000114942528735632	0	0	0	0	0.000114942528735632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0.00147710487444609	0.0664697193500739	0.0220088626292467	0	0.0100443131462334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_dolichus"	0.09936	0.00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mesopsylla_hebes"	0.00503355704697987	0.000335570469798658	0	0.000671140939597316	0.0110738255033557	0.0171140939597315	0.0583892617449664	0.00704697986577181	0	0.000335570469798658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mesopsylla_tuschkan"	0.00572687224669604	0.0013215859030837	0	0.0026431718061674	0.0343612334801762	0.0211453744493392	0.0242290748898678	0.0105726872246696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mesopsylla_lenis"	0.00748299319727891	0.0333333333333333	0	0.00204081632653061	0.00340136054421769	0.0333333333333333	0.00816326530612245	0.0115646258503401	0.000680272108843537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_breviatus"	0.000943396226415094	0.0952830188679245	0	0	0.00283018867924528	0	0	0	0	0	0.000943396226415094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xenopsylla_conformis"	0.0862068965517241	0.00689655172413793	0	0.00689655172413793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ophthalmopsylla_volgensis"	0.00125	0.00125	0	0	0.0775	0.01	0.00125	0.0075	0	0	0.00125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_semura"	0.0130434782608696	0.0760869565217391	0	0	0.00869565217391304	0.00217391304347826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_schelkovnikovi"	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kalabukhovi"	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_repandus"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_conspecta"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
