"Marmota_caudata"	"Microtus_juldaschi"	"Apodemus_uralensis"	"Alticola_argentatus"	"Cricetulus_migratorius"	"Dryomys_nitedula"	"Rattus_turkestanicus"	"Citellophilus_lebedewi"	"Rhadinopsylla_li"	"Amphipsylla_phaiomydis"	"Oropsylla_silantiewi"	"Callopsylla_caspia"	"Pectinoctenus_nemorosa"	"Frontopsylla_elata"	"Leptopsylla_nana"	"Ceratophyllus_sinicus"	"Amphipsylla_montana"	"Neopsylla_pleskei"	"Amphipsylla_anceps"	"Ceratophyllus_sciurorum"	"Frontopsylla_ambigua"	"Nosopsyllus_simla"	"Frontopsylla_ornata"	"Amphipsylla_primaris"	"Frontopsylla_protera"	"Neopsylla_meridiana"	"Callopsylla_lagomys"	"Rhadinopsylla_altifrons"	"Paraneopsylla_ioffi"	"Leptopsylla_taschenbergi"
"Marmota_caudata"	0	0	0	0	0	0	0	0.097533604329285	0.00154367939350109	0	0.000693284121798549	0	0	3.49135888675528e-05	0	0.000169580288785256	0	0	0	0	1.99506222100302e-05	0	0	0	0	0	0	0	4.98765555250754e-06	0
"Microtus_juldaschi"	0	0	0	0	0	0	0	0.00104347826086957	0	0.044	0	0.0107826086956522	0.00260869565217391	0.0255652173913043	0.008	0	0.000521739130434783	0.000869565217391304	0.000347826086956522	0.000347826086956522	0.000347826086956522	0	0.000869565217391304	0.00104347826086957	0.00104347826086957	0.00104347826086957	0.00121739130434783	0.000347826086956522	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0.000862068965517241	0	0.000862068965517241	0	0.00948275862068966	0.0543103448275862	0.0014367816091954	0.00919540229885057	0.00172413793103448	0.000862068965517241	0.00689655172413793	0.00316091954022989	0	0.00459770114942529	0	0.00258620689655172	0	0.00201149425287356	0	0	0.000574712643678161	0.000574712643678161	0.000862068965517241
"Alticola_argentatus"	0	0	0	0	0	0	0	0	0	0.00472972972972973	0	0.0486486486486487	0.00135135135135135	0.00337837837837838	0.00472972972972973	0	0.027027027027027	0.00472972972972973	0.00337837837837838	0	0.00202702702702703	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0.00223880597014925	0	0.0111940298507463	0	0.0350746268656716	0	0	0.00149253731343284	0	0.0111940298507463	0.00746268656716418	0.0194029850746269	0	0	0	0.00149253731343284	0.00522388059701493	0	0.00298507462686567	0	0.00223880597014925	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Rattus_turkestanicus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0894736842105263	0	0	0	0	0	0	0.0105263157894737	0
"Citellophilus_lebedewi"	0.0999693267215378	1.53366392311232e-05	7.66831961556158e-06	0	7.66831961556158e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_li"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_phaiomydis"	0	0.0910071942446043	0.00107913669064748	0.00251798561151079	0.00539568345323741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
