"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Deckenia_nobilis"	"Canthium_bibracteatum"	"Euphorbia_pyrifolia"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Ceratina_tabescens"	"Unidentified_sp1_M_PL_113"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Cratopus_aurostriatus"	"Ornidia_obesa"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_113"	"Pachycerina_seychellensis"	"Simosyrphus_aegyptius"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0.0206349206349206	0.0380952380952381	0.0158730158730159	0.00158730158730159	0.0206349206349206	0	0.00158730158730159	0	0	0	0.00158730158730159	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0.0204081632653061	0.0591836734693878	0.00816326530612245	0	0	0	0	0.00816326530612245	0	0.00408163265306122	0	0	0
"Deckenia_nobilis"	0	0	0	0	0	0	0	0.00857142857142857	0	0.0485714285714286	0	0	0.0171428571428571	0	0	0.0114285714285714	0.00285714285714286	0.00571428571428571	0.00571428571428571	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0.0347826086956522	0	0	0.0521739130434783	0	0	0.0130434782608696	0	0	0	0	0	0
"Euphorbia_pyrifolia"	0	0	0	0	0	0	0	0.0888888888888889	0	0.00555555555555556	0	0	0	0	0	0	0	0	0	0.00555555555555556
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0.0235294117647059	0	0.0764705882352941	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0.05	0	0	0	0	0	0.025
"Lasioglossum_mahense"	0.0236363636363636	0.0181818181818182	0.00545454545454545	0.0145454545454545	0.0290909090909091	0.00727272727272727	0.00181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.0452830188679245	0.0547169811320755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0222222222222222	0.00888888888888889	0.0377777777777778	0	0.00222222222222222	0.0288888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratina_tabescens"	0.00769230769230769	0	0	0.0923076923076923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_113"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0.0166666666666667	0	0	0.05	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0	0.0666666666666667	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_113"	0.0333333333333333	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_seychellensis"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Simosyrphus_aegyptius"	0	0	0	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
