"Canthium_bibracteatum"	"Memecylon_eleagni"	"Cinnamomum_verum"	"Ochna_kirkii"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Xylocopa_caffra"	"Lygistorrhina_sp1_M_PL_108"	"Hemipyrellia_sp1_M_PL_108"	"Unidentified_sp1_M_PL_108"	"Scaptodrosophila_sp1_M_PL_108"	"Chalcidoma_disjunctum"	"Hemipyrellia_germana"	"Nectarinia_dussumieri"	"Phalanta_phalantha"
"Canthium_bibracteatum"	0	0	0	0	0	0.028	0.036	0.004	0	0.016	0.012	0	0	0.004	0	0
"Memecylon_eleagni"	0	0	0	0	0	0.0538461538461538	0.0230769230769231	0	0	0	0	0.0153846153846154	0.00769230769230769	0	0	0
"Cinnamomum_verum"	0	0	0	0	0	0.0166666666666667	0.00833333333333333	0	0.0583333333333333	0.00833333333333333	0	0	0	0	0	0.00833333333333333
"Ochna_kirkii"	0	0	0	0	0	0.0272727272727273	0	0.0636363636363636	0	0	0	0	0	0	0.00909090909090909	0
"Paragenipa_wrightii"	0	0	0	0	0	0.0272727272727273	0.0636363636363636	0.00909090909090909	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0318181818181818	0.0318181818181818	0.00909090909090909	0.0136363636363636	0.0136363636363636	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.045	0.015	0.005	0	0.035	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0.0111111111111111	0	0	0.0777777777777778	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_108"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_108"	0.08	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_108"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_108"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Phalanta_phalantha"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
