"Alticola_strelzowi"	"Alticola_barakshin"	"Alticola_argentatus"	"Spermophilus_undulatus"	"Meriones_meridianus"	"Cricetulus_longicaudatus"	"Cricetulus_barabensis"	"Phodopus_sungorus"	"Allactaga_sibirica"	"Meriones_unguiculatus"	"Apodemus_peninsulae"	"Amphipsylla_primaris"	"Paradoxopsyllus_scorodumovi"	"Callopsylla_caspia"	"Paramonopsyllus_scalonae"	"Citellophilus_tesquorum"	"Wagnerina_tuvensis"	"Paradoxopsyllus_dashidorzhii"	"Frontopsylla_elatoides"	"Nosopsyllus_laeviceps"	"Amphipsylla_vinogradovi"	"Frontopsylla_hetera"	"Pectinoctenus_pavlovskii"	"Neopsylla_mana"	"Frontopsylla_wagneri"	"Neopsylla_bidentatiformis"	"Amphipsylla_longispina"	"Ophthalmopsylla_praefecta"	"Oropsylla_alaskensis"	"Rhadinopsylla_li"	"Neopsylla_pleskei"	"Echidnophaga_oschanini"	"Frontopsylla_luculenta"	"Ophthalmopsylla_kukuschkini"	"Amphalius_runatus"	"Ctenophyllus_hirticrus"	"Rhadinopsylla_rothschildi"
"Alticola_strelzowi"	0	0	0	0	0	0	0	0	0	0	0	0.035970695970696	0.0312087912087912	0.0112454212454212	0.00476190476190476	0.000183150183150183	0.00732600732600733	0.00307692307692308	0.000805860805860806	0.000293040293040293	0.00102564102564103	0.00278388278388278	0.000293040293040293	0.000805860805860806	0	0	0.00010989010989011	0	0	0.00010989010989011	0	0	0	0	0	0	0
"Alticola_barakshin"	0	0	0	0	0	0	0	0	0	0	0	0.0357618488053271	0	0.0244810027418723	0.0139835487661575	0	0.00783392087739914	0.0131218174696436	0.00164512338425382	0	0	0.00227183705444575	0.00054837446141794	0.000117508813160987	0	0.000117508813160987	0	0	0	0.000117508813160987	0	0	0	0	0	0	0
"Alticola_argentatus"	0	0	0	0	0	0	0	0	0	0	0	0.0477391718229415	0.0253688719657306	0.00499762018086625	0.00523560209424084	0.000237981913374584	0.0042836744407425	0	0.00904331270823418	0	0.00014278914802475	0.00133269871489767	0.00014278914802475	0.000856734888148501	0	0.000618752974773917	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_undulatus"	0	0	0	0	0	0	0	0	0	0	0	0.000483870967741936	0.00290322580645161	0	0.00145161290322581	0.0740322580645161	0	0.00209677419354839	0.00612903225806452	0	0	0.00290322580645161	0	0.00145161290322581	0	0	0.00112903225806452	0	0.00290322580645161	0.000967741935483871	0	0.00225806451612903	0	0	0.00129032258064516	0	0
"Meriones_meridianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188172043010753	0.00295698924731183	0	0.00672043010752688	0.00349462365591398	0.0739247311827957	0.00376344086021505	0.00376344086021505	0	0	0	0.000537634408602151	0.00295698924731183	0	0	0	0	0	0	0	0	0	0
"Cricetulus_longicaudatus"	0	0	0	0	0	0	0	0	0	0	0	0	0.0147590361445783	0.000903614457831325	0.000602409638554217	0.00180722891566265	0.00903614457831325	0	0.00391566265060241	0	0.0403614457831325	0.00331325301204819	0.0129518072289157	0.00993975903614458	0	0.00120481927710843	0.00120481927710843	0	0	0	0	0	0	0	0	0	0
"Cricetulus_barabensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0172093023255814	0	0	0.00325581395348837	0	0.0493023255813954	0.00372093023255814	0.00372093023255814	0.00465116279069767	0	0.0153488372093023	0	0	0	0	0	0	0	0.000930232558139535	0	0.000930232558139535	0.000930232558139535
"Phodopus_sungorus"	0	0	0	0	0	0	0	0	0	0	0	0.0257352941176471	0	0	0.00147058823529412	0	0	0	0.00808823529411765	0	0.00882352941176471	0.00588235294117647	0.0301470588235294	0.00882352941176471	0	0	0.00735294117647059	0	0	0.00367647058823529	0	0	0	0	0	0	0
"Allactaga_sibirica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0685714285714286	0	0	0.02	0	0	0	0	0.0114285714285714	0	0	0	0
"Meriones_unguiculatus"	0	0	0	0	0	0	0	0	0	0	0	0.00277777777777778	0	0	0.00277777777777778	0	0	0	0	0.0736111111111111	0	0	0	0	0	0	0	0	0	0	0.0208333333333333	0	0	0	0	0	0
"Apodemus_peninsulae"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222222222222222	0	0	0	0	0	0	0	0	0	0.0777777777777778	0	0	0
"Amphipsylla_primaris"	0.0334240980258679	0.0310755616065351	0.0341388699795779	0.00010211027910143	0	0	0	0.00119128658951668	0	6.8073519400953e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_scorodumovi"	0.0586776859504132	0	0.0367079889807163	0.0012396694214876	0	0.00337465564738292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0.0295192307692308	0.0600961538461538	0.0100961538461538	0	0	0.000288461538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paramonopsyllus_scalonae"	0.0210016155088853	0.0576736672051696	0.0177705977382876	0.00145395799676898	0.00113085621970921	0.000323101777059774	0	0.000323101777059774	0	0.000323101777059774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0.000956022944550669	0	0.000956022944550669	0.0877629063097514	0.00210325047801147	0.0011472275334608	0.00707456978967495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Wagnerina_tuvensis"	0.0384615384615385	0.0384615384615385	0.0173076923076923	0	0	0.00576923076923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_dashidorzhii"	0.0183807439824945	0.0733041575492341	0	0.00284463894967177	0.00547045951859956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elatoides"	0.00654761904761905	0.0125	0.056547619047619	0.0113095238095238	0.00386904761904762	0.00386904761904762	0.00208333333333333	0.00327380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_laeviceps"	0.00238095238095238	0	0	0	0.0818452380952381	0	0	0	0	0.0157738095238095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_vinogradovi"	0.00942760942760943	0	0.00101010101010101	0	0.00471380471380471	0.0451178451178451	0.0356902356902357	0.00404040404040404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_hetera"	0.0343891402714932	0.0262443438914027	0.0126696832579186	0.0081447963800905	0.00633484162895928	0.00497737556561086	0.00361990950226244	0.00361990950226244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pavlovskii"	0.00683760683760684	0.011965811965812	0.00256410256410256	0	0	0.0367521367521368	0.00683760683760684	0.035042735042735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_mana"	0.0201834862385321	0.00275229357798165	0.0165137614678899	0.00825688073394495	0	0.0302752293577982	0.00917431192660551	0.0110091743119266	0	0	0.0018348623853211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_wagneri"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_bidentatiformis"	0	0.00545454545454545	0.0236363636363636	0	0.00363636363636364	0.00727272727272727	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_longispina"	0.00857142857142857	0	0	0.02	0.0314285714285714	0.0114285714285714	0	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ophthalmopsylla_praefecta"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_alaskensis"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_li"	0.0176470588235294	0.0176470588235294	0	0.0352941176470588	0	0	0	0.0294117647058824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Echidnophaga_oschanini"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_luculenta"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ophthalmopsylla_kukuschkini"	0	0	0	0	0	0	0.0222222222222222	0	0	0	0.0777777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphalius_runatus"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophyllus_hirticrus"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_rothschildi"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
