"Clethrionomys_rufocanus"	"Clethrionomys_rutilus"	"Apodemus_peninsulae"	"Tamias_sibiricus"	"Microtus_evoronensis"	"Myopus_schisticolor"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Pectinoctenus_pectiniceps"	"Amalaraeus_dissimilis"	"Neopsylla_acanthina"	"Catallagia_ioffi"	"Hystrichopsylla_microti"	"Megabothris_asio"	"Ctenophthalmus_pisticus"	"Ceratophyllus_indages"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Ctenophthalmus_congeneroides"	"Rhadinopsylla_pseudodahurica"
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0.0409617097061443	0.0196794300979519	0.0161620658949243	0.00997328584149599	0.00458593054318789	0.00329474621549421	0.0031166518254675	0.000267141585040071	0.0006233303650935	0.000667853962600178	0.000267141585040071	0.000178094390026714	0.000222617987533393
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0.0487025948103792	0.0177644710578842	0.0136726546906188	0.00598802395209581	0.00449101796407186	0.00289421157684631	0.00129740518962076	0.00199600798403194	0.000499001996007984	0.000399201596806387	0.000898203592814371	0.000798403193612774	0.000598802395209581
"Apodemus_peninsulae"	0	0	0	0	0	0	0	0.0150627615062762	0.0313807531380753	0.000418410041841004	0.0393305439330544	0.000836820083682008	0	0.000418410041841004	0.0104602510460251	0.000418410041841004	0.000418410041841004	0.000418410041841004	0.000836820083682008	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0.00192307692307692	0	0	0.0403846153846154	0	0	0	0.0134615384615385	0.0403846153846154	0	0	0.00384615384615385	0
"Microtus_evoronensis"	0	0	0	0	0	0	0	0.0135135135135135	0.027027027027027	0.0162162162162162	0	0	0.00540540540540541	0.0324324324324324	0.0027027027027027	0	0	0.0027027027027027	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
"Megabothris_advenarius"	0.0634045485871813	0.033631977946244	0.00248104755341144	6.89179875947622e-05	0.000344589937973811	6.89179875947622e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pectiniceps"	0.0626950354609929	0.0252482269503546	0.0106382978723404	0	0.00141843971631206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_dissimilis"	0.0715976331360947	0.0270216962524655	0.00019723865877712	0	0.00118343195266272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0.056140350877193	0.0150375939849624	0.0235588972431078	0.00526315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.0686666666666667	0.03	0.00133333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.0704761904761905	0.0276190476190476	0	0	0.0019047619047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_asio"	0.0729166666666667	0.0135416666666667	0.00104166666666667	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_pisticus"	0.0101694915254237	0.0338983050847458	0.0423728813559322	0.011864406779661	0.00169491525423729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.0333333333333333	0.0119047619047619	0.00238095238095238	0.05	0	0	0.00238095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.075	0.02	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.0352941176470588	0.0529411764705882	0.00588235294117647	0	0.00588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_congeneroides"	0.025	0.05	0.0125	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_pseudodahurica"	0.0454545454545455	0.0545454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
