"Apodemus_flavicollis"	"Clethrionomys_glareolus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Apodemus_uralensis"	"Sorex_araneus"	"Microtus_subterraneus"	"Neomys_fodiens"	"Crocidura_leucodon"	"Apodemus_sylvaticus"	"Arvicola_terrestris"	"Talpa_europaea"	"Neomys_anomalus"	"Sorex_alpinus"	"Micromys_minutus"	"Myoxus_glis"	"Muscardinus_avellanarius"	"Ctenophthalmus_agyrtes"	"Megabothris_turbidus"	"Ctenophthalmus_assimilis"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Peromyscopsylla_bidentata"	"Doratopsylla_dasycnema"	"Ctenophthalmus_solutus"	"Hystrichopsylla_orientalis"	"Rhadinopsylla_integella"	"Ctenophthalmus_uncinatus"	"Rhadinopsylla_pentacantha"	"Atyphloceras_nuperus"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_bisoctodentatus"	"Peromyscopsylla_silvatica"	"Amalaraeus_arvicolae"	"Rhadinopsylla_isacantha"	"Amphipsylla_rossica"	"Ctenophthalmus_obtusus"	"Palaeopsylla_kohauti"
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0645032735553658	0.0200113862795332	0.00868203814403644	0	0.000341588385994876	0.000142328494164532	0	0.00361514375177911	0.0013663535439795	0.000398519783660689	0.000483916880159408	8.5397096498719e-05	0	0.000370054084827783	0	0	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0457678153228505	0.0192037470725995	0.00501840080294413	0.0198059551689528	0	0.00511876881900301	0	0	0	0.0023084643693543	0	0.000903312144529943	0.000903312144529943	0.000100368016058883	0	0.000501840080294413	0	0.000234192037470726	0.000133824021411843	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0562005277044855	0.0210026385224274	0.0170976253298153	0	0.0012664907651715	0.000474934036939314	0	0.000422163588390501	0.0033245382585752	0.000105540897097625	0.000105540897097625	0	0	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0188755020080321	0.0142570281124498	0.0623493975903614	0.00190763052208835	0.000301204819277108	0.00170682730923695	0	0	0.000401606425702811	0	0	0	0	0	0	0	0	0	0.000200803212851406	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0.0176724137931034	0.0256465517241379	0	0	0	0	0	0.000431034482758621	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0135646687697161	0.00126182965299685	0.00536277602523659	0	0.0536277602523659	0	0.0242902208201893	0	0	0	0	0	0	0	0.00126182965299685	0	0	0	0	0	0.000630914826498423
"Microtus_subterraneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0423076923076923	0.00833333333333333	0.0153846153846154	0.00576923076923077	0.0208333333333333	0.00128205128205128	0	0	0	0	0	0.00192307692307692	0	0	0	0	0.00416666666666667	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00825688073394495	0.0036697247706422	0.0036697247706422	0	0.0137614678899083	0	0.0688073394495413	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018348623853211
"Crocidura_leucodon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515463917525773	0	0.00309278350515464	0	0	0	0	0.0134020618556701	0.00721649484536082	0	0.0628865979381443	0	0	0	0.00309278350515464	0	0	0	0	0.00515463917525773	0
"Apodemus_sylvaticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0577464788732394	0.0338028169014085	0.00845070422535211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
