"Chrysobalanus_icaco"	"Dillenia_ferruginea"	"Nepenthes_pervillei"	"Apis_mellifera"	"Hemipyrellia_sp1_M_PL_117"	"Lasioglossum_mahense"	"Eristalinus_vicarians"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Rhiparida_seychellensis"
"Chrysobalanus_icaco"	0	0	0	0.096551724137931	0	0	0.00344827586206897	0	0	0
"Dillenia_ferruginea"	0	0	0	0.0615384615384615	0	0.0153846153846154	0	0.00769230769230769	0.00769230769230769	0.00769230769230769
"Nepenthes_pervillei"	0	0	0	0.05	0.05	0	0	0	0	0
"Apis_mellifera"	0.0736842105263158	0.0210526315789474	0.00526315789473684	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_117"	0	0	0.1	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.1	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0.1	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0	0.1	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0.1	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0	0.1	0	0	0	0	0	0	0	0
