"Clethrionomys_centralis"	"Alticola_argentatus"	"Microtus_gregalis"	"Sicista_tianshanica"	"Sorex_minutus"	"Sorex_asper"	"Apodemus_uralensis"	"Amalaraeus_penicilliger"	"Amphipsylla_primaris"	"Paraneopsylla_ioffi"	"Corrodopsylla_birulai"	"Frontopsylla_ornata"	"Amphipsylla_kuznetzovi"	"Neopsylla_mana"	"Rhadinopsylla_dahurica"	"Frontopsylla_elata"	"Amphipsylla_sibirica"	"Stenoponia_suknevi"	"Rhadinopsylla_angusta"	"Pectinoctenus_nemorosa"	"Palaeopsylla_soricis"	"Callopsylla_caspia"	"Ctenophthalmus_assimilis"
"Clethrionomys_centralis"	0	0	0	0	0	0	0	0.0717041800643087	0.0163987138263666	0.00209003215434084	0.000964630225080386	0.00136655948553055	0.000160771704180064	0.00361736334405145	0.002491961414791	0.000160771704180064	0.000241157556270096	8.03858520900322e-05	0.000401929260450161	8.03858520900322e-05	8.03858520900322e-05	0.000160771704180064	0
"Alticola_argentatus"	0	0	0	0	0	0	0	0.0181672025723473	0.0454983922829582	0.0305466237942122	0.000964630225080386	0.000160771704180064	0.000160771704180064	0.00128617363344051	0.0022508038585209	0.000321543408360129	0	0.000321543408360129	0.000160771704180064	0.000160771704180064	0	0	0
"Microtus_gregalis"	0	0	0	0	0	0	0	0.0136363636363636	0.0012987012987013	0	0.0025974025974026	0.00584415584415584	0.0467532467532468	0.0123376623376623	0.0012987012987013	0.00649350649350649	0	0.00649350649350649	0.00194805194805195	0	0	0	0.0012987012987013
"Sicista_tianshanica"	0	0	0	0	0	0	0	0.0102941176470588	0	0	0.0117647058823529	0.0705882352941177	0.00294117647058824	0	0	0.00441176470588235	0	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0.00735294117647059	0.00147058823529412	0	0.0823529411764706	0.00588235294117647	0	0	0	0	0	0	0	0	0.00294117647058824	0	0
"Sorex_asper"	0	0	0	0	0	0	0	0.00175438596491228	0	0.00175438596491228	0.0736842105263158	0.0157894736842105	0.00175438596491228	0.00350877192982456	0	0	0	0	0.00175438596491228	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0	0	0.025	0	0	0
"Amalaraeus_penicilliger"	0.0858517805582291	0.0108758421559192	0.00202117420596728	0.000673724735322425	0.000481231953801732	9.62463907603465e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_primaris"	0.0416326530612245	0.0577551020408163	0.000408163265306123	0	0.000204081632653061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paraneopsylla_ioffi"	0.0119815668202765	0.087557603686636	0	0	0	0.000460829493087558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.009375	0.0046875	0.003125	0.00625	0.04375	0.0328125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_ornata"	0.0193181818181818	0.00113636363636364	0.0102272727272727	0.0545454545454545	0.00454545454545455	0.0102272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kuznetzovi"	0.00256410256410256	0.00128205128205128	0.0923076923076923	0.00256410256410256	0	0.00128205128205128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_mana"	0.0608108108108108	0.0108108108108108	0.0256756756756757	0	0	0.0027027027027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_dahurica"	0.0659574468085106	0.0297872340425532	0.00425531914893617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0.0117647058823529	0.0117647058823529	0.0588235294117647	0.0176470588235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.02	0	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_suknevi"	0.00769230769230769	0.0153846153846154	0.0769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_angusta"	0.05	0.01	0.03	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_nemorosa"	0.0166666666666667	0.0166666666666667	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0333333333333333	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
