"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Microtus_maximowiczii"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Amphipsylla_marikovskii"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Ceratophyllus_indages"	"Amalaraeus_ioffi"	"Catallagia_striata"	"Amalaraeus_penicilliger"	"Hystrichopsylla_microti"	"Neopsylla_acanthina"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_pisticus"	"Rhadinopsylla_integella"	"Stenoponia_montana"	"Ctenophthalmus_congeneroides"	"Tarsopsylla_octodecimdentata"	"Frontopsylla_elata"	"Ctenophyllus_armatus"	"Megabothris_bispinosa"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0.0235183443085607	0.01552210724365	0.0117121354656632	0.0129350893697084	0.00032925682031985	0.00846660395108184	0.00733772342427093	0.00733772342427093	0.0035277516462841	0.00117591721542803	0.00136406396989652	0.000188146754468485	0.00310442144873001	0.00239887111947319	0.000235183443085607	0	0	0.00032925682031985	0.000235183443085607	0.000141110065851364	0.000141110065851364
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0.0248796147672552	0.0250401284109149	0.0142857142857143	0.00609951845906902	0.000642054574638844	0.00561797752808989	0.00401284109149278	0.00353130016051364	0.00481540930979133	0.00256821829855538	0.00545746388443018	0	0.0014446227929374	0.000802568218298555	0	0	0.000481540930979133	0	0.000321027287319422	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0.00287206266318538	0	0	0.00156657963446475	0.064490861618799	0	0	0	0.000522193211488251	0.0130548302872063	0	0.0169712793733681	0	0	0	0	0	0	0	0.000522193211488251	0
"Apodemus_peninsulae"	0	0	0	0	0	0	0.0271428571428571	0	0	0	0	0	0	0	0.00428571428571429	0.0128571428571429	0.0385714285714286	0.00857142857142857	0	0	0.00571428571428571	0	0.00285714285714286	0	0	0	0
"Microtus_maximowiczii"	0	0	0	0	0	0	0.00869565217391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0739130434782609	0	0.0173913043478261	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0
"Megabothris_advenarius"	0.0727802037845706	0.0225618631732169	0.00160116448326055	0.00276564774381368	0.000291120815138282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0.0679012345679012	0.0320987654320988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.0736686390532544	0.0263313609467456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.0862068965517241	0.0119122257053292	0.00188087774294671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.00271317829457364	0.00155038759689922	0.0957364341085271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_ioffi"	0.0837209302325582	0.0162790697674419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_striata"	0.0861878453038674	0.0138121546961326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0876404494382023	0.0123595505617978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.0681818181818182	0.0272727272727273	0.00181818181818182	0.00272727272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0.025	0.016	0.05	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.0322222222222222	0.0377777777777778	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_pisticus"	0.00533333333333333	0	0.0866666666666667	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.088	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_montana"	0.0910714285714286	0.00892857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_congeneroides"	0.0192307692307692	0	0	0.0153846153846154	0.0653846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
