"Clethrionomys_rutilus"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Sorex_caecutiens"	"Sorex_arcticus"	"Sciurus_vulgaris"	"Sorex_daphaenodon"	"Alticola_macrotis"	"Lemmus_sibiricus"	"Spermophilus_parryii"	"Sorex_cinereus"	"Sorex_minutissimus"	"Sorex_roboratus"	"Megabothris_advenarius"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Megabothris_calcarifer"	"Amalaraeus_penicilliger"	"Ceratophyllus_indages"	"Catallagia_ioffi"	"Tarsopsylla_octodecimdentata"	"Oropsylla_alaskensis"	"Megabothris_beljaevi"	"Amphipsylla_marikovskii"	"Rhadinopsylla_pseudodahurica"	"Peromyscopsylla_ostsibirica"	"Ctenophyllus_armatus"	"Neopsylla_acanthina"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0462235649546828	0.0145015105740181	0.000604229607250755	0.00362537764350453	0.0226586102719033	0	0.00755287009063444	0	0	0	0.00151057401812689	0.00181268882175227	0.000906344410876133	0	0.000604229607250755
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00537190082644628	0.0462809917355372	0.00619834710743802	0.0322314049586777	0.00661157024793389	0	0.000826446280991736	0	0	0	0.00247933884297521	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0371212121212121	0.0257575757575758	0	0.00757575757575758	0.00833333333333333	0	0.00984848484848485	0	0	0	0.00303030303030303	0.00606060606060606	0.00227272727272727	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00476190476190476	0	0	0	0	0.0777777777777778	0.00952380952380952	0	0	0	0	0	0.00476190476190476	0.00317460317460317	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00363636363636364	0.00363636363636364	0.0927272727272727	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00652173913043478	0	0.0934782608695652	0	0	0	0	0	0	0
"Sorex_daphaenodon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0377777777777778	0.0355555555555556	0.0266666666666667	0	0	0	0	0	0	0	0	0	0	0
"Alticola_macrotis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00714285714285714	0.00952380952380952	0	0	0.0214285714285714	0	0.0119047619047619	0	0	0.05	0	0	0	0	0
"Lemmus_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.00714285714285714	0	0.0761904761904762	0	0	0	0	0	0	0	0	0	0	0
"Spermophilus_parryii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Sorex_cinereus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_minutissimus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_roboratus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_advenarius"	0.0665217391304348	0.00565217391304348	0.021304347826087	0.00130434782608696	0.000869565217391304	0	0	0	0.00130434782608696	0.00304347826086957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.0214285714285714	0.05	0.0151785714285714	0	0.000892857142857143	0	0	0.00758928571428571	0.00178571428571429	0.00133928571428571	0	0	0.000892857142857143	0.000892857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.00138888888888889	0.0104166666666667	0	0	0.0354166666666667	0.0375	0	0.0111111111111111	0	0	0	0.00416666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.00833333333333333	0.0541666666666667	0.00694444444444444	0	0	0	0	0.00833333333333333	0	0.0222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0675675675675676	0.0144144144144144	0.00990990990990991	0	0	0	0	0	0.00810810810810811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
