"Clethrionomys_rutilus"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Clethrionomys_rufocanus"	"Myopus_schisticolor"	"Arvicola_terrestris"	"Neomys_fodiens"	"Sicista_betulina"	"Megabothris_rectangulatus"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_uncinatus"	"Amalaraeus_penicilliger"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Rhadinopsylla_integella"	"Palaeopsylla_soricis"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0.0461397058823529	0.0257352941176471	0.0130514705882353	0.0104779411764706	0.003125	0	0.00110294117647059	0.000367647058823529
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0.0258823529411765	0.04	0.0129411764705882	0.0158823529411765	0.00294117647058824	0.00117647058823529	0	0.00117647058823529
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0.0595505617977528	0.0101123595505618	0.0191011235955056	0.00337078651685393	0.00561797752808989	0.00224719101123596	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0.0377777777777778	0.0155555555555556	0.0177777777777778	0.0155555555555556	0.0133333333333333	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0.0235294117647059	0.0176470588235294	0.0176470588235294	0.0411764705882353	0	0	0	0
"Myopus_schisticolor"	0	0	0	0	0	0	0	0	0	0.0714285714285714	0	0	0	0.0285714285714286	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.06	0	0	0.04	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.0662269129287599	0.0116094986807388	0.0139841688654354	0.00448548812664908	0.00105540897097625	0.00131926121372032	0.00079155672823219	0	0.000527704485488127	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.0616740088105727	0.0299559471365639	0.0039647577092511	0.00308370044052863	0.0013215859030837	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0.0586776859504132	0.0181818181818182	0.0140495867768595	0.00661157024793389	0.00247933884297521	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0553398058252427	0.0262135922330097	0.0029126213592233	0.00679611650485437	0.00679611650485437	0	0.00194174757281553	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.0485714285714286	0.0142857142857143	0.0142857142857143	0.0171428571428571	0	0.00571428571428571	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0	0.0222222222222222	0.0222222222222222	0	0	0	0	0.0555555555555556	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
