"Sideroxylon_cinereum"	"Geniostoma_borbonicum"	"Croton_fothergillifolius"	"Aphloia_theiformis"	"Psiadia_terebinthina"	"Erythroxylum_macrocarpum"	"Toddalia_asiatica"	"Molinaea_alternifolia"	"Claoxylon_linostachys"	"Antirhea_borbonica"	"Roussea_simplex"	"Pachycerina_crinicornis"	"Melanostoma_annulipes"	"Apis_mellifera"	"Stomorhina_lunata"	"Musca_domestica"	"Stomoxys_niger"	"Fannia_pusio"	"Stomoxys_calcitrans"	"Brachymyrmex_sp1_M_PL_060"	"Nacoleia_sp1_M_PL_060"	"Technomyrmex_albipes"	"Zosterops_mauritianus"	"Chrysomya_megacephala"	"Henotesia_narcissus"	"Miridae_sp1_M_PL_060"	"Nyctemera_insulare"	"Orthellia_albigena"	"Ceratitis_roas"	"Chaetocnema_sp1_M_PL_060"	"Homoneura_quadrivittata"	"Lygistorrhina_sp1_M_PL_060"	"Ophyra_capensis"	"Orchisia_costata"	"Chironomidae_sp1_M_PL_060"	"Cicadellidae_sp1_M_PL_060"	"Dysauxes_florida"	"Episyrphus_sp1_M_PL_060"	"Eristalinus_flaveolus"	"Ischiodon_aegyptius"	"Limnophora_quaterna"	"Ornidia_obesa"	"Pelecophora_intemipta"	"Psyllidae_sp1_M_PL_060"	"Sapromyza_sp1_M_PL_060"	"Scirtidae_sp1_M_PL_060"	"Scirtidae_sp2_M_PL_060"	"Syritta_nigrofemorata"	"Tarundia_servillei"	"Tettigoniidae_sp1_M_PL_060"
"Sideroxylon_cinereum"	0	0	0	0	0	0	0	0	0	0	0	0.0116666666666667	0.00333333333333333	0.0516666666666667	0.00166666666666667	0.00333333333333333	0.005	0.015	0.00166666666666667	0	0	0	0.00333333333333333	0	0	0	0	0	0	0	0	0	0	0	0.00166666666666667	0	0	0	0	0	0	0	0	0	0.00166666666666667	0	0	0	0	0
"Geniostoma_borbonicum"	0	0	0	0	0	0	0	0	0	0	0	0.0340909090909091	0.00227272727272727	0	0	0.00454545454545455	0.0181818181818182	0.00681818181818182	0	0	0.00909090909090909	0	0	0	0	0	0.00454545454545455	0.00454545454545455	0.00227272727272727	0	0.00454545454545455	0	0	0.00227272727272727	0	0	0	0	0.00227272727272727	0	0	0	0	0	0	0	0.00227272727272727	0	0.00227272727272727	0
"Croton_fothergillifolius"	0	0	0	0	0	0	0	0	0	0	0	0.0365853658536585	0.0024390243902439	0	0.0170731707317073	0.0219512195121951	0	0	0.00487804878048781	0	0.0024390243902439	0	0	0.0024390243902439	0	0	0	0	0	0	0	0	0	0	0	0	0.0024390243902439	0	0	0.0024390243902439	0	0.0024390243902439	0	0.0024390243902439	0	0	0	0.0024390243902439	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0.005	0.0225	0	0.0025	0.02	0.0125	0.0025	0.0075	0	0.0025	0.0075	0.005	0.005	0	0	0.0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0025	0	0.0025	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0.004	0.02	0	0.044	0.004	0	0.004	0.004	0	0	0	0	0.004	0	0	0	0.004	0	0.004	0	0	0.004	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erythroxylum_macrocarpum"	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.01	0.01	0.005	0	0.03	0	0	0	0.01	0	0	0.005	0	0	0.005	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Toddalia_asiatica"	0	0	0	0	0	0	0	0	0	0	0	0.0222222222222222	0.0111111111111111	0	0.0277777777777778	0	0	0	0.00555555555555556	0	0	0	0	0	0.00555555555555556	0.00555555555555556	0	0	0	0.00555555555555556	0	0	0	0.00555555555555556	0	0	0	0.00555555555555556	0	0	0	0	0	0	0	0.00555555555555556	0	0	0	0
"Molinaea_alternifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0.00666666666666667	0	0	0	0	0	0	0.0666666666666667	0	0.0133333333333333	0	0	0.00666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666666666666667
"Claoxylon_linostachys"	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0.0538461538461538	0	0	0	0.00769230769230769	0	0	0	0	0.00769230769230769	0	0	0	0.00769230769230769	0	0	0	0	0	0.0153846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Antirhea_borbonica"	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Roussea_simplex"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_crinicornis"	0.0155555555555556	0.0333333333333333	0.0333333333333333	0.00444444444444444	0.00222222222222222	0	0.00888888888888889	0	0.00222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanostoma_annulipes"	0.00606060606060606	0.00303030303030303	0.00303030303030303	0.0272727272727273	0.0151515151515152	0.0121212121212121	0.00606060606060606	0.00303030303030303	0.0212121212121212	0.00303030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomorhina_lunata"	0.0037037037037037	0	0.0259259259259259	0.0037037037037037	0.0407407407407407	0.00740740740740741	0.0185185185185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Musca_domestica"	0.00833333333333333	0.00833333333333333	0.0375	0.0333333333333333	0.00416666666666667	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomoxys_niger"	0.0166666666666667	0.0444444444444444	0	0.0277777777777778	0	0.00555555555555556	0	0	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
