"Psiadia_terebinthina"	"Gaertnera_sp1_M_PL_079"	"Stillingia_lineata"	"Syzygium_coriaceum"	"Antidesma_madagascariense"	"Psathura_terniflora"	"Tabernaemontana_persicarifolia"	"Labourdonnaisia_callophylloides"	"Euodia_obtusifolia"	"Tristhema_mauritiana"	"Olea_lancea"	"Psidium_cattleianum"	"Villa_unifasciata"	"Nacoleia_sp1_M_PL_079"	"Chaetocnema_sp1_M_PL_079"	"Technomyrmex_albipes"	"Ahasverus_advena"	"Apis_mellifera"	"Dysauxes_florida"	"Brachymyrmex_sp1_M_PL_079"	"Allograpta_nasuta"	"Polistes_hebraeus"	"Syritta_nigrofemorata"	"Chrysomya_megacephala"	"Miridae_sp1_M_PL_079"	"Orthellia_albigena"	"Pachycerina_crinicornis"	"Phalanta_phalantha"	"Phorinia_sp1_M_PL_079"	"Stomorhina_lunata"
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0.0105263157894737	0	0.0368421052631579	0	0.00526315789473684	0.0105263157894737	0.0105263157894737	0	0.00526315789473684	0	0.0105263157894737	0	0.00526315789473684	0	0	0	0	0.00526315789473684
"Gaertnera_sp1_M_PL_079"	0	0	0	0	0	0	0	0	0	0	0	0	0.0133333333333333	0.06	0	0	0.00666666666666667	0.00666666666666667	0	0	0	0.0133333333333333	0	0	0	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.0266666666666667	0	0	0.0333333333333333	0	0	0	0.00666666666666667	0	0	0	0	0.00666666666666667	0.00666666666666667	0	0	0
"Syzygium_coriaceum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.04	0	0	0	0.03	0	0	0	0.01	0	0	0	0	0.01	0
"Antidesma_madagascariense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0
"Psathura_terniflora"	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0
"Tabernaemontana_persicarifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Labourdonnaisia_callophylloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Euodia_obtusifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tristhema_mauritiana"	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0
"Olea_lancea"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Villa_unifasciata"	0.0111111111111111	0.0111111111111111	0.0166666666666667	0	0	0.0277777777777778	0	0	0	0.0111111111111111	0.0111111111111111	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nacoleia_sp1_M_PL_079"	0	0.05625	0.025	0	0	0	0.01875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaetocnema_sp1_M_PL_079"	0.05	0	0	0.00714285714285714	0	0	0.0214285714285714	0	0.0214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Technomyrmex_albipes"	0	0	0	0.0444444444444444	0.0555555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ahasverus_advena"	0.0142857142857143	0.0142857142857143	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0285714285714286	0.0142857142857143	0	0	0	0	0	0.0571428571428571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dysauxes_florida"	0.05	0	0	0	0.025	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Brachymyrmex_sp1_M_PL_079"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allograpta_nasuta"	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_hebraeus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syritta_nigrofemorata"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysomya_megacephala"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Miridae_sp1_M_PL_079"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Orthellia_albigena"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_crinicornis"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phalanta_phalantha"	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phorinia_sp1_M_PL_079"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stomorhina_lunata"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
