"Cabralea_canjerana"	"Trema_micrantha"	"Trichilia_clauseni"	"Protium_heptaphyllum"	"Chamissoa_altissima"	"Ixora_venulosa"	"Dendropanax_cuneatum"	"Chiroxiphia_caudata"	"Manacus_manacus"	"Vireo_olivaceus"	"Saltator_similis"	"Myiodynastes_maculatus"	"Tachyphonus_coronatus"	"Pitangus_sulphuratus"	"Turdus_leucomelas"	"Trichothraupis_melanops"	"Turdus_rufiventris"	"Tyrannus_savanna"	"Cyclarhis_gujanensis"	"Dacnis_cayana"	"Empidonomus_varius"	"Myiarchus_ferox"	"Myiophobus_fasciatus"	"Turdus_amaurochalinus"	"Tyrannus_melancholicus"
"Cabralea_canjerana"	0	0	0	0	0	0	0	0.00784313725490196	0.00196078431372549	0.0215686274509804	0	0.0235294117647059	0	0.0176470588235294	0.0156862745098039	0	0	0.00392156862745098	0	0.00196078431372549	0.00196078431372549	0.00196078431372549	0	0	0.00196078431372549
"Trema_micrantha"	0	0	0	0	0	0	0	0.0341463414634146	0.0317073170731707	0.00487804878048781	0.0121951219512195	0	0.0170731707317073	0	0	0	0	0	0	0	0	0	0	0	0
"Trichilia_clauseni"	0	0	0	0	0	0	0	0.0105263157894737	0	0.0526315789473684	0.0105263157894737	0	0.0157894736842105	0	0	0.00526315789473684	0	0	0.00526315789473684	0	0	0	0	0	0
"Protium_heptaphyllum"	0	0	0	0	0	0	0	0.00625	0.0375	0	0.0375	0	0.00625	0	0	0	0.0125	0	0	0	0	0	0	0	0
"Chamissoa_altissima"	0	0	0	0	0	0	0	0.03	0.01	0	0	0	0.01	0	0	0.05	0	0	0	0	0	0	0	0	0
"Ixora_venulosa"	0	0	0	0	0	0	0	0.0285714285714286	0.0428571428571429	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0
"Dendropanax_cuneatum"	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0	0
"Chiroxiphia_caudata"	0.0153846153846154	0.0538461538461538	0.00769230769230769	0.00384615384615385	0.0115384615384615	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Manacus_manacus"	0.00384615384615385	0.05	0	0.0230769230769231	0.00384615384615385	0.0115384615384615	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Vireo_olivaceus"	0.0478260869565217	0.00869565217391304	0.0434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Saltator_similis"	0	0.0294117647058824	0.0117647058823529	0.0352941176470588	0	0.00588235294117647	0.0176470588235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myiodynastes_maculatus"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tachyphonus_coronatus"	0	0.0583333333333333	0.025	0.00833333333333333	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pitangus_sulphuratus"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_leucomelas"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trichothraupis_melanops"	0	0	0.0166666666666667	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_rufiventris"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tyrannus_savanna"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cyclarhis_gujanensis"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dacnis_cayana"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Empidonomus_varius"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myiarchus_ferox"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myiophobus_fasciatus"	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turdus_amaurochalinus"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tyrannus_melancholicus"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
