"Miconia_argentea"	"Miconia_lacera"	"Miconia_minutiflora"	"Miconia_impetiolaris"	"Pipra_mentalis"	"Pipra_coronata"	"Catharus_ustulatus"	"Tachyphonus_luctuosus"	"Eucometis_penicillata"	"Euphonia_fulvicrissa"	"Manacus_vitellinus"	"Mionectes_oleagineus"	"Catharus_minimus"	"Dendroica_pensylvanica"	"Catharus_fuscescens"	"Dendroica_striata"	"Empidonax_virescens"	"Habia_fuscicauda"	"Leptotila_cassinii"	"Oryzoborus_angolensis"	"Ramphocelus_dimidiatus"	"Schiffornis_turdinus"	"Seiurus_aurocapillus"
"Miconia_argentea"	0	0	0	0	0.0315789473684211	0.00657894736842105	0.0184210526315789	0.0171052631578947	0.0131578947368421	0	0.00263157894736842	0.00131578947368421	0	0.00263157894736842	0	0.00131578947368421	0	0.00131578947368421	0.00131578947368421	0.00131578947368421	0.00131578947368421	0	0
"Miconia_lacera"	0	0	0	0	0.0326530612244898	0.0346938775510204	0.00612244897959184	0	0	0.0122448979591837	0.00408163265306122	0	0.00408163265306122	0	0.00204081632653061	0	0.00204081632653061	0	0	0	0	0	0.00204081632653061
"Miconia_minutiflora"	0	0	0	0	0.0404761904761905	0.0380952380952381	0.0142857142857143	0	0	0	0	0.00476190476190476	0.00238095238095238	0	0	0	0	0	0	0	0	0	0
"Miconia_impetiolaris"	0	0	0	0	0.0363636363636364	0.0484848484848485	0	0	0.00303030303030303	0	0.00606060606060606	0.00303030303030303	0	0	0	0	0	0	0	0	0	0.00303030303030303	0
"Pipra_mentalis"	0.0347826086956522	0.0231884057971014	0.0246376811594203	0.0173913043478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pipra_coronata"	0.00925925925925926	0.0314814814814815	0.0296296296296296	0.0296296296296296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_ustulatus"	0.0608695652173913	0.0130434782608696	0.0260869565217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tachyphonus_luctuosus"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eucometis_penicillata"	0.0909090909090909	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Euphonia_fulvicrissa"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Manacus_vitellinus"	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mionectes_oleagineus"	0.025	0	0.05	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_minimus"	0	0.0666666666666667	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendroica_pensylvanica"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_fuscescens"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dendroica_striata"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Empidonax_virescens"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Habia_fuscicauda"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptotila_cassinii"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oryzoborus_angolensis"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ramphocelus_dimidiatus"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Schiffornis_turdinus"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Seiurus_aurocapillus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
