"Microtus_oeconomus"	"Sorex_arcticus"	"Clethrionomys_rutilus"	"Sorex_caecutiens"	"Sorex_roboratus"	"Neomys_fodiens"	"Lemmus_sibiricus"	"Clethrionomys_rufocanus"	"Arvicola_terrestris"	"Microtus_middendorffi"	"Sorex_minutus"	"Corrodopsylla_birulai"	"Peromyscopsylla_bidentata"	"Megabothris_rectangulatus"	"Amphipsylla_sibirica"	"Amalaraeus_penicilliger"	"Catallagia_dacenkoi"	"Megabothris_calcarifer"	"Catallagia_ioffi"	"Rhadinopsylla_integella"	"Amphalius_runatus"
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0.0172143974960876	0.0392801251956182	0.0272300469483568	0.0107981220657277	0.000312989045383412	0.00234741784037559	0.0028169014084507	0	0	0
"Sorex_arcticus"	0	0	0	0	0	0	0	0	0	0	0	0.0820717131474104	0.0049800796812749	0.00458167330677291	0.00697211155378486	0	0.000398406374501992	0	0	0.000398406374501992	0.000597609561752988
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0.00883280757097792	0.00378548895899054	0.0160883280757098	0.0312302839116719	0.0359621451104101	0	0.00315457413249211	0.000946372239747634	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0.087603305785124	0.000826446280991736	0.00247933884297521	0.00743801652892562	0	0.000826446280991736	0	0	0.000826446280991736	0
"Sorex_roboratus"	0	0	0	0	0	0	0	0	0	0	0	0.0913978494623656	0	0.0010752688172043	0.00537634408602151	0	0.0010752688172043	0	0	0.0010752688172043	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0.0963963963963964	0	0.0018018018018018	0.0018018018018018	0	0	0	0	0	0
"Lemmus_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0.0123595505617978	0	0	0	0.0876404494382023	0	0	0	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0	0	0.0171052631578947	0.0197368421052632	0.0171052631578947	0.0210526315789474	0.00263157894736842	0.0118421052631579	0	0.00789473684210526	0	0.00263157894736842
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0.00869565217391304	0	0.0478260869565217	0.0434782608695652	0	0	0	0	0	0
"Microtus_middendorffi"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.0103092783505155	0.0386129334582943	0.00262417994376757	0.0198687910028116	0.0159325210871603	0.0100281162136832	0.00103092783505155	0.00121836925960637	0.000187441424554827	0	0.000187441424554827	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.0822950819672131	0.00819672131147541	0.0039344262295082	0.000655737704918033	0	0	0	0.00491803278688525	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.0617021276595745	0.00815602836879433	0.0180851063829787	0.00212765957446809	0.000709219858156028	0.000709219858156028	0	0.00460992907801418	0.00390070921985816	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0.0256505576208178	0.0130111524163569	0.0368029739776952	0.00669144981412639	0.00371747211895911	0.000743494423791822	0	0.00594795539033457	0.00371747211895911	0.00371747211895911	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.00102040816326531	0	0.0581632653061225	0	0	0	0.0397959183673469	0.00102040816326531	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.05	0.00666666666666667	0	0.00666666666666667	0.00666666666666667	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.0642857142857143	0	0.0357142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0	0	0.0333333333333333	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0.0333333333333333	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphalius_runatus"	0	0.06	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0
