"Dillenia_ferruginea"	"Gastonia_crassa"	"Erythroxylum_sechellarum"	"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Roscheria_melanochaetes"	"Memecylon_eleagni"	"Aphloia_theiformis"	"Campnosperma_seychellarum"	"Cinnamomum_verum"	"Paragenipa_wrightii"	"Lasioglossum_mahense"	"Apis_mellifera"	"Nectarinia_dussumieri"	"Lygistorrhina_sp1_M_PL_102"	"Phelsuma_sp1_M_PL_102"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_102"	"Mabuya_sechellensis"	"Neavella_albipectus"	"Cratopus_aurostriatus"	"Pachycerina_seychellensis"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Unidentified_sp2_M_PL_102"	"Dichaetomyia_fasciculifera"	"Foudia_madagascariensis"	"Plagiostenopterina_cyanosoma"	"Scaptodrosophila_sp1_M_PL_102"	"Unidentified_sp3_M_PL_102"	"Unidentified_sp4_M_PL_102"	"Unidentified_sp5_M_PL_102"
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.0463414634146342	0.0390243902439024	0	0	0	0.0121951219512195	0	0	0	0.0024390243902439	0	0	0	0	0	0	0	0	0	0	0
"Gastonia_crassa"	0	0	0	0	0	0	0	0	0	0	0	0.0147058823529412	0.00294117647058824	0.0323529411764706	0	0.0264705882352941	0	0	0.0147058823529412	0	0	0	0	0.00588235294117647	0	0	0.00294117647058824	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.02	0.028	0	0	0	0	0.02	0	0.012	0	0.008	0	0	0	0.004	0	0.004	0	0	0	0.004
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0.0473684210526316	0.00526315789473684	0	0.0105263157894737	0.0210526315789474	0	0.0105263157894737	0	0	0.00526315789473684	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0.0277777777777778	0	0.05	0	0	0.00555555555555556	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0.00555555555555556	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0647058823529412	0	0	0.0117647058823529	0	0	0	0	0	0	0.0117647058823529	0	0	0	0	0.00588235294117647	0.00588235294117647	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0.0727272727272727	0	0	0	0.0181818181818182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Campnosperma_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0
"Cinnamomum_verum"	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.041304347826087	0.0108695652173913	0.0108695652173913	0.0195652173913043	0.0108695652173913	0	0.00217391304347826	0	0	0.00434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0457142857142857	0.00285714285714286	0.02	0.00285714285714286	0	0	0.0228571428571429	0	0	0.00285714285714286	0.00285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0.055	0	0	0.045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_102"	0	0	0	0.0153846153846154	0	0.0846153846153846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_102"	0	0.0692307692307692	0	0.0307692307692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
