"Sorex_araneus"	"Neomys_fodiens"	"Microtus_oeconomus"	"Microtus_arvalis"	"Clethrionomys_glareolus"	"Clethrionomys_rutilus"	"Sorex_minutus"	"Apodemus_speciosus"	"Apodemus_agrarius"	"Sicista_subtilis"	"Arvicola_terrestris"	"Sorex_arcticus"	"Sorex_daphaenodon"	"Micromys_minutus"	"Talpa_europaea"	"Microtus_gregalis"	"Microtus_agrestis"	"Cricetus_cricetus"	"Sorex_caecutiens"	"Clethrionomys_rufocanus"	"Sorex_isodon"	"Tamias_sibiricus"	"Sorex_minutissimus"	"Neopsylla_mana"	"Ctenophthalmus_assimilis"	"Megabothris_rectangulatus"	"Amalaraeus_penicilliger"	"Palaeopsylla_soricis"	"Hystrichopsylla_talpae"	"Frontopsylla_elata"	"Megabothris_turbidus"	"Ceratophyllus_indages"
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0819935691318328	0.00819935691318328	0.00160771704180064	0.000803858520900322	0.00418006430868167	0.00289389067524116	0	0.000321543408360129	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0610169491525424	0.0305084745762712	0.00169491525423729	0.00112994350282486	0.00564971751412429	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00547945205479452	0.0301369863013699	0.0363013698630137	0.0178082191780822	0.00410958904109589	0.00616438356164384	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104166666666667	0.0416666666666667	0.0208333333333333	0.0104166666666667	0.00347222222222222	0.00208333333333333	0.00416666666666667	0.00694444444444444	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233082706766917	0.0233082706766917	0.0233082706766917	0.0112781954887218	0.00601503759398496	0.00601503759398496	0.00225563909774436	0.00451127819548872	0
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160714285714286	0.0241071428571429	0.0241071428571429	0.0160714285714286	0.00803571428571429	0.00446428571428571	0.00267857142857143	0.00446428571428571	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0789473684210526	0.0126315789473684	0.00526315789473684	0	0.00315789473684211	0	0	0	0
"Apodemus_speciosus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149425287356322	0.028735632183908	0.00689655172413793	0.00689655172413793	0.00229885057471264	0.0149425287356322	0.0218390804597701	0.00344827586206897	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0128205128205128	0.0256410256410256	0.0128205128205128	0.00256410256410256	0.0256410256410256	0.00384615384615385	0.0128205128205128	0.00384615384615385	0
"Sicista_subtilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0564516129032258	0.0145161290322581	0.00806451612903226	0	0	0.00967741935483871	0.0112903225806452	0	0
