"Potentilla_vahliana"	"Dryas_integrifolia"	"Astragalus_alpinus"	"Taraxacum_sp1_M_PL_024"	"Caltha_palustris"	"Cerastium_alpinum"	"Arnica_alpina"	"Papaver_radicatum"	"Geum_rossii"	"Oxytropis_arctica"	"Petasites_frigidus"	"Spilogona_sanctipauli"	"Bombus_polaris"	"Spilogona_almquistii"	"Colias_hecla"	"Eupogonomyia_probilofensis"	"Boloria_improba"	"Pogonomyiodes_segnis"	"Spilogona_latilamina"	"Boreellus_atriceps"	"Spilogona_dorsata"	"Spilogona_projecta"	"Spilogona_aesturium"	"Spilogona_melanosoma"	"Anarta_richardsoni"	"Colias_nastes"	"Protocalliphora_sp1_M_PL_024"	"Rhamphomyia_sp1_M_PL_024"	"Spilogona_hurdiana"
"Potentilla_vahliana"	0	0	0	0	0	0	0	0	0	0	0	0.0431818181818182	0	0.0113636363636364	0	0.0159090909090909	0	0.00227272727272727	0.0113636363636364	0.00681818181818182	0.00454545454545455	0	0	0.00227272727272727	0	0	0.00227272727272727	0	0
"Dryas_integrifolia"	0	0	0	0	0	0	0	0	0	0	0	0.0441176470588235	0	0.00882352941176471	0	0.00588235294117647	0.0235294117647059	0.0147058823529412	0	0	0	0.00294117647058824	0	0	0	0	0	0	0
"Astragalus_alpinus"	0	0	0	0	0	0	0	0	0	0	0	0	0.0555555555555556	0	0.0407407407407407	0	0	0	0	0	0	0	0	0	0	0.0037037037037037	0	0	0
"Taraxacum_sp1_M_PL_024"	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0.0375	0	0	0	0	0	0.0125	0	0	0.025	0	0	0	0	0.0125	0
"Caltha_palustris"	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0	0.0142857142857143	0	0	0	0	0	0	0.0142857142857143	0	0	0.0142857142857143	0	0	0	0	0.0142857142857143
"Cerastium_alpinum"	0	0	0	0	0	0	0	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0
"Arnica_alpina"	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0.025	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0
"Papaver_radicatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0
"Geum_rossii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oxytropis_arctica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0
