"Nephrosperma_vanhoutteanum"	"Canthium_bibracteatum"	"Deckenia_nobilis"	"Paragenipa_wrightii"	"Phoenicophorium_borsigianum"	"Medusagyne_oppositifolia"	"Psychotria_pervillei"	"Alstonia_macrophylla"	"Syzygium_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Ornidia_obesa"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_090"	"Melanostoma_annulipes"	"Polistes_olivaceus"	"Ceratina_tabescens"	"Rhiparida_seychellensis"	"Unidentified_sp2_M_PL_090"	"Euodynerus_cylindricus"	"Nectarinia_dussumieri"	"Unidentified_sp5_M_PL_090"	"Rhynchium_brunneum"	"Unidentified_sp1_M_PL_090"	"Eagris_sabadius"	"Pachycerina_seychellensis"	"Scaptodrosophila_sp1_M_PL_090"	"Tricimba_seychellensis"	"Unidentified_sp3_M_PL_090"	"Unidentified_sp4_M_PL_090"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0.0346153846153846	0.0294871794871795	0.00512820512820513	0.00384615384615385	0.00256410256410256	0	0.00128205128205128	0.00512820512820513	0.00128205128205128	0.00512820512820513	0.00512820512820513	0.00384615384615385	0	0	0	0	0.00128205128205128	0	0	0	0.00128205128205128	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0	0.0647058823529412	0.00588235294117647	0.00441176470588235	0.0161764705882353	0	0.00441176470588235	0	0	0.00147058823529412	0	0	0	0	0	0.00147058823529412	0	0	0	0	0.00147058823529412	0	0	0
"Deckenia_nobilis"	0	0	0	0	0	0	0	0	0	0.05	0.0166666666666667	0.0166666666666667	0	0.00925925925925926	0	0.00555555555555556	0.00185185185185185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0.0555555555555556	0.0296296296296296	0	0.00185185185185185	0	0.0037037037037037	0.00185185185185185	0	0.00185185185185185	0	0	0	0	0	0	0	0.00185185185185185	0	0.00185185185185185	0	0	0	0.00185185185185185
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0.0423076923076923	0.0288461538461538	0.00384615384615385	0.00192307692307692	0.00961538461538462	0.00769230769230769	0.00384615384615385	0	0.00192307692307692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Medusagyne_oppositifolia"	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.00333333333333333	0	0	0.00666666666666667	0	0	0	0	0	0	0.00333333333333333	0	0	0	0	0	0	0	0	0	0.00333333333333333	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0.0789473684210526	0.0157894736842105	0	0.00526315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alstonia_macrophylla"	0	0	0	0	0	0	0	0	0	0.0133333333333333	0	0	0	0.00666666666666667	0.0133333333333333	0	0.00666666666666667	0.00666666666666667	0	0	0	0.02	0	0.0133333333333333	0.0133333333333333	0	0.00666666666666667	0	0	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0140625	0.0229166666666667	0.0140625	0.015625	0.0114583333333333	0.0130208333333333	0.0078125	0.00104166666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
