"Microtus_arvalis"	"Lagurus_lagurus"	"Marmota_bobak"	"Arvicola_terrestris"	"Allocricetulus_eversmanni"	"Apodemus_uralensis"	"Microtus_gregalis"	"Spermophilus_major"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Microtus_oeconomus"	"Spermophilus_pygmaeus"	"Allactaga_major"	"Cricetus_cricetus"	"Spermophilus_fulvus"	"Micromys_minutus"	"Ctenophthalmus_breviatus"	"Ctenophthalmus_assimilis"	"Citellophilus_tesquorum"	"Neopsylla_pleskei"	"Frontopsylla_elata"	"Oropsylla_ilovaiskii"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Corrodopsylla_birulai"	"Mesopsylla_hebes"	"Amphipsylla_prima"	"Frontopsylla_semura"	"Palaeopsylla_soricis"	"Leptopsylla_segnis"	"Neopsylla_setosa"	"Oropsylla_silantiewi"	"Amphipsylla_kalabukhovi"	"Amphipsylla_kuznetzovi"
"Peromyscopsylla_bidentata"	0.0375	0	0	0	0	0.0125	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0	0	0	0	0	0	0	0	0.0866666666666667	0	0.0133333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mesopsylla_hebes"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_prima"	0	0.08	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_semura"	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_setosa"	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Oropsylla_silantiewi"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kalabukhovi"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kuznetzovi"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
