"Psychotria_hoffmannseggiana"	"Psychotria_marginata"	"Psychotria_acuminata"	"Psychotria_deflexa"	"Psychotria_horizontalis"	"Psychotria_limonensis"	"Psychotria_poeppigiana"	"Psychotria_emetica"	"Psychotria_psychotrifolia"	"Psychotria_brachybotrya"	"Psychotria_pittieri"	"Psychotria_racemosa"	"Psychotria_grandis"	"Pipra_mentalis"	"Pipra_coronata"	"Catharus_ustulatus"	"Manacus_vitellinus"	"Catharus_fuscescens"	"Catharus_minimus"	"Habia_fuscicauda"	"Schiffornis_turdinus"	"Empidonax_virescens"	"Mionectes_oleagineus"	"Trogon_rufus"
"Psychotria_hoffmannseggiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0764705882352941	0.0102941176470588	0.00441176470588235	0.00147058823529412	0.00147058823529412	0.00441176470588235	0	0.00147058823529412	0	0	0
"Psychotria_marginata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321428571428571	0.0285714285714286	0.00535714285714286	0.0178571428571429	0.0125	0	0	0.00178571428571429	0	0	0.00178571428571429
"Psychotria_acuminata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0.014	0.026	0	0.002	0.006	0	0	0	0	0
"Psychotria_deflexa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321428571428571	0.0392857142857143	0.0178571428571429	0	0	0	0.0107142857142857	0	0	0	0
"Psychotria_horizontalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0464285714285714	0.00714285714285714	0.0214285714285714	0.00714285714285714	0.00714285714285714	0.00357142857142857	0	0	0.00357142857142857	0.00357142857142857	0
"Psychotria_limonensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084	0	0.004	0.004	0.008	0	0	0	0	0	0
"Psychotria_poeppigiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461538461538462	0.0230769230769231	0.00769230769230769	0.00769230769230769	0	0	0.0153846153846154	0	0	0	0
"Psychotria_emetica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0	0	0.0571428571428571	0	0	0	0	0
"Psychotria_psychotrifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.04	0	0	0	0	0	0	0	0	0
"Psychotria_brachybotrya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.05	0.025	0	0	0	0	0	0	0	0
"Psychotria_pittieri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0666666666666667	0	0	0	0	0	0	0
"Psychotria_racemosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0
"Psychotria_grandis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Pipra_mentalis"	0.0342105263157895	0.0118421052631579	0.0171052631578947	0.00592105263157895	0.00855263157894737	0.0138157894736842	0.00394736842105263	0	0.00197368421052632	0.000657894736842105	0	0.000657894736842105	0.00131578947368421	0	0	0	0	0	0	0	0	0	0	0
"Pipra_coronata"	0.0134615384615385	0.0307692307692308	0.0134615384615385	0.0211538461538462	0.00384615384615385	0	0.00576923076923077	0	0.00384615384615385	0.00384615384615385	0.00192307692307692	0.00192307692307692	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_ustulatus"	0.00833333333333333	0.00833333333333333	0.0361111111111111	0.0138888888888889	0.0166666666666667	0.00277777777777778	0.00277777777777778	0.00833333333333333	0	0.00277777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Manacus_vitellinus"	0.00555555555555556	0.0555555555555556	0	0	0.0111111111111111	0.00555555555555556	0.00555555555555556	0	0	0	0.0111111111111111	0.00555555555555556	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_fuscescens"	0.00769230769230769	0.0538461538461538	0.00769230769230769	0	0.0153846153846154	0.0153846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_minimus"	0.0272727272727273	0	0.0272727272727273	0	0.00909090909090909	0	0	0.0363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Habia_fuscicauda"	0	0	0	0.06	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Schiffornis_turdinus"	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Empidonax_virescens"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mionectes_oleagineus"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trogon_rufus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
