"Microtus_agrestis"	"Apodemus_sylvaticus"	"Sorex_araneus"	"Clethrionomys_glareolus"	"Neomys_fodiens"	"Sorex_minutus"	"Ctenophthalmus_nobilis"	"Megabothris_walkeri"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Ctenophthalmus_bisoctodentatus"	"Doratopsylla_dasycnema"	"Hystrichopsylla_talpae"
"Microtus_agrestis"	0	0	0	0	0	0	0.0685185185185185	0.0231481481481482	0.00185185185185185	0.00462962962962963	0.00185185185185185	0	0
"Apodemus_sylvaticus"	0	0	0	0	0	0	0.0916666666666667	0.00833333333333333	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0.0666666666666667	0	0.0111111111111111	0.0111111111111111	0.0111111111111111
"Clethrionomys_glareolus"	0	0	0	0	0	0	0.0666666666666667	0	0.0333333333333333	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Ctenophthalmus_nobilis"	0.069811320754717	0.0207547169811321	0	0.00377358490566038	0.00377358490566038	0.00188679245283019	0	0	0	0	0	0	0
"Megabothris_walkeri"	0.0925925925925926	0.00740740740740741	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0125	0	0.075	0.0125	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_bisoctodentatus"	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0	0	0.1	0	0	0	0	0	0	0	0	0	0
