"Guarea_guidonia"	"Cecropia_schreberiana"	"Schefflera_morototoni"	"Miconia_prasina"	"Cupania_americana"	"Alchornea_latifolia"	"Myrcia_sp1_M_SD_003"	"Byrsonima_coriacea"	"Clusia_rosea"	"Henriettea_fascicularis"	"Casearia_arborea"	"Ocotea_leucoxylon"	"Miconia_affinis"	"Phoradendron_sp1_M_SD_003"	"Psychotria_berteroana"	"Inga_vera"	"Ficus_sp1_M_SD_003"	"Myrcine_coriacea"	"Anthurium_scandens"	"Dendropanax_arboreus"	"Inga_laurina"	"Miconia_serrulata"	"Tournefortia_hisutissima"	"Unidentified_sp2_M_SD_003"	"Unidentified_sp3_M_SD_003"	"Loxigilla_portoricensis"	"Spindalis_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Columba_squamosa"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Euphonia_musica"	"Margarops_fuscatus"	"Icterus_dominicensis"	"Zenaida_zenaida"	"Molothrus_bonariensis"	"Nesospingus_sp1_M_SD_003"	"Tiaris_bicolor"	"Todus_mexicanus"	"Unidentified_sp1_M_SD_003"
"Guarea_guidonia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0790697674418605	0	0.013953488372093	0	0	0	0.00465116279069767	0	0.00232558139534884	0	0	0	0	0	0	0
"Cecropia_schreberiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.03	0.0025	0.0075	0.0025	0.0175	0	0.0025	0.005	0	0	0	0.0025	0.0025	0.0025	0
"Schefflera_morototoni"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.00357142857142857	0.0357142857142857	0.0107142857142857	0	0	0	0	0	0	0	0	0	0	0
"Miconia_prasina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028	0.06	0	0	0	0.008	0	0	0.004	0	0	0	0	0	0	0
"Cupania_americana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0142857142857143	0.00476190476190476	0	0.00952380952380952	0.0285714285714286	0	0	0.00476190476190476	0	0.00476190476190476	0	0	0	0
"Alchornea_latifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0625	0	0.0125	0	0	0	0	0	0	0	0.025	0	0	0	0	0
"Myrcia_sp1_M_SD_003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.0625	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0
"Byrsonima_coriacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0142857142857143	0.0285714285714286	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0
"Clusia_rosea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Henriettea_fascicularis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571428571428571	0.0142857142857143	0	0.0142857142857143	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0
"Casearia_arborea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0166666666666667	0	0.0166666666666667	0	0.0166666666666667	0	0	0	0	0	0	0	0	0.0166666666666667
"Ocotea_leucoxylon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Miconia_affinis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoradendron_sp1_M_SD_003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0.075	0	0	0	0	0	0	0	0
"Psychotria_berteroana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Inga_vera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ficus_sp1_M_SD_003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0
"Myrcine_coriacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
