"Arvicola_terrestris"	"Apodemus_sylvaticus"	"Apodemus_agrarius"	"Microtus_arvalis"	"Chionomys_gud"	"Spermophilus_pygmaeus"	"Cricetulus_migratorius"	"Microtus_socialis"	"Cricetus_cricetus"	"Microtus_majori"	"Mesocricetus_raddei"	"Amphipsylla_rossica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_wagneri"	"Leptopsylla_taschenbergi"	"Nosopsyllus_mokrzeckyi"	"Ctenophthalmus_proximus"	"Ctenophthalmus_orientalis"	"Citellophilus_tesquorum"	"Megabothris_turbidus"	"Ctenophthalmus_golovi"	"Ctenophthalmus_secundus"	"Paradoxopsyllus_hesperius"	"Ctenophthalmus_chionomydis"	"Rhadinopsylla_ucrainica"	"Amphipsylla_kuznetzovi"	"Callopsylla_caspia"	"Ctenophthalmus_acuminatus"	"Megabothris_walkeri"	"Hystrichopsylla_talpae"
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0.0652591170825336	0.0017274472168906	0.0220729366602687	0.00153550863723608	0	0.00191938579654511	0.00115163147792706	0	0.00383877159309021	0.00153550863723608	0	0	0	0.000383877159309021	0	0	0	0	0.000575815738963532
"Apodemus_sylvaticus"	0	0	0	0	0	0	0	0	0	0	0	0.00155844155844156	0.0223376623376623	0.00337662337662338	0.0272727272727273	0.0192207792207792	0.0150649350649351	0.0051948051948052	0.000519480519480519	0.000519480519480519	0	0.00311688311688312	0	0	0.000519480519480519	0	0	0.000519480519480519	0.000779220779220779	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0.0164556962025316	0.00421940928270042	0.0177215189873418	0.029957805907173	0.0278481012658228	0.0029535864978903	0	0	0	0.000843881856540084	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0.004	0.049	0.03	0	0	0	0.006	0	0.006	0	0	0	0	0	0	0	0	0.003	0.002
"Chionomys_gud"	0	0	0	0	0	0	0	0	0	0	0	0.0117647058823529	0.00352941176470588	0.0117647058823529	0.00941176470588235	0.00470588235294118	0	0.00235294117647059	0	0	0.0129411764705882	0	0.0117647058823529	0.0141176470588235	0.00352941176470588	0.00705882352941176	0.00705882352941176	0	0	0
"Spermophilus_pygmaeus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0075	0.0925	0	0	0	0	0	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0.0426666666666667	0.00933333333333333	0	0.00266666666666667	0	0.032	0	0	0	0.00266666666666667	0.0106666666666667	0	0	0	0	0	0	0
"Microtus_socialis"	0	0	0	0	0	0	0	0	0	0	0	0	0.0564102564102564	0.00512820512820513	0	0	0	0.0282051282051282	0	0	0	0.0102564102564103	0	0	0	0	0	0	0	0
"Cricetus_cricetus"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_majori"	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0.0111111111111111	0.0111111111111111	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0
"Mesocricetus_raddei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0
"Amphipsylla_rossica"	0.0913978494623656	0.00161290322580645	0	0.0010752688172043	0.00268817204301075	0	0	0	0	0.0032258064516129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.00347490347490348	0.0332046332046332	0.0150579150579151	0.0189189189189189	0.00115830115830116	0	0.0123552123552124	0.00849420849420849	0.00733590733590734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_wagneri"	0.0608465608465609	0.00687830687830688	0.00529100529100529	0.0158730158730159	0.00529100529100529	0	0.0037037037037037	0.00105820105820106	0	0.00105820105820106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0.00484848484848485	0.0636363636363636	0.0254545454545455	0	0.00484848484848485	0	0	0	0	0.00121212121212121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0	0.0490066225165563	0.0470198675496689	0	0.00264900662251656	0	0.00132450331125828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_proximus"	0.00746268656716418	0.0432835820895522	0.0492537313432836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_orientalis"	0.00714285714285714	0.0238095238095238	0.00833333333333333	0.00714285714285714	0.00238095238095238	0.00714285714285714	0.0285714285714286	0.0130952380952381	0	0	0.00238095238095238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_tesquorum"	0	0.00263157894736842	0	0	0	0.0973684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.0714285714285714	0.00714285714285714	0	0.0214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_golovi"	0.0380952380952381	0	0	0	0.0523809523809524	0	0	0	0	0.00952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_secundus"	0	0.06	0.01	0	0	0	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_hesperius"	0	0	0	0	0.0555555555555556	0	0.0444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_chionomydis"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_ucrainica"	0.0285714285714286	0.0285714285714286	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_kuznetzovi"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_acuminatus"	0	0.0333333333333333	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0	0.05	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.06	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
