"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_oeconomus"	"Megabothris_advenarius"	"Amalaraeus_penicilliger"	"Stenoponia_montana"	"Catallagia_dacenkoi"	"Hystrichopsylla_microti"	"Amphipsylla_marikovskii"	"Rhadinopsylla_integella"
"Clethrionomys_rutilus"	0	0	0	0.0509259259259259	0.024537037037037	0.0162037037037037	0.00231481481481481	0.0037037037037037	0.000925925925925926	0.00138888888888889
"Clethrionomys_rufocanus"	0	0	0	0.0352941176470588	0.0294117647058824	0	0.0294117647058824	0	0.00588235294117647	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0.1	0
"Megabothris_advenarius"	0.0901639344262295	0.00983606557377049	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0841269841269841	0.0158730158730159	0	0	0	0	0	0	0	0
"Stenoponia_montana"	0.1	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.0333333333333333	0.0666666666666667	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.1	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.1	0	0	0	0	0	0	0	0	0
