"Roscheria_melanochaetes"	"Mimusops_sechellarum"	"Dillenia_ferruginea"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Erythroxylum_sechellarum"	"Soulamea_terminaloides"	"Aphloia_theiformis"	"Syzygium_wrightii"	"Craterispermum_microdon"	"Glionnetia_sericea"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp1_M_PL_101"	"Unidentified_sp3_M_PL_101"	"Ornidia_obesa"	"Unidentified_sp2_M_PL_101"	"Unidentified_sp6_M_PL_101"	"Neavella_albipectus"	"Dichaetomyia_fasciculifera"	"Parasarcophaga_hirticeps"	"Scaptodrosophila_sp1_M_PL_101"	"Unidentified_sp4_M_PL_101"	"Unidentified_sp8_M_PL_101"	"Eristalinus_vicarians"	"Perissoma_aenescens"	"Phelsuma_sp1_M_PL_101"	"Unidentified_sp5_M_PL_101"	"Unidentified_sp7_M_PL_101"
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0.0130434782608696	0	0.00869565217391304	0.0391304347826087	0	0.0304347826086957	0	0	0	0	0	0	0.00869565217391304	0	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0.0590909090909091	0	0	0	0	0.0272727272727273	0.00909090909090909	0	0	0	0	0	0	0	0	0	0.00454545454545455
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0	0.0571428571428571	0.00952380952380952	0	0	0.0285714285714286	0	0	0	0	0	0	0	0	0	0.00476190476190476	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.0214285714285714	0.0785714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0.0636363636363636	0.0181818181818182	0	0	0	0	0	0	0.0181818181818182	0	0	0	0	0	0	0	0	0
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0	0	0	0	0	0.01	0.01	0	0	0.01	0	0	0	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0.0285714285714286	0	0	0.0142857142857143	0	0	0	0	0	0	0.0285714285714286	0	0	0	0	0.0142857142857143	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0.02	0.02	0	0	0	0	0.02	0	0
"Craterispermum_microdon"	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Glionnetia_sericea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.00789473684210526	0	0.0315789473684211	0.00789473684210526	0.0263157894736842	0.0184210526315789	0	0.00263157894736842	0.00526315789473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.0371428571428571	0.00571428571428571	0.0314285714285714	0.00571428571428571	0.00571428571428571	0	0.00571428571428571	0	0.00857142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_101"	0.0222222222222222	0	0	0	0	0	0.0777777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_101"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0.0857142857142857	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_101"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp6_M_PL_101"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neavella_albipectus"	0	0.0666666666666667	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dichaetomyia_fasciculifera"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
