"Stillingia_lineata"	"Aphloia_theiformis"	"Croton_grangeroides"	"Phyllanthus_phillyreifolius"	"Psiadia_terebinthina"	"Syzygium_petrinese"	"Badula_insularis"	"Calophyllum_eputamen"	"Diospyros_revaughanii"	"Molinaea_macrantha"	"Rubus_alcefolius"	"Psidium_cattleianum"	"Embelia_angustifolia"	"Tabernaemontana_persicarifolia"	"Apis_mellifera"	"Technomyrmex_albipes"	"Musca_domestica"	"Brachymyrmex_sp1_M_PL_083"	"Chaetocnema_sp1_M_PL_083"	"Chrysomya_megacephala"	"Dysauxes_florida"	"Orthellia_albigena"	"Eristalinus_flaveolus"	"Ophyra_capensis"	"Paragus_borbonicus"	"Pheidole_megacephala"	"Nacoleia_sp1_M_PL_083"	"Ornidia_obesa"	"Polistes_hebraeus"	"Stomorhina_lunata"	"Fannia_pusio"	"Macroglossum_milvus"	"Musca_confiscata"	"Phelsuma_cepediana"	"Sapromyza_sp1_M_PL_083"	"Sarcophaga_arno"	"Simulium_sp1_M_PL_083"	"Syritta_sp1_M_PL_083"
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466666666666667	0	0.00666666666666667	0.02	0	0.00666666666666667	0	0	0	0	0	0	0	0	0	0	0.00666666666666667	0	0	0.00666666666666667	0.00666666666666667	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00833333333333333	0.025	0	0	0.00833333333333333	0	0.025	0.025	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
"Croton_grangeroides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.0166666666666667	0.0333333333333333	0	0	0	0.00833333333333333	0	0	0	0	0	0	0	0	0	0.00833333333333333	0	0	0.00833333333333333
"Phyllanthus_phillyreifolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0.00833333333333333	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0
"Psiadia_terebinthina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0	0	0	0	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Syzygium_petrinese"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0
"Badula_insularis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Calophyllum_eputamen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0888888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0
"Diospyros_revaughanii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0.0142857142857143	0	0	0	0	0	0
"Molinaea_macrantha"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rubus_alcefolius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0
"Embelia_angustifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tabernaemontana_persicarifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0	0	0	0	0	0.02	0	0.04	0.025	0	0.01	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Technomyrmex_albipes"	0	0.00526315789473684	0	0.0421052631578947	0	0	0.0315789473684211	0	0	0.0210526315789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Musca_domestica"	0.0538461538461538	0.0230769230769231	0	0	0	0.0153846153846154	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Brachymyrmex_sp1_M_PL_083"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chaetocnema_sp1_M_PL_083"	0.0142857142857143	0	0.0428571428571429	0	0	0	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chrysomya_megacephala"	0.0428571428571429	0.0142857142857143	0.0285714285714286	0	0	0	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dysauxes_florida"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Orthellia_albigena"	0.025	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_flaveolus"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ophyra_capensis"	0	0	0	0.0333333333333333	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paragus_borbonicus"	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pheidole_megacephala"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nacoleia_sp1_M_PL_083"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0	0	0	0	0	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_hebraeus"	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
