"Apodemus_agrarius"	"Microtus_fortis"	"Tamias_sibiricus"	"Micromys_minutus"	"Apodemus_peninsulae"	"Megabothris_calcarifer"	"Neopsylla_bidentatiformis"	"Ctenophthalmus_congeneroides"	"Frontopsylla_elata"	"Pectinoctenus_pectiniceps"	"Ceratophyllus_indages"	"Frontopsylla_luculenta"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"	"Leptopsylla_segnis"	"Hystrichopsylla_microti"	"Megabothris_advenarius"	"Amphipsylla_vinogradovi"	"Ctenophthalmus_pisticus"	"Rhadinopsylla_rothschildi"	"Amphipsylla_marikovskii"	"Stenoponia_sidimi"	"Neopsylla_acanthina"	"Neopsylla_pleskei"
"Apodemus_agrarius"	0	0	0	0	0	0.0277860326894502	0.0185735512630015	0.0181277860326895	0.0163447251114413	0.0087667161961367	0.000445765230312036	0.00312035661218425	0.00297176820208024	0.000445765230312036	0.000891530460624071	0.000891530460624071	0.000594353640416048	0.000445765230312036	0	0.000297176820208024	0	0	0	0.000297176820208024
"Microtus_fortis"	0	0	0	0	0	0.0831275720164609	0.00205761316872428	0.00534979423868313	0.000823045267489712	0.000823045267489712	0	0	0	0.0037037037037037	0.00123456790123457	0	0.000823045267489712	0.000823045267489712	0	0	0.00123456790123457	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0.00769230769230769	0	0	0.00512820512820513	0.0717948717948718	0.00769230769230769	0	0	0	0	0	0	0.00512820512820513	0	0	0	0.00256410256410256	0
"Micromys_minutus"	0	0	0	0	0	0.0142857142857143	0	0	0	0	0	0.0357142857142857	0	0	0	0.0142857142857143	0	0	0	0.0142857142857143	0	0.0214285714285714	0	0
"Apodemus_peninsulae"	0	0	0	0	0	0	0.0272727272727273	0	0	0.0272727272727273	0	0.0454545454545455	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.0478260869565217	0.0516624040920716	0	0.00051150895140665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_bidentatiformis"	0.0899280575539568	0.00359712230215827	0.00431654676258993	0	0.00215827338129496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_congeneroides"	0.0903703703703704	0.00962962962962963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0.0982142857142857	0.00178571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pectiniceps"	0.086764705882353	0.00294117647058824	0.00588235294117647	0	0.00441176470588235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.00508474576271186	0	0.0949152542372881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_luculenta"	0.0567567567567568	0	0.0162162162162162	0.0135135135135135	0.0135135135135135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_fasciatus"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_anisus"	0.025	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0.0666666666666667	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.075	0	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_advenarius"	0.0666666666666667	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_vinogradovi"	0.06	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_pisticus"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_rothschildi"	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_sidimi"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
