"Microtus_arvalis"	"Apodemus_agrarius"	"Clethrionomys_glareolus"	"Apodemus_uralensis"	"Cricetulus_migratorius"	"Sorex_araneus"	"Apodemus_flavicollis"	"Arvicola_terrestris"	"Micromys_minutus"	"Ctenophthalmus_assimilis"	"Leptopsylla_taschenbergi"	"Ctenophthalmus_wagneri"	"Amphipsylla_rossica"	"Ctenophthalmus_agyrtes"	"Nosopsyllus_consimilis"	"Leptopsylla_segnis"	"Ctenophthalmus_orientalis"	"Hystrichopsylla_talpae"	"Peromyscopsylla_bidentata"	"Megabothris_turbidus"	"Nosopsyllus_mokrzeckyi"	"Palaeopsylla_soricis"	"Megabothris_walkeri"	"Doratopsylla_dasycnema"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0.00985915492957747	0.00140845070422535	0.0183098591549296	0.0204225352112676	0.00140845070422535	0.00915492957746479	0.0133802816901408	0.0126760563380282	0.0028169014084507	0.00211267605633803	0.000704225352112676	0.00492957746478873	0.000704225352112676	0.00211267605633803	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0.0242990654205607	0.0495327102803738	0.00560747663551402	0	0.00280373831775701	0.00186915887850467	0.000934579439252336	0.00280373831775701	0.00747663551401869	0	0.00280373831775701	0.000934579439252336	0	0.000934579439252336	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0.038	0	0	0	0.03	0	0	0.002	0.008	0.01	0.01	0	0.002	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0.0103448275862069	0.00689655172413793	0	0.0206896551724138	0.0241379310344828	0.0103448275862069	0.00344827586206897	0.00689655172413793	0.00689655172413793	0.00344827586206897	0	0.00689655172413793	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075	0.0125	0.0125	0	0	0	0	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0.0125	0.0125	0	0	0.0125	0	0	0	0	0.0125	0	0	0.025	0.0125	0.0125
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.0225806451612903	0.0419354838709677	0.0306451612903226	0	0	0.00161290322580645	0.00161290322580645	0.00161290322580645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0.00333333333333333	0.0883333333333333	0	0.005	0	0.00166666666666667	0	0	0.00166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_wagneri"	0.0764705882352941	0.0176470588235294	0	0.00588235294117647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_agyrtes"	0.00689655172413793	0.0103448275862069	0.0517241379310345	0.0206896551724138	0	0.00344827586206897	0.00689655172413793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.0464285714285714	0.00714285714285714	0	0.025	0.0214285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0.076	0.004	0	0.012	0.004	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_orientalis"	0.075	0.0125	0.00416666666666667	0.00416666666666667	0.00416666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.0222222222222222	0.0444444444444444	0.0222222222222222	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.0272727272727273	0	0.0454545454545455	0.0181818181818182	0	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.01	0.03	0.05	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0.0875	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0.0166666666666667	0	0.0166666666666667	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0.06	0.02	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
