"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Northea_hornei"	"Paragenipa_wrightii"	"Erythroxylum_sechellarum"	"Pittosporum_senacia"	"Memecylon_eleagni"	"Colea_seychellarum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Phelsuma_sp1_M_PL_099"	"Rhiparida_seychellensis"	"Cratopus_aurostriatus"	"Hemipyrellia_germana"	"Unidentified_sp2_M_PL_099"	"Neophyllomyza_approximatonervis"	"Unidentified_sp1_M_PL_099"	"Unidentified_sp4_M_PL_099"	"Melanostoma_annulipes"	"Nectarinia_dussumieri"	"Unidentified_sp3_M_PL_099"	"Mabuya_sechellensis"	"Pachycerina_seychellensis"	"Tricimba_seychellensis"	"Ceratina_tabescens"	"Forcipomyia_sp1_M_PL_099"	"Lygistorrhina_sp1_M_PL_099"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0.0627659574468085	0.0117021276595745	0.00212765957446809	0.0074468085106383	0.00319148936170213	0.00319148936170213	0.00638297872340425	0	0	0.00212765957446809	0	0	0	0	0	0.00106382978723404	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0.052	0.002	0	0.002	0.006	0.006	0	0.004	0	0.006	0.008	0	0.006	0	0.004	0.002	0	0.002	0
"Northea_hornei"	0	0	0	0	0	0	0	0	0.00434782608695652	0.0391304347826087	0.0217391304347826	0	0	0	0	0.0130434782608696	0	0	0	0.0130434782608696	0	0.00869565217391304	0	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0	0.0705882352941177	0	0.00588235294117647	0	0	0	0	0	0.0176470588235294	0	0	0.00588235294117647	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0.0846153846153846	0	0	0	0	0	0	0	0.00769230769230769	0	0	0	0	0	0	0	0	0	0.00769230769230769
"Pittosporum_senacia"	0	0	0	0	0	0	0	0	0.0818181818181818	0.00909090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0
"Colea_seychellarum"	0	0	0	0	0	0	0	0	0	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.0479674796747968	0.0211382113821138	0.000813008130081301	0.00975609756097561	0.00894308943089431	0.00731707317073171	0.0040650406504065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.0478260869565217	0.00434782608695652	0.0391304347826087	0	0	0.00434782608695652	0	0.00434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_099"	0.0222222222222222	0	0.0555555555555556	0.0111111111111111	0	0	0	0.0111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.0875	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_099"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0	0.04	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_099"	0	0	0	0.06	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_099"	0.04	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melanostoma_annulipes"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0.075	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_099"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mabuya_sechellensis"	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_seychellensis"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tricimba_seychellensis"	0.05	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratina_tabescens"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Forcipomyia_sp1_M_PL_099"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_099"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
