"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_agrestis"	"Microtus_oeconomus"	"Sorex_araneus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Sicista_betulina"	"Sorex_caecutiens"	"Peromyscopsylla_silvatica"	"Amalaraeus_penicilliger"	"Megabothris_rectangulatus"	"Hystrichopsylla_talpae"	"Neopsylla_acanthina"	"Neopsylla_mana"	"Ctenophthalmus_uncinatus"	"Peromyscopsylla_ostsibirica"	"Palaeopsylla_soricis"	"Corrodopsylla_birulai"	"Ceratophyllus_indages"	"Megabothris_calcarifer"	"Amphipsylla_sibirica"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Neopsylla_pleskei"	"Ctenophyllus_armatus"	"Megabothris_turbidus"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0.029616724738676	0.029616724738676	0.0195121951219512	0.00418118466898955	0.00383275261324042	0.00383275261324042	0.00278745644599303	0.00104529616724739	0	0.00104529616724739	0.000696864111498258	0.000696864111498258	0	0.00104529616724739	0.00104529616724739	0.00104529616724739	0	0
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0	0	0	0.0125	0.0291666666666667	0.0291666666666667	0.00833333333333333	0	0	0.00833333333333333	0	0	0	0	0	0.0125	0	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0.05	0	0.04	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0.035	0	0.01	0	0.01	0	0	0.025	0	0	0	0.01	0	0	0	0	0	0.01
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714285714285714	0.0285714285714286	0	0	0	0	0	0	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0.05	0
"Apodemus_peninsulae"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.080952380952381	0.00285714285714286	0.00952380952380952	0.00666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.0923913043478261	0.00760869565217391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.0727272727272727	0.00909090909090909	0.0103896103896104	0.0025974025974026	0	0	0.0025974025974026	0.0025974025974026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.0857142857142857	0.0142857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0.0846153846153846	0	0	0.0153846153846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_mana"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0.08	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_ostsibirica"	0.03	0	0.02	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Palaeopsylla_soricis"	0	0	0	0	0.0714285714285714	0	0	0	0.0285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.06	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_calcarifer"	0.05	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophyllus_armatus"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
