"Agropyron_smithii"	"Amaranthus_retroflexus"	"Ambrosia_psilostachya"	"Andropogon_hallii"	"Argemone_intermedia"	"Aristida_longiseta"	"Artemisia_filifolia"	"Astragalus_spp."	"Asclepias_pumila"	"Bouteloua_gracilis"	"Bromus_tectorum"	"Buchloe_dactyloides"	"Calamovilfa_longifolia"	"Carex_heliophila"	"Chenopodium_album"	"Cirsium_undulatum"	"Croton_texensis"	"Eriogonum_annum"	"Euphorbia_spp."	"Evolvulus_nuttallianus"	"Festuca_octoflora"	"Ipamoea_leptophylla"	"Juncus_balticus"	"Lepidium_densiflorum"	"Lesquerella_ludoviciana"	"Lithospermum_incisum"	"Lupinus_pussilus"	"Medicago_sativa"	"Melilotus_alba"	"Other_grasses"	"Other_forbs"	"Paspalum_stramineum"	"Penstemon_aIbidus"	"Psoralea_lanceolata"	"Psoralea_tenuiflora"	"Solanum_rostratum"	"Sphaeralcea_coccinea"	"Sporobolus_cryptandrus"	"Stipa_comata"	"Tradescantia_occidentalis"	"Ageneotettix_deorum"	"Amphitornus_coloradus"	"Cordillacris_occipitalis"	"Eritettix_simplex"	"Mermiria_maculipennis"	"Melanoplus_angustipennis"	"Melanoplus_confusus"	"Melanoplus_foedus"	"Arphia_conspersa"	"Arphia_pseudonictana"	"Pardalophora_apiculata"	"Spharagemon_collare"	"Trachyrhachys_kiowa"	"Xanthippus_corallipes"
"Agropyron_smithii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00523255813953488	0.00116279069767442	0.00813953488372093	0.000581395348837209	0.00290697674418605	0.00174418604651163	0.00348837209302326	0.00174418604651163	0.0168604651162791	0.00930232558139535	0.0145348837209302	0.0162790697674419	0.000581395348837209	0.0174418604651163
"Amaranthus_retroflexus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00769230769230769	0.00769230769230769	0	0	0.0153846153846154	0.0615384615384615	0	0.00769230769230769
"Ambrosia_psilostachya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.00769230769230769	0.0346153846153846	0	0	0	0.00384615384615385	0	0.00384615384615385
"Andropogon_hallii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0315789473684211	0.00526315789473684	0.00526315789473684	0	0.0210526315789474	0	0.0105263157894737	0.0210526315789474	0	0.00526315789473684
"Argemone_intermedia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0.0666666666666667	0	0	0	0	0	0
"Aristida_longiseta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0
"Artemisia_filifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157894736842105	0.0631578947368421	0.0210526315789474	0	0	0	0	0	0
"Astragalus_spp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0571428571428571	0.0142857142857143	0.0285714285714286	0	0	0	0	0	0
"Asclepias_pumila"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0
"Bouteloua_gracilis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0101449275362319	0.0198067632850242	0.0123188405797101	0.00869565217391304	0.00942028985507246	0.00144927536231884	0.000241545893719807	0.00144927536231884	0.0036231884057971	0.00144927536231884	0.000241545893719807	0.00507246376811594	0.0219806763285024	0.00410628019323672
