"Meriones_persicus"	"Meriones_libycus"	"Meriones_tristrami"	"Microtus_socialis"	"Apodemus_fulvipectus"	"Microtus_arvalis"	"Cricetulus_migratorius"	"Allactaga_elater"	"Arvicola_terrestris"	"Dryomys_nitedula"	"Xenopsylla_conformis"	"Nosopsyllus_iranus"	"Nosopsyllus_laeviceps"	"Stenoponia_tripectinata"	"Rhadinopsylla_ucrainica"	"Nosopsyllus_consimilis"	"Ctenophthalmus_secundus"	"Leptopsylla_taschenbergi"	"Amphipsylla_schelkovnikovi"	"Mesopsylla_apscheronica"	"Ctenophthalmus_bogatschevi"	"Amphipsylla_rossica"	"Ctenophthalmus_proximus"	"Nosopsyllus_mokrzeckyi"	"Myoxopsylla_jordani"	"Ceratophyllus_sciurorum"	"Callopsylla_caspia"	"Megabothris_turbidus"	"Neopsylla_pleskei"	"Stenoponia_ivanovi"
"Meriones_persicus"	0	0	0	0	0	0	0	0	0	0	0.0533051498847041	0.0365488086087625	0	0.00607225211375865	0.00207532667179093	0.00180630284396618	0.000192159877017679	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_libycus"	0	0	0	0	0	0	0	0	0	0	0.0402230483271376	0.0234944237918216	0.0202973977695167	0.00282527881040892	0.0115241635687732	0.00133828996282528	0.000297397769516729	0	0	0	0	0	0	0	0	0	0	0	0	0
"Meriones_tristrami"	0	0	0	0	0	0	0	0	0	0	0.0186758893280632	0.0482213438735178	0.0101778656126482	0.016501976284585	0.00553359683794466	0.000889328063241107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_socialis"	0	0	0	0	0	0	0	0	0	0	0.00163934426229508	0.0110655737704918	0.00901639344262295	0	0.00409836065573771	0.0409836065573771	0.0307377049180328	0	0.000819672131147541	0	0	0.000819672131147541	0	0	0	0	0.000819672131147541	0	0	0
"Apodemus_fulvipectus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909090909090909	0.00202020202020202	0.0676767676767677	0.0101010101010101	0	0	0	0.00303030303030303	0.00202020202020202	0	0.00404040404040404	0	0.00202020202020202	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0717391304347826	0	0	0	0	0.0195652173913043	0.00652173913043478	0	0	0	0	0	0	0	0.00217391304347826
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0	0.0266666666666667	0.00833333333333333	0	0	0.00666666666666667	0	0.005	0.00333333333333333	0.0466666666666667	0	0	0	0	0	0	0	0	0	0.00333333333333333	0
"Allactaga_elater"	0	0	0	0	0	0	0	0	0	0	0	0.0172413793103448	0	0	0	0	0	0	0	0.0827586206896552	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0.0571428571428571	0	0	0	0	0	0
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0
"Xenopsylla_conformis"	0.0649040711277492	0.0253158633598503	0.00884417407580721	0.000187178287318671	0	0	0.000748713149274684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_iranus"	0.0530691964285714	0.0176339285714286	0.0272321428571429	0.00150669642857143	0	0	0.000279017857142857	0.000279017857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_laeviceps"	0	0.0685929648241206	0.0258793969849246	0.00552763819095477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_tripectinata"	0.0435261707988981	0.0104683195592287	0.0460055096418733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_ucrainica"	0.0193548387096774	0.0555555555555556	0.0200716845878136	0.003584229390681	0	0	0.0014336917562724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_consimilis"	0.0188755020080321	0.0072289156626506	0.0036144578313253	0.0401606425702811	0.0036144578313253	0.0265060240963855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_secundus"	0.00561797752808989	0.00449438202247191	0	0.0842696629213483	0.00224719101123596	0	0.00337078651685393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_taschenbergi"	0	0	0	0	0.0971014492753623	0	0.00289855072463768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_schelkovnikovi"	0	0	0	0.005	0.025	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mesopsylla_apscheronica"	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_bogatschevi"	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0	0	0	0.025	0	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_proximus"	0	0	0	0	0.05	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_mokrzeckyi"	0	0	0	0	0.0333333333333333	0	0	0	0.0666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Myoxopsylla_jordani"	0	0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
