"Clethrionomys_glareolus"	"Sorex_araneus"	"Apodemus_flavicollis"	"Microtus_arvalis"	"Apodemus_uralensis"	"Spermophilus_pygmaeus"	"Talpa_europaea"	"Spermophilus_major"	"Sorex_minutus"	"Arvicola_terrestris"	"Sicista_betulina"	"Apodemus_agrarius"	"Clethrionomys_rutilus"	"Sciurus_vulgaris"	"Microtus_agrestis"	"Neomys_fodiens"	"Microtus_oeconomus"	"Allactaga_major"	"Tamias_sibiricus"	"Marmota_bobak"	"Dryomys_nitedula"	"Allocricetulus_eversmanni"	"Cricetulus_migratorius"	"Cricetus_cricetus"	"Sicista_subtilis"	"Spermophilus_suslicus"	"Myoxus_glis"	"Stenoponia_suknevi"	"Rostropsylla_daca"	"Rhadinopsylla_li"	"Xenopsylla_nubica"	"Wagnerina_tuvensis"	"Stenoponia_vlasovi"	"Tarsopsylla_octodecimdentata"	"Wagnerina_schelkovnikovi"	"Stenoponia_tripectinata"	"Xenopsylla_hirtipes"	"Rhadinopsylla_socia"	"Xenopsylla_skrjabini"	"Xenopsylla_cheopis"	"Rhadinopsylla_pentacantha"	"Xenopsylla_nuttalli"	"Xenopsylla_persica"	"Xenopsylla_conformis"	"Xenopsylla_magdalinae"	"Wagnerina_longicauda"	"Peromyscopsylla_tikhomirovae"	"Stenoponia_montana"	"Rhadinopsylla_rothschildi"	"Stenoponia_conspecta"	"Frontopsylla_semura"	"Stenoponia_ivanovi"	"Stenoponia_sidimi"	"Echidnophaga_oschanini"	"Rhadinopsylla_pseudodahurica"	"Xenopsylla_gerbilli"	"Rhadinopsylla_ucrainica"	"Megabothris_asio"	"Megabothris_calcarifer"	"Synosternus_longispinus"	"Amphipsylla_georgica"	"Neopsylla_mana"
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409147713071732	0.0121532116970757	0.0213009247688078	0.00189952511872032	0.00895401149712572	0.000837290677330667	0.00217445638590352	0.00361159710072482	0.00149337665583604	0	0	0.00236190952261935	0.000131217195701075	0.000306173456635841	0.00167458135466133	0.00153711572106973	0	1.87453136715821e-05	0.000387403149212697	0	0	4.9987503124219e-05	0	0	1.87453136715821e-05	0	7.49812546863284e-05	0	1.24968757810547e-05	1.24968757810547e-05	2.49937515621095e-05	4.9987503124219e-05	0	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392461964038728	0.00238589211618257	0.000812586445366529	0.0482883817427386	0.00108921161825726	0.0316908713692946	0.00983748271092669	0.000224757952973721	0.000380359612724758	0	0	0.000172890733056708	3.45781466113416e-05	0.000155601659751037	0.000345781466113416	0.000276625172890733	0	3.45781466113416e-05	5.18672199170125e-05	0	0	0	0.000103734439834025	0	6.91562932226833e-05	0	0	0	5.18672199170125e-05	6.91562932226833e-05	0	0	0	0	0
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0223938223938224	0.0467181467181467	0.00308880308880309	0.000888030888030888	0.0182625482625483	0	0.00189189189189189	0.00084942084942085	0.00150579150579151	0	0	0.000810810810810811	0	0.000231660231660232	0.000540540540540541	0.000193050193050193	0	0	0.00162162162162162	0	0	0.000463320463320463	0.000347490347490347	0	0	0	0.000193050193050193	0	0	0	0	0	0	0	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243117323168149	0.0185938161795849	0.00741211351122406	0.00228716645489199	0.00838627700127065	0.000338839474798814	0.00652265988987717	0.00385429902583651	0.00847098686997035	0	0	0.000635324015247776	0.000592969080897925	0.0131723845828039	0.00097416349004659	0.00228716645489199	0	0	0.000127064803049555	0	0	0.00101651842439644	0.000677678949597628	0	0	0	0.000211774671749259	0	0	0	0.000127064803049555	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0236081747709655	0.0347427766032417	0.00486257928118393	0.00274841437632135	0.0200140944326991	0.000775193798449612	0.00162085976039464	0.00112755461592671	0.00303030303030303	0	0	0.000775193798449612	0.000281888653981677	0	0.000352360817477097	0.000211416490486258	0	0	0.00267794221282593	0	0	0.00112755461592671	0.00112755461592671	0	0	0	0	0	0.000563777307963354	0	0.000211416490486258	0	0.000140944326990839	0	0
"Spermophilus_pygmaeus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189189189189189	0.0447447447447447	0	0	0	0	0	0.024024024024024	0	0	0	0.0102102102102102	0	0	0	0	0.0021021021021021	0	0	0	0	0	0	0	0	0
"Talpa_europaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100710900473934	0.0258293838862559	0.0004739336492891	0.00343601895734597	0.000355450236966825	0.00319905213270142	0.00841232227488152	0.000355450236966825	0.00639810426540284	0	0	0.0004739336492891	0	0	0	0	0	0.0317535545023697	0	0	0	0	0.00521327014218009	0	0.00402843601895735	0	0	0	0	0	0	0	0	0	0
"Spermophilus_major"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070687237026648	0.0190743338008415	0	0	0	0	0	0.0061711079943899	0	0	0	0.0032258064516129	0	0	0	0	0.000561009817671809	0	0	0.000280504908835905	0	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00350877192982456	0.00146198830409357	0.000584795321637427	0.0590643274853801	0.00087719298245614	0.0296783625730994	0.00365497076023392	0.000292397660818713	0.000584795321637427	0	0	0	0	0	0	0.000292397660818713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00206794682422452	0.00723781388478582	0.00295420974889217	0	0.00118168389955687	0	0.0017725258493353	0.000590841949778434	0.0106351550960118	0	0	0	0.057754800590842	0.00561299852289513	0.00960118168389956	0.000590841949778434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
