"Antidesma_madagascariense"	"Antirhea_borbonica"	"Aphloia_theiformis"	"Badula_insularis"	"Badula_platiphylla"	"Bertiera_zaluzania"	"Calophyllum_eputamen_var_eputamen"	"Casearia_coriacea"	"Chassalia_coriacea_var_coriacea"	"Claoxylon_linostachys_ssp_brachyphyllum"	"Coffea_macrocarpa"	"Coffea_mauritiana"	"Cordemoya_integrifolia"	"Croton_fothergillifolius"	"Croton_grangeroides"	"Diospyros_revaughanii"	"Dodonaea_viscosa"	"Doratoxylon_apetalum_var_diphyllum"	"Dracaena_reflexa_var_angustifolia"	"Embelia_angustifolia"	"Erythroxylum_macrocarpum"	"Eugenia_orbiculata"	"Euodia_chapelieri_var_chapelieri"	"Euodia_obtusifolia_ssp_gigas_var_gigas"	"Faujasiopsis_flexuosa_ssp_erecta"	"Flagellaria_indica"	"Gaertnera_psychotrioides/edentata"	"Gaertnera_rotundifolia"	"Grangeria_borbonica"	"Harungana_madagascariensis"	"Helichrysum_proteoides"	"Homalanthus_populifolius"	"Labourdonnaisia_callophylloides"	"Molinaea_alternifolia"	"Molinaea_macrantha"	"Myonima_violacea_var_ovata"	"Ochna_mauritiana"	"Olea_lancea"	"Phyllanthus_phillyreifolius_var_telfairianus"	"Psathura_terniflora"	"Psiadia_terebinthina"	"Psidium_cattleianum"	"Rubus_alcefolius"	"Sideroxylon_cinereum"	"Sideroxylon_puberulum"	"Smilax_anceps"	"Stillingia_lineata_ssp_lineata"	"Syzygium_commersonii"	"Syzygium_coriaceum"	"Syzygium_glomeratum"	"Syzygium_petrinese"	"Tabernaemontana_persicarifolia"	"Toddalia_asiatica"	"Tristhema_mauritiana"	"Trochetia_blackburniana"	"Turraea_rigida"	"Warneckea_trinervis"	"Wikstroemia_indica"	"Agathidinae_sp"	"Ahasverus_advena_Waltle"	"Allograpta_nasuta_Marquart"	"Apis_mellifera_Linnaeus"	"Atherigona_orientalis_Schiner"	"Brachymyrmex_sp"	"Calopsilia_florella_Fabricius"	"Campopleginae_sp_1"	"Cerambycidae_sp_1"	"Cerambycidae_sp_2"	"Cerambycidae_sp_3"	"Ceratitis_roas_Karsch"	"Chaetocnema_sp_1"	"Cheloninae_sp_1"	"Cheloninae_sp_3"	"Chrysomya_megacephala_Fabricius"	"Cixiidae_sp_1"	"Cixiidae_sp_2"	"Cotesia_sp1"	"Cratopus_psittacus_Faimaire"	"Cryptocephalinae_sp_1"	"Dasytinae_sp_1"	"Dioxyna_sororcula_Wiedemann"	"Diptera_sp_2"	"Diptera_sp_3"	"Dysauxes_florida_Joan."	"Episyrphus_sp._near_circularis_Hull"	"Eristalinus_flaveolus_Bigot"	"Eumolpinae_sp_2"	"Eumolpinae_sp_3"	"Eurytonidae_sp_1"	"Fannia_pusio_Wiedemann"	"Gelechioidea_sp_1"	"Gelechioidea_sp_2"	"Gelechioidea_sp_3"	"Goniurellia_or_Dectodes_sp"	"Graphomya_maculata_Scopoli"	"Henotesia_narcissus_Fabricius"	"Hippotion_eson_Cramer"	"Homoneura_sp_2"	"Homoneura_sp_3"	"Hydrotaea_fuliginosa_Robineau-Desvoidy"	"Ischiodon_aegyptius_Wiedemann"	"Lecithoceridae_sp_1"	"Leptotes_pirithous_Linnaeus"	"Limnophora_quaterna_Loew"	"Lygaeidae_sp_2"	"Lygaeidae_sp_3"	"Lygaeidae_sp_5"	"Lygistorrhina_sp"	"Macroglossum_milvus_Boisduval"	"Mauritiborium_undulatus"	"Melanagromyza_sojae_Zehntner"	"Melanostoma_annulipes_Macquart"	"Melanostoma_bituberculatum_Loew"	"Miridae_sp_1"	"Mordellidae_sp_1"	"Mordellidae_sp_2"	"Mordellidae_sp_3"	"Musca_confiscata_Speiser"	"Musca_domestica_Linnaeus"	"Nacoleia_sp_1"	"Nacoleia_sp_2"	"Nitidulidae_sp_1"	"Nyctemera_insulare_Boisduval"	"Ophyra_capensis_Wiedemann"	"Orchisia_costata_Meigen"	"Ornidia_obesa_Fabricius"	"Orthellia_albigena_Stein"	"Pachycerina_crinicornis_Thomson"	"Palexorista_sp_1"	"Panara_naso_Fabricius"	"Paragus_borbonicus_Macquart"	"Pelecophora_intemipta_All"	"Phalanta_phalantha_Drury"	"Pheidole_megacephala_Fabricius"	"Phelsuma_cepediana_Merrem"	"Phorinia_sp"	"Polistes_hebraeus_Fabricius"	"Psyllidae_sp_2"	"Sapromyza_sp._near_nudiuscula_Lamb."	"Sarcophaga_arno_Curran"	"Scatopsidae_sp"	"Scirtidae_sp_1"	"Scirtidae_sp_2"	"Scolia_carniflex_Coquillett"	"Scopariinae_sp"	"Simulium_(Byssodon)_sp_2"	"Siphona_sp"	"Stomorhina_lunata_Fabricius"	"Stomoxys_calcitrans_Linnaeus"	"Stomoxys_niger_Macquart"	"Syritta_bulbus_Walker"	"Syritta_nigrofemorata_Macquart"	"Syritta_sp._(near_abyssinica_Rondani)"	"Technomyrmex_albipes_Smith"	"Thelairodrino_sp"	"Thysanoplusia_orichalcea_Fabricius"	"Villa_unifasciata_Macquart"	"Zosterops_mauritianus_Gmelin"
"Antidesma_madagascariense"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109090909080992	0	0	0	0	0	0	0	0	0	0	0	0	0.00181818182710744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00545454545404959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0763636363566942	0	0	0.00545454545404959	0
"Antirhea_borbonica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225892160857594	0.00247284207298177	0	0	0	0	0	0	0	0	0.00650747914593318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00343450287570684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267980432453843	0.0133811800516803	0	0	0	0	0	0	0.0103035086271205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00343450287570684	0	0	0	0.00441578942045466	0	0	0	0	0.00666293559927222	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000127616954598959	0.0159139433127013	0	0.00880872523162532	0	0	0	0	0	0	0.00686700755577623	0	0	0.000708868266612718	0	0	0	0	0	0	0	0	0	0.0015496344496132	0	0.00376028080467408	0	0	0	0.000638084772994797	0	0.000708983080396347	0.000708983080396347	0	0	0	0	0	0	0	0	0	0	0	0	0.000425389847599723	0	0	0.000531737311892472	0	0	0.00788724200121086	0.00186108058683802	0	0	0	0.000245417220628031	0	0.00878629323700416	0	0	0	0	0.000531737311892472	0	0	0.00100750227415718	0.00183322768240982	0	0.00244599163087686	0.000335834091385727	0	0	0	0	0	0.000659354266491431	0	0.000911549676618403	0	0	0	0	0	0	0	0	0.0104631878944006	0.000829510204893236	0.00182309935004638	0	0	0	0.0167051626916423	0	0	0.00292455521062296	0
"Badula_insularis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0666666666666667	0	0	0	0
"Badula_platiphylla"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176486246666083	0	0	0	0	0	0	0.0709627329256034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00294143744443472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00392191658277484	0	0	0	0	0	0	0	0	0.00452528838057871	0
"Bertiera_zaluzania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00375093773336863	0.0549985322447504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014612348729635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000848038098142419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000782804397502506	0	0	0	0.000318014286167379	0	0	0	0	0.000848038098142419	0	0	0	0	0	0	0	0	0.000678430475460998	0	0	0	0	0	0	0	0	0	0.000318014286167379	0.00525131282773373	0	0	0	0.000782804397502506	0	0.0299618382820982	0	0	0	0
"Calophyllum_eputamen_var_eputamen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0662650602293802	0	0	0	0	0	0	0	0	0.0168674698853099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00632530120382857	0	0	0	0	0	0	0	0	0	0	0	0	0.0105421686814813	0	0	0	0	0	0	0	0	0	0
"Casearia_coriacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06663590690188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0253665538700997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00348610684199998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045114323860204	0
"Chassalia_coriacea_var_coriacea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139905294956347	0.00348208733057341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186540393101024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00326445688057371	0	0.0485076768452679	0	0	0	0	0	0	0.00837040227060432	0	0	0	0	0	0	0	0	0	0	0.00373080786724362	0	0	0	0	0	0	0	0	0	0
"Claoxylon_linostachys_ssp_brachyphyllum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00475247529940202	0	0.0445544553749632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190099010193903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0316831683062445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
