"ID"	"Species"	"MDim"	"Degree"	"GC_Aff"	"Fiedler"	"Mod_Aff"	"m6"
"Herb_Bluthgen2006"	"Urophyllum_sp."	1	3	1	-1	0	1
"Herb_Bluthgen2006"	"Rubiaceae"	1	1	1	1	1	0
"Herb_Bluthgen2006"	"Paranephelium_xestophyllum"	1	1	1	1	1	0
"Herb_Bluthgen2006"	"Selaginella_sp."	1	1	1	-1	2	0
"Herb_Bluthgen2006"	"Pterospermum_sp."	1	1	1	-1	2	0
"Herb_Bluthgen2006"	"Brownlowia_peltata"	1	2	1	-1	4	3
"Herb_Bluthgen2006"	"Callicarpa_longifolia"	1	1	NA	NA	NA	NA
"Herb_Bluthgen2006"	"Tetrastigma_sp."	1	1	1	-1	2	0
"Herb_Bluthgen2006"	"Globba_pendula"	1	1	1	-1	2	0
"Herb_Bluthgen2006"	"Zingiber_flagelliforme"	1	1	NA	NA	NA	NA
"Herb_Bluthgen2006"	"Haaniella_echinata"	2	22	1	-1	2	11
"Herb_Bluthgen2006"	"Necrosciinae"	2	3	1	1	4	4
"Herb_Bluthgen2006"	"Centrophasma_longipennis"	2	2	1	1	5	0
"Herb_Bluthgen2006"	"Asceles_margaritatus"	2	7	1	1	4	8
"Herb_Bluthgen2006"	"Lonchodes_hosei_herberti"	2	9	1	1	1	2
"Herb_Bluthgen2006"	"Lonchodes_imitator"	2	2	NA	NA	NA	NA
"Herb_Bluthgen2006"	"Dinophasma_ruficornis"	2	2	1	-1	3	0
"Herb_Bluthgen2006"	"Unidentified_juveniles"	2	3	1	-1	0	1
"Herb_Bluthgen2006"	"Acacus_sarawacus"	2	1	1	-1	4	0
"Herb_Bluthgen2006"	"Marmessoidea_rubescens"	2	1	NA	NA	NA	NA
"Herb_Bluthgen2006"	"Lonchodes_thami"	2	1	1	-1	0	0
"Herb_Bluthgen2006"	"Lonchodes_malleti"	2	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Ageratina_dendroides"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Axinaea_sp._JH2631"	1	2	1	-1	3	0
"Herb_Bodner2009"	"Baccharis_genistelloides"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Baccharis_latifolia"	1	3	NA	NA	NA	NA
"Herb_Bodner2009"	"Baccharis_sp."	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Begonia_parviflora"	1	2	NA	NA	NA	NA
"Herb_Bodner2009"	"Boehmeria_sp."	1	3	NA	NA	NA	NA
"Herb_Bodner2009"	"Cavendishia_sp."	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Clethra_revoluta"	1	2	1	1	1	0
"Herb_Bodner2009"	"Erato_polymnioides"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Ericaceae_sp._indet."	1	3	NA	NA	NA	NA
"Herb_Bodner2009"	"Faramea_cf._uniflora"	1	1	NA	NA	NA	NA
"Herb_Bodner2009"	"Fuchsia_lehmannii"	1	1	NA	NA	NA	NA
