"ID"	"NC"	"MNC"	"SDNC"	"Nm6"	"MNm6"	"SDNm6"
"1"	"1_medioparana"	22	18.19	2.34712375025048	42	49.96	12.8156470020365
"2"	"10_littlecolorado"	1	1	0	59	61.01	5.85945665768016
"3"	"11_lakemichigan"	10	4.48	1.70844604210607	426	275.99	28.9092956285236
"4"	"12_lakesuperior"	1	1.92	0.895330196975485	1147	743.28	68.4986293455732
"5"	"13_guandu"	2	2.54	0.989030746833393	80	58.62	11.1117191752808
"6"	"14_lebsko"	1	1.06	0.238683256575942	35	26.96	3.27500481918066
"7"	"15_zarivar"	3	1.99	0.810225059143845	14	14.23	2.64328766822109
"8"	"16_stmary"	3	2.92	1.11627084798476	174	103.23	19.936695267316
"9"	"17_lakehuron"	1	1.68	0.708961397134049	10579	8121.7	322.637786711571
"10"	"18_lakestclair"	7	6.25	1.07661084384791	6	5.21	2.62195470301195
"11"	"19_lakeerie"	3	1.51	0.674124947205223	18395	14520.41	496.18441291133
"12"	"2_planicieparana"	19	12.43	2.37943631386032	596	251.7	32.1334024895521
"13"	"20_lakeontario"	1	1.33	0.569511575249735	2129	1451.45	108.463406760348
"14"	"21_devilslake"	1	1.16	0.368452949177471	6	7.8	2.28300705476817
"15"	"22_bengal"	10	12.69	1.52881415720575	1	4.78	2.47647517510862
"16"	"23_hidvegi"	2	1.93	0.742028342185163	9	13.89	3.55304677905335
"17"	"24_riga"	1	1.12	0.32659863237109	6287	5146.43	178.243803921381
"18"	"25_aluksnes"	1	1	0	3401	3148.63	88.8272247601255
"19"	"26_raznas"	1	1.05	0.21904291355759	11427	10182.13	238.490058874197
"20"	"27_trespalos"	1	1	0	1011	980.18	21.2295677170908
"21"	"28_mekong"	4	4.66	1.63435342295084	303	215.49	28.33511402604
"22"	"29_tonkin"	12	3.34	1.29661564128007	2908	2253.29	123.706666323724
"23"	"3_smallwood"	2	1.03	0.171446607997765	130	97.14	7.9328240223578
"24"	"30_coyuca"	1	1	0	709	683.3	13.2889412518816
