"ID"	"NRow"	"NCol"	"NLinks"	"Connectance"	"NComp"	"LargeCompSize"	"nLargeComp"	"SA_NMod"	"SA_Modularity"	"FG_NMod"	"FG_Modularity"	"FG_PNull"	"MS_congr"	"MS_mean"	"MS_sd"	"MS_pval"
"1_medioparana"	54	93	146	0.0291	22	66	1	7	0.605294	7	0.612136	0.17	0.778	0.092002	0.0515949613434881	0
"10_littlecolorado"	11	20	50	0.2273	1	31	1	4	0.3976	4	0.3754	0.74	0.456	0.098036	0.0742357707150243	0
"11_lakemichigan"	45	109	234	0.0477	10	133	1	7	0.562434	8	0.558203	0	0.896	0.044432	0.0253224525392507	0
"12_lakesuperior"	36	164	379	0.0642	1	200	1	6	0.552419	8	0.547601	0	0.335	0.025709	0.0159863029147105	0
"13_guandu"	22	85	141	0.0754	2	104	1	9	0.636199	9	0.627167	0.04	1	0.076566	0.0357757396506005	0
"14_lebsko"	8	14	33	0.2946	1	22	1	4	0.416896	4	0.393021	0.1	0.843	0.139715	0.104461092732629	0
"15_zarivar"	8	20	31	0.1938	3	21	1	5	0.426036	5	0.411243	0.61	0.771	0.207104	0.130649785880232	0
"16_stmary"	26	42	99	0.0907	3	64	1	10	0.521097	7	0.508981	0.11	0.884	0.142598	0.0564284730306303	0
"17_lakehuron"	79	280	960	0.0434	1	359	1	8	0.47351	10	0.47168	0	0.229	0.019556	0.0103569363293462	0
"18_lakestclair"	13	31	40	0.0993	7	27	1	3	0.474435	3	0.46195	0.58	1	0.077569	0.0761152860848317	0
"19_lakeerie"	91	274	1079	0.0433	3	360	1	9	0.439319	10	0.403618	0	0.516	0.02344	0.0208794240904856	0
"2_planicieparana"	65	307	472	0.0237	19	330	1	14	0.695362	16	0.69459	0	0.602	0.039685	0.0156500063162191	0
"20_lakeontario"	61	249	596	0.0392	1	310	1	10	0.563958	11	0.5579	0	0.604	0.029005	0.0136876706318982	0
"21_devilslake"	6	21	31	0.246	1	27	1	4	0.519251	4	0.512487	0.12	1	0.115225	0.089648498192821	0
"22_bengal"	37	49	77	0.0425	10	41	1	6	0.640095	7	0.637418	0.62	0.919	0.133851	0.0778176354265753	0
"23_hidvegi"	12	34	51	0.125	2	40	1	7	0.57656	7	0.563091	0.85	1	0.159833	0.0837599118542626	0
"24_riga"	52	95	469	0.0949	1	147	1	6	0.406036	6	0.383857	0	0.89	0.034134	0.0219722284446258	0
