"ID"	"IntType"	"NRow"	"NCol"	"NLinks"	"Connectance"	"NComp"	"LargeCompSize"	"nLargeComp"	"SA_NMod"	"SA_Modularity"	"FG_NMod"	"FG_Modularity"	"FG_PNull"	"MS_congr"	"MS_mean"	"MS_sd"	"MS_pval"	"n_m6"	"n_m6_mod"	"mean_m6_mod"	"sd_m6_mod"	"p_m6_mod"	"n_m6_sect"	"mean_m6_sect"	"sd_m6_sect"	"p_m6_sect"	"n_m6_ms"	"mean_m6_ms"	"sd_m6_ms"	"p_m6_ms"	"LinkSct"	"LinkMod"	"LinkMot"
"12"	"2_planicieparana"	"Host-Parasite"	65	307	472	0.0237	19	330	1	14	0.695362	16	0.69459	0	0.947285301940622	0.864586947862929	0.0124107937851242	0	596	352	0.395	1.198	0	579	359.75	113.544	0.002	347	0.6	1.58910431540932	0	0.9754	0.808	0.4062
"13"	"20_lakeontario"	"Host-Parasite"	61	249	596	0.0392	1	310	1	10	0.563958	11	0.5579	0	0.889344734310716	0.579015446163167	0.0202720781940345	0	2129	530	5.103	5.816	0	737	266.006	94.821	0	342	2.87	4.11858316326468	0	0.8305	0.7114	0.7232
"14"	"21_devilslake"	"Host-Parasite"	6	21	31	0.246	1	27	1	4	0.519251	4	0.512487	0.105	1	0.658770238095238	0.0517418445318847	0	6	1	0.022	0.147	0.022	2	0.384	0.646	0.046	1	0.01	0.1	0.01	0.871	0.7742	0.4516
"15"	"22_bengal"	"Host-Parasite"	37	49	77	0.0425	10	41	1	6	0.640095	7	0.637418	0.161	0.972222222222222	0.658351388888889	0.0587343095326764	0	1	1	0.005	0.071	0.005	1	0.081	0.273	0.081	1	0	0	0	0.9756	0.878	0.0976
"16"	"23_hidvegi"	"Host-Parasite"	12	34	51	0.125	2	40	1	7	0.57656	7	0.563091	0.182	1	0.659468537414966	0.0519518172608788	0	9	0	0.018	0.133	1	3	1.04	1.298	0.158	0	0.01	0.1	1	0.913	0.7174	0.3696
"17"	"24_riga"	"Host-Parasite"	52	95	469	0.0949	1	147	1	6	0.406036	6	0.383857	0	0.977212602212602	0.640704304954305	0.0266354070265318	0	6287	1598	132.391	84.503	0	5294	1084.774	404.377	0	1593	129.51	88.6417708270403	0	0.8827	0.6525	0.8891
"18"	"25_aluksnes"	"Host-Parasite"	48	22	247	0.2339	1	70	1	5	0.302841	5	0.266723	0.213	0.795726495726496	0.716346822742475	0.0187548286704144	0.002	3401	384	50.602	42.574	0	2048	1031.835	338.402	0.005	361	46.87	36.9721858327652	0	0.8259	0.5385	0.9595
"19"	"26_raznas"	"Host-Parasite"	48	86	490	0.1187	1	134	1	5	0.318334	6	0.303007	0.096	0.926206896551724	0.611483124657909	0.0288467156774693	0	11427	877	86.845	45.875	0	2880	1595.466	618.423	0.043	557	55.39	31.3432914543435	0	0.7102	0.5429	0.9265
"20"	"27_trespalos"	"Host-Parasite"	13	39	132	0.2604	1	52	1	5	0.282656	6	0.260991	0.941	0.981818181818182	0.884855	0.0178170648595856	0	1011	55	10.537	7.625	0	702	643.948	160.987	0.383	48	10.26	9.01919389889466	0.01	0.8939	0.5152	0.8333
"21"	"28_mekong"	"Host-Parasite"	52	125	280	0.0431	4	170	1	9	0.623228	10	0.618508	0	0.982222222222222	0.876662633996359	0.00719457704246759	0	303	118	0.415	0.906	0	285	177.612	42.155	0.002	117	0.42	0.818720361480665	0	0.9746	0.7464	0.6667
"22"	"29_tonkin"	"Host-Parasite"	80	212	523	0.0308	12	264	1	9	0.577915	13	0.537729	0	0.991769547325103	0.951231153884801	0.00955385504448832	0	2908	928	13.396	20.926	0	2873	2423.621	436.779	0.002	921	13.48	26.3206643863215	0	0.9901	0.7609	0.7451
"23"	"3_smallwood"	"Host-Parasite"	6	25	53	0.3533	2	28	1	4	0.286044	4	0.253556	0.524	1	0.798793560606061	0.0325522258946599	0	130	15	1.786	2.83	0.008	130	46.534	23.68	0.005	15	2.34	3.47928937362999	0.02	0.9608	0.5686	0.7647
"24"	"30_coyuca"	"Host-Parasite"	10	33	104	0.3152	1	43	1	5	0.274223	5	0.249723	0.871	0.9	0.862032727272727	0.0156234644169833	0	709	34	4.453	3.356	0	516	404.253	107.446	0.167	28	3.25	3.6745782414483	0	0.8942	0.4904	0.8269
"25"	"4_parsnip"	"Host-Parasite"	17	53	158	0.1754	1	70	1	4	0.425773	5	0.431662	0.002	0.955882352941176	0.957484749455338	0.00965597230452367	0.673	704	205	18.625	16.098	0	486	576.148	84.037	0.837	200	16.09	14.1207598444934	0	0.9177	0.7152	0.8671
"26"	"5_mcgregor"	"Host-Parasite"	14	51	114	0.1597	1	65	1	6	0.447753	6	0.434249	0.297	0.963450292397661	0.831829678362573	0.0256951698935147	0	296	61	2.481	3.846	0	203	164.04	55.237	0.266	49	2.82	4.40931062661956	0	0.9035	0.6842	0.7281
"27"	"6_woods"	"Host-Parasite"	31	144	384	0.086	1	175	1	7	0.474582	9	0.46874	0.002	0.849857039512212	0.846672963325673	0.00953001669563927	0.384	1914	325	7.249	7.423	0	963	784.572	221.263	0.202	210	2.85	3.39748867443724	0	0.8568	0.6458	0.7995
"28"	"7_coldlake"	"Host-Parasite"	10	40	91	0.2275	1	50	1	5	0.441251	5	0.423862	0.072	0.927272727272727	0.920651731601732	0.0192675151814135	0.465	237	80	2.519	3.689	0	162	160.213	47.15	0.521	77	2.07	4.30938604453211	0	0.9011	0.7143	0.7912
"29"	"8_aishihik"	"Host-Parasite"	7	29	78	0.3842	1	36	1	4	0.281394	5	0.246548	0.679	1	0.860373076923077	0.025163480385746	0	449	66	9.911	9.231	0.002	292	238.118	78.929	0.27	66	10.03	9.40175676685109	0	0.8718	0.5897	0.8205
"30"	"9_coastalrj"	"Host-Parasite"	39	339	678	0.0513	1	378	1	11	0.606865	14	0.598519	0	0.950575271430886	0.854900704970538	0.00733869322034536	0	2947	714	3.622	3.948	0	2055	1632.584	340.13	0.106	503	4.41	4.37184518287534	0	0.9218	0.7212	0.6416
"31"	"A_HP_001"	"Host-Parasite"	10	18	61	0.3389	1	28	1	5	0.314432	5	0.282585	0.367	0.95	0.832275555555556	0.0310495043616451	0.007	199	30	2.102	2.502	0	142	75.463	34.838	0.046	21	1.63	2.44393704559432	0	0.8525	0.5574	0.9016
"32"	"A_HP_002"	"Host-Parasite"	18	24	96	0.2222	2	40	1	5	0.304155	4	0.280554	0.789	0.92	0.923203214285714	0.0211293761655257	0.568	398	47	9.265	10.402	0.014	276	289.863	68.884	0.581	47	9.96	11.8269679849559	0.03	0.8947	0.5474	0.9158
"33"	"A_HP_003"	"Host-Parasite"	23	9	108	0.5217	2	30	1	4	0.172504	4	0.109398	0.916	0.946022727272727	0.839852272727273	0.0281055982433046	0.002	1279	66	23.052	12.02	0.007	817	634.464	130.388	0.087	55	17.74	9.25685113466199	0	0.8224	0.4206	0.9813
"34"	"A_HP_004"	"Host-Parasite"	6	21	52	0.4127	2	25	1	3	0.267589	3	0.230104	0.277	0.916666666666667	0.878404761904762	0.0202504933537466	0.091	158	31	4.129	6.406	0.004	30	76.061	40.341	0.8	3	0.39	1.07209791502173	0.07	0.6667	0.6078	0.9608
"35"	"A_HP_005"	"Host-Parasite"	7	13	51	0.5604	1	20	1	4	0.166859	5	0.110534	0.992	0.875	0.848333333333333	0.0426437000249566	0.658	276	12	2.961	2.546	0.001	213	110.432	60.654	0.091	12	1.8	2.41209075662211	0	0.8627	0.4314	0.9608
"36"	"A_HP_006"	"Host-Parasite"	16	37	123	0.2078	1	53	1	5	0.357195	5	0.353956	0.201	1	0.905252680652681	0.0148024016320369	0	450	74	3.329	3.734	0	375	286.725	71.21	0.122	74	3.52	3.86771145759245	0	0.9431	0.5772	0.8943
"37"	"A_HP_007"	"Host-Parasite"	8	17	43	0.3162	1	25	1	4	0.374256	4	0.347485	0.257	0.900793650793651	0.693666666666667	0.0489884906934165	0	61	18	0.61	1.184	0	28	9.591	7.514	0.034	13	0.35	0.78334945180064	0	0.7907	0.6512	0.8605
"38"	"A_HP_008"	"Host-Parasite"	8	24	37	0.1927	3	26	1	6	0.416896	6	0.386134	0.587	1	0.889154761904762	0.0223827907277992	0.003	15	0	0	0	1	15	8.378	5.143	0.149	0	0	0	1	0.9697	0.6061	0.5455
"39"	"A_HP_009"	"Host-Parasite"	14	22	97	0.3149	2	34	1	5	0.243164	4	0.213487	0.865	1	0.798828571428571	0.0227535109362675	0	694	41	3.845	4.142	0	407	279.094	100.922	0.115	41	3.59	3.57345714394282	0	0.8229	0.4583	0.9271
"40"	"A_HP_010"	"Host-Parasite"	18	31	88	0.1577	1	49	1	4	0.500387	4	0.472947	0.034	0.983333333333333	0.662739215686274	0.0432262849551176	0	109	81	2.35	2.657	0	90	18.296	10.159	0	81	2.19	2.67685553505518	0	0.9091	0.8068	0.7841
"41"	"A_HP_011"	"Host-Parasite"	4	19	43	0.5658	1	23	1	4	0.232558	4	0.190373	0.521	0.958333333333333	0.688473214285714	0.0502938888655057	0	112	0	0	0	1	27	10.235	7.422	0.059	0	0	0	1	0.6977	0.4419	0.8837
"42"	"A_HP_012"	"Host-Parasite"	7	23	63	0.3913	1	30	1	4	0.246662	4	0.22449	0.879	0.916666666666667	0.808722222222222	0.0279717949048517	0.006	270	6	3.388	3.994	0.256	256	87.624	50.824	0	6	1.93	2.71641103091724	0.1	0.9206	0.4603	0.873
"43"	"A_HP_013"	"Host-Parasite"	11	22	103	0.4256	1	33	1	4	0.22217	5	0.176925	0.925	0.975	0.846138461538462	0.0292094941853902	0	831	101	20.183	13.212	0.001	578	451.488	114.408	0.138	76	18.89	14.1377744594638	0.01	0.8544	0.5243	0.9612
"44"	"A_HP_014"	"Host-Parasite"	11	19	68	0.3254	1	30	1	4	0.29282	4	0.260272	0.693	0.9375	0.668349305555555	0.0381078397449045	0	232	20	2.26	2.451	0	96	41.614	26.826	0.041	15	1.51	2.02257461687031	0	0.75	0.5441	0.9412
"45"	"A_HP_015"	"Host-Parasite"	3	7	12	0.5714	1	10	1	3	0.25	3	0.208333	0.507	0.916666666666667	0.71225	0.0725789584191259	0.085	6	0	0	0	1	0	0	0	1	0	0	0	1	0.6667	0.5833	0.6667
"46"	"A_HP_016"	"Host-Parasite"	6	21	52	0.4127	2	25	1	3	0.267589	3	0.230104	0.272	0.916666666666667	0.87831746031746	0.0207537999843161	0.096	158	31	3.746	5.718	0.002	30	75.613	39.062	0.816	3	0.35	0.770346898114313	0.06	0.6667	0.6078	0.9608
"47"	"A_HP_017"	"Host-Parasite"	5	9	19	0.4222	1	14	1	4	0.288089	4	0.263158	0.62	0.8125	0.6963625	0.072316350144682	0.11	15	0	0	0	1	0	0	0	1	0	0	0	1	0.6316	0.5263	0.6842
"48"	"A_HP_018"	"Host-Parasite"	15	21	127	0.4032	1	36	1	4	0.216256	4	0.195827	0.599	0.9	0.889350324675325	0.00931480643517137	0.139	1205	104	14.241	8.734	0	1172	766.613	160.176	0	102	12.41	9.79290095379858	0	0.9685	0.4724	0.9764
"49"	"A_HP_019"	"Host-Parasite"	9	18	36	0.2222	1	27	1	6	0.429012	6	0.404321	0.586	1	0.856777777777778	0.0222782649241777	0	28	1	0.051	0.32	0.038	28	13.122	8.1	0.076	1	0.15	0.557320429022713	0.09	0.9722	0.6111	0.5833
"50"	"A_HP_020"	"Host-Parasite"	16	17	105	0.386	2	31	1	3	0.206084	4	0.16323	0.916	0.891774891774892	0.745816183816184	0.0202857462486986	0.001	934	100	34.859	16.29	0.005	363	276.387	109.828	0.207	53	26.88	16.7833972795267	0.09	0.7115	0.5288	0.9615
"51"	"A_HP_021"	"Host-Parasite"	9	15	57	0.4222	1	24	1	5	0.227147	3	0.188673	0.919	1	0.917633333333333	0.0264635869175676	0.007	222	10	1.207	1.63	0.001	185	148.702	45.993	0.286	10	1.06	1.25384257868411	0	0.9298	0.4386	0.9474
"52"	"A_HP_022"	"Host-Parasite"	16	18	68	0.2361	1	34	1	5	0.32872	4	0.312824	0.752	0.95	0.735586666666667	0.0334317073574565	0	175	20	1.546	2.314	0	130	42.527	25.212	0.003	15	1.38	1.96833519359469	0	0.8676	0.5735	0.7941
"53"	"A_HP_023"	"Host-Parasite"	9	8	41	0.5694	1	17	1	3	0.22903	3	0.198394	0.248	1	0.656150793650794	0.072530257494792	0	93	14	2.255	2.108	0	41	9.872	5.359	0	14	2.34	2.54344076185999	0.01	0.7073	0.5366	1
"54"	"A_HP_024"	"Host-Parasite"	7	20	39	0.2786	2	25	1	4	0.350416	5	0.326524	0.51	1	0.803073015873016	0.0288499910963483	0	54	1	0.258	0.735	0.172	29	14.865	12.677	0.174	1	0.17	0.513553671720273	0.13	0.8684	0.5789	0.7368
"55"	"A_HP_025"	"Host-Parasite"	18	40	107	0.1486	4	52	1	6	0.401072	6	0.384985	0.349	0.925925925925926	0.923389092389092	0.0137469827449777	0.581	249	20	1.043	1.865	0.001	157	163.706	50.808	0.542	17	0.68	1.45560567420846	0	0.9038	0.5673	0.8654
"56"	"A_HP_026"	"Host-Parasite"	15	18	142	0.5259	1	33	1	4	0.167873	5	0.09455	1	0.9375	0.939443181818182	0.00927523976900313	0.661	2341	89	30.314	14.009	0.005	2135	1806.386	245.857	0.129	86	26.91	14.220553484803	0.01	0.9507	0.3944	0.9859
"57"	"A_HP_027"	"Host-Parasite"	17	30	108	0.2118	3	43	1	5	0.308028	5	0.272294	0.84	0.886713286713287	0.662828531468531	0.0575844240219724	0	626	64	6.635	6.399	0	114	71.467	41.485	0.124	18	1.88	3.16636362186319	0.01	0.6698	0.5472	0.9245
"58"	"A_HP_028"	"Host-Parasite"	4	15	19	0.3167	2	16	1	3	0.380623	3	0.358131	0.319	1	0.820872222222222	0.0373625795581639	0.005	3	0	0	0	1	3	0.696	1.166	0.191	0	0	0	1	0.9412	0.7647	0.3529
"59"	"A_HP_029"	"Host-Parasite"	15	34	79	0.1549	1	49	1	5	0.476046	5	0.473882	0.203	0.883333333333333	0.80370119047619	0.0257481839481873	0.001	73	23	0.722	1.336	0	72	28.302	14.693	0.002	23	0.48	0.979383438287538	0	0.9367	0.7215	0.6835
"60"	"A_HP_030"	"Host-Parasite"	14	15	51	0.2429	2	27	1	5	0.3252	4	0.288	0.82	1	0.819926666666667	0.0164289067086739	0	118	5	0.34	0.693	0	110	50.505	23.622	0.009	5	0.34	0.57243057891483	0	0.94	0.52	0.8
"61"	"A_HP_031"	"Host-Parasite"	25	31	174	0.2245	3	50	1	4	0.263114	5	0.231436	0.786	0.903846153846154	0.840772294494721	0.0142269114378265	0	1567	142	26.928	18.618	0.002	1499	796.112	233.62	0	135	21.52	16.0293165761672	0	0.9353	0.5235	0.9706
"62"	"A_HP_032"	"Host-Parasite"	14	13	32	0.1758	4	21	1	4	0.429251	4	0.421522	0.242	1	0.779652083333333	0.0534072521966011	0	23	22	0.37	0.843	0	22	6.864	6.309	0.08	22	0.35	0.821122660899347	0	0.931	0.8276	0.5862
"63"	"A_HP_033"	"Host-Parasite"	22	25	198	0.36	1	47	1	6	0.184496	6	0.154793	1	1	0.915272222222222	0.0304104952960335	0	3879	133	41.579	28.433	0.013	3858	2620.348	547.119	0	133	43.97	28.0628641345523	0	0.9848	0.3889	0.9798
"64"	"A_HP_034"	"Host-Parasite"	9	8	35	0.4861	1	17	1	4	0.206531	5	0.158776	0.92	0.9375	0.831204166666667	0.0250305254496908	0.015	103	3	0.631	0.917	0.088	60	46.474	21.35	0.26	3	0.52	0.834605090186764	0.07	0.8286	0.4286	0.9143
"65"	"A_HP_035"	"Host-Parasite"	6	7	15	0.3571	1	13	1	4	0.364444	4	0.335556	0.504	0.875	0.702333333333333	0.0818951642591927	0.021	3	0	0.004	0.063	1	1	0.282	0.509	0.254	0	0	0	1	0.8	0.6	0.6667
"66"	"A_HP_036"	"Host-Parasite"	8	13	30	0.2885	1	21	1	3	0.423333	3	0.422778	0.183	1	0.692142857142857	0.0394825505377633	0.001	23	7	0.514	0.922	0.001	23	3.919	3.666	0	7	0.57	0.912926253009707	0	0.9667	0.7667	0.7333
"67"	"A_HP_037"	"Host-Parasite"	17	21	90	0.2521	1	38	1	5	0.336173	5	0.303704	0.437	0.884090909090909	0.761412878787879	0.0504508508299765	0.003	388	72	6.995	7.995	0.002	294	112.312	62.609	0.004	63	6.43	12.9195294970151	0.02	0.8667	0.6222	0.9222
"68"	"A_HP_038"	"Host-Parasite"	10	20	52	0.26	2	28	1	4	0.364475	5	0.35198	0.245	1	0.674548295454545	0.0523192070417744	0	110	26	2.044	2.609	0	66	16.627	12.132	0.004	26	2.08	2.28159079715372	0	0.8431	0.6667	0.8431
"69"	"A_HP_039"	"Host-Parasite"	6	11	29	0.4394	1	17	1	4	0.281807	4	0.242568	0.621	1	0.73475	0.0496981630184397	0.001	36	1	0.075	0.267	0.074	20	8.765	6.109	0.063	1	0.04	0.196946385566932	0.04	0.8276	0.4828	0.8621
"70"	"A_HP_040"	"Host-Parasite"	8	18	28	0.1944	3	22	1	4	0.408284	4	0.383876	0.629	1	0.78405	0.035306745651656	0	10	0	0.02	0.178	1	10	2.563	3.519	0.111	0	0	0	1	0.9231	0.6923	0.3846
"71"	"A_HP_041"	"Host-Parasite"	11	10	50	0.4545	1	21	1	3	0.2368	4	0.1954	0.663	0.849206349206349	0.625115079365079	0.0656400394917201	0.001	194	13	4.757	3.582	0.024	43	18.625	8.436	0.02	11	3.61	4.14118267399471	0.06	0.68	0.52	0.96
"72"	"A_HP_042"	"Host-Parasite"	21	32	84	0.125	4	46	1	5	0.436406	4	0.400703	0.615	0.941414141414141	0.621954545454545	0.0452022782043352	0	104	15	0.746	1.402	0	68	11.603	7.053	0	12	0.47	0.858175184018185	0	0.85	0.65	0.7875
"73"	"A_HP_043"	"Host-Parasite"	9	29	73	0.2797	2	36	1	5	0.291281	5	0.26765	0.838	0.945454545454545	0.805863636363636	0.025274342756626	0	262	23	2.075	3.192	0.001	112	67.87	43.275	0.142	3	0.37	0.917341349506906	0.06	0.7917	0.5417	0.8472
"74"	"A_HP_044"	"Host-Parasite"	27	26	197	0.2806	1	53	1	5	0.233966	6	0.200405	0.962	1	0.962220833333333	0.0241150337097638	0.001	3016	171	52.52	26.141	0.001	3016	2568.373	336.709	0.013	171	51.59	23.2783312776218	0	0.9949	0.4721	0.9645
"75"	"A_HP_045"	"Host-Parasite"	7	16	57	0.5089	1	23	1	4	0.204986	4	0.164358	0.848	1	0.788736904761905	0.0193494191692599	0	278	10	2.048	2.112	0.015	126	85.234	43.43	0.167	10	1.88	1.86558410167005	0	0.7719	0.4386	0.9649
"76"	"A_HP_046"	"Host-Parasite"	17	39	202	0.3047	1	56	1	4	0.246422	4	0.230664	0.563	0.890625	0.838218907828283	0.0151792393630681	0	3384	746	79.071	45.929	0	3364	1769.602	441.919	0	742	52.14	44.0853213162335	0	0.9703	0.5693	0.9604
"77"	"A_HP_047"	"Host-Parasite"	11	26	100	0.3497	2	33	1	4	0.212456	4	0.206611	0.636	0.792857142857143	0.789480952380952	0.017694498358046	0.419	703	67	8.665	6.013	0	241	221.663	78.575	0.371	52	6.49	8.89159744087108	0	0.7113	0.4948	0.9381
"78"	"A_HP_048"	"Host-Parasite"	12	14	71	0.4226	1	26	1	3	0.260067	2	0.194803	0.732	0.851851851851852	0.846898148148148	0.00384507335636981	0.266	432	48	10.805	6.289	0.002	285	205.618	87.265	0.222	32	6	4.9195548784438	0	0.831	0.5634	0.9859
"79"	"A_HP_049"	"Host-Parasite"	5	19	39	0.4105	1	24	1	3	0.350427	3	0.324458	0.235	1	0.691587878787879	0.0378198284124545	0	56	18	1.711	3.076	0.003	27	8.531	8.574	0.041	18	2.2	3.8898988587511	0.01	0.8205	0.7179	0.8462
"80"	"A_HP_050"	"Host-Parasite"	27	35	226	0.2392	2	60	1	6	0.265837	5	0.232089	0.659	0.981481481481482	0.818705654761905	0.0162985412178729	0	4302	596	27.086	20.591	0	4231	1902.443	546.038	0	590	27.44	20.5044070158273	0	0.9733	0.5244	0.9467
"81"	"A_HP_051"	"Host-Parasite"	13	26	107	0.3166	1	39	1	4	0.24893	5	0.204035	0.997	0.867788461538462	0.826099519230769	0.0224917147501179	0.004	898	137	13.625	13.055	0	417	443.25	137.359	0.538	62	7.77	9.14181755904307	0	0.785	0.5701	0.9252
"82"	"A_PH_004"	"Plant-Herbivore"	52	22	184	0.1608	1	74	1	5	0.422909	5	0.366996	0.161	0.923288770053476	0.601223523469994	0.0373652595121232	0	789	275	6.268	7.111	0	487	93.344	46.262	0	266	5.12	5.14689275684903	0	0.8207	0.6576	0.8967
"83"	"A_PH_005"	"Plant-Herbivore"	54	24	173	0.1335	1	78	1	5	0.419192	6	0.397307	0.236	0.946428571428571	0.71802876984127	0.0146883046866246	0	550	110	4.205	5.579	0	285	177.428	73.671	0.086	102	4.8	6.41336987326578	0	0.8439	0.6301	0.8671
"84"	"A_PH_006"	"Plant-Herbivore"	6	88	116	0.2197	1	94	1	5	0.392539	5	0.376672	1	1	0.868414693877551	0.0492932555694525	0	212	0	0.109	0.63	1	211	71.703	86.9	0.04	0	0.2	0.840874965182522	1	0.9741	0.7672	0.4224
"85"	"A_PH_007"	"Plant-Herbivore"	5	64	95	0.2969	1	69	1	3	0.328753	3	0.308199	1	1	0.659696209587514	0.0335558228029527	0	139	5	1.052	2.053	0.063	17	7.414	7.441	0.119	5	1.13	2.15394868775813	0.05	0.8	0.7368	0.5263
"86"	"abe"	"Phage-Bacteria"	10	4	22	0.55	1	14	1	2	0.309917	2	0.305785	0.04	1	0.617104166666667	0.077815526799426	0	33	30	3.731	3.629	0	30	3.413	3.321	0	30	3.7	3.76989671106799	0	0.9091	0.9091	0.7727
"87"	"bac15"	"Phage-Bacteria"	25	12	146	0.4867	1	37	1	3	0.200225	3	0.192531	0.085	0.861111111111111	0.808916666666667	0.0104238797181995	0.001	2221	567	77.948	40.226	0	2190	1047.712	245.396	0	561	69.37	40.0632467153342	0	0.9521	0.6027	0.9658
"88"	"barrangou"	"Phage-Bacteria"	7	6	25	0.5952	1	13	1	2	0.2144	2	0.2072	0.219	0.75	0.769583333333333	0.00932522568003819	1	40	15	3.537	2.591	0.004	30	12.67	6.434	0.031	12	2.17	2.29208122972035	0.02	0.8	0.72	0.96
"89"	"basker"	"Food Webs"	16	8	65	0.5078	1	24	1	4	0.175385	3	0.153728	0.89	0.916666666666667	0.834889880952381	0.016096960463338	0.002	477	20	4.18	3.29	0	409	148.979	83.047	0.005	20	2.96	3.84266321788166	0	0.9077	0.4308	0.9231
"90"	"braunbreton"	"Phage-Bacteria"	17	3	30	0.5882	1	20	1	3	0.175556	3	0.126667	0.985	1	0.879833333333333	0.0644486774657852	0.022	66	0	0	0	1	55	18.524	27.222	0.319	0	0	0	1	0.9333	0.5667	0.8
"91"	"campbell"	"Phage-Bacteria"	5	5	14	0.56	1	10	1	4	0.22449	3	0.196429	0.479	0.916666666666667	0.836875	0.0718644285673763	0.268	10	0	0	0	1	7	3.608	2.542	0.157	0	0	0	1	0.8571	0.4286	0.8571
"92"	"capparelli"	"Phage-Bacteria"	16	8	54	0.4219	1	24	1	4	0.256516	3	0.235425	0.443	1	0.712425	0.0455253965210086	0	224	28	2.731	3.718	0	122	50.768	29.853	0.027	28	2.7	3.27062221862594	0	0.8333	0.537	0.8704
"93"	"caso"	"Phage-Bacteria"	9	4	17	0.4722	2	11	1	2	0.1875	2	0.179688	0.329	1	0.7600625	0.0531728755894248	0.011	21	15	3.645	5.382	0.077	15	3.785	5.416	0.077	15	3.6	5.41602560309064	0.08	0.875	0.875	0.875
"94"	"ceyssens"	"Phage-Bacteria"	4	12	29	0.6042	1	16	1	2	0.214031	2	0.192628	0.322	1	0.699372727272727	0.0386233018448166	0	75	37	7.185	12.664	0.009	37	7.771	13.273	0.013	37	8.57	13.8317852364864	0	0.7931	0.7931	1
