"ID" "NRow" "NCol" "NLinks" "Connectance" "NComp" "LargeCompSize" "nLargeComp" "SA_NMod" "SA_Modularity" "FG_NMod" "FG_Modularity" "FG_PNull" "MS_congr" "MS_mean" "MS_sd" "MS_pval" "n_m6" "n_m6_mod" "mean_m6_mod" "sd_m6_mod" "p_m6_mod" "n_m6_sect" "mean_m6_sect" "sd_m6_sect" "p_m6_sect" "n_m6_ms" "mean_m6_ms" "sd_m6_ms" "p_m6_ms"
"11" "19_lakeerie" 91 274 1079 0.0433 3 360 1 9 0.439319 10 0.403618 0 0.994152046783626 0.976642588203185 0.0154511423627704 0 18395 3306 100.758 88.846 0 18164 16516.655 1343.426 0.049 3226 95.56 81.9375618407336 0
"12" "2_planicieparana" 65 307 472 0.0237 19 330 1 14 0.695362 16 0.69459 0 0.947285301940622 0.864586947862929 0.0124107937851242 0 596 352 0.395 1.198 0 579 359.75 113.544 0.002 347 0.6 1.58910431540932 0
"13" "20_lakeontario" 61 249 596 0.0392 1 310 1 10 0.563958 11 0.5579 0 0.889344734310716 0.579015446163167 0.0202720781940345 0 2129 530 5.103 5.816 0 737 266.006 94.821 0 342 2.87 4.11858316326468 0
"14" "21_devilslake" 6 21 31 0.246 1 27 1 4 0.519251 4 0.512487 0.12 1 0.658770238095238 0.0517418445318847 0 6 1 0.022 0.147 0.022 2 0.384 0.646 0.046 1 0.01 0.1 0.01
"15" "22_bengal" 37 49 77 0.0425 10 41 1 6 0.640095 7 0.637418 0.62 0.972222222222222 0.658351388888889 0.0587343095326764 0 1 1 0.005 0.071 0.005 1 0.081 0.273 0.081 1 0 0 0
"16" "23_hidvegi" 12 34 51 0.125 2 40 1 7 0.57656 7 0.563091 0.85 1 0.659468537414966 0.0519518172608788 0 9 0 0.018 0.133 1 3 1.04 1.298 0.158 0 0.01 0.1 1
"17" "24_riga" 52 95 469 0.0949 1 147 1 6 0.406036 6 0.383857 0 0.977212602212602 0.640704304954305 0.0266354070265318 0 6287 1598 132.391 84.503 0 5294 1084.774 404.377 0 1593 129.51 88.6417708270403 0
"18" "25_aluksnes" 48 22 247 0.2339 1 70 1 5 0.302841 5 0.266723 0 0.795726495726496 0.716346822742475 0.0187548286704144 0.002 3401 384 50.602 42.574 0 2048 1031.835 338.402 0.005 361 46.87 36.9721858327652 0
"19" "26_raznas" 48 86 490 0.1187 1 134 1 5 0.318334 6 0.303007 0 0.926206896551724 0.611483124657909 0.0288467156774693 0 11427 877 86.845 45.875 0 2880 1595.466 618.423 0.043 557 55.39 31.3432914543435 0
"20" "27_trespalos" 13 39 132 0.2604 1 52 1 5 0.282656 6 0.260991 1 0.981818181818182 0.884855 0.0178170648595856 0 1011 55 10.537 7.625 0 702 643.948 160.987 0.383 48 10.26 9.01919389889466 0.01
"21" "28_mekong" 52 125 280 0.0431 4 170 1 9 0.623228 10 0.618508 0 0.982222222222222 0.876662633996359 0.00719457704246759 0 303 118 0.415 0.906 0 285 177.612 42.155 0.002 117 0.42 0.818720361480665 0
