"Sorex_araneus"	"Apodemus_uralensis"	"Clethrionomys_glareolus"	"Microtus_agrestis"	"Clethrionomys_rutilus"	"Microtus_arvalis"	"Sorex_caecutiens"	"Arvicola_terrestris"	"Sicista_betulina"	"Hystrichopsylla_talpae"	"Amalaraeus_penicilliger"	"Rhadinopsylla_integella"	"Megabothris_walkeri"	"Amphipsylla_sibirica"	"Corrodopsylla_birulai"	"Ctenophthalmus_assimilis"	"Ceratophyllus_sciurorum"
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0.715334773218143	0.0019438444924406	0.167170626349892	0	0	0.00971922246220302	0.00583153347732181	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0.780882352941176	0.0529411764705882	0.0397058823529412	0	0.0264705882352941	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0.669767441860465	0	0.0209302325581395	0.104651162790698	0	0.0837209302325581	0.0209302325581395
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0.0658536585365854	0.153658536585366	0.0878048780487805	0.307317073170732	0.109756097560976	0.153658536585366	0.0219512195121951	0
"Clethrionomys_rutilus"	0	0	0	0	0	0	0	0	0	0.109090909090909	0	0.0272727272727273	0.218181818181818	0.327272727272727	0.109090909090909	0.109090909090909	0
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0.075	0	0	0.45	0	0.075	0.225	0.075
"Sorex_caecutiens"	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.1	0	0	0.3
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0.3375	0	0	0	0.3375	0	0.225	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0.6	0	0.15	0	0	0	0.15
"Hystrichopsylla_talpae"	0.873878627968338	0	0	0.00712401055408971	0.00949868073878628	0.00237467018469657	0	0.00712401055408971	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.00833333333333333	0.491666666666667	0.266666666666667	0.0583333333333333	0	0	0.0416666666666667	0	0.0333333333333333	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.814736842105263	0.0378947368421053	0	0.0378947368421053	0.00947368421052632	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_walkeri"	0	0.0818181818181818	0.0272727272727273	0.381818181818182	0.218181818181818	0.163636363636364	0	0	0.0272727272727273	0	0	0	0	0	0	0	0
"Amphipsylla_sibirica"	0	0	0.173076923076923	0.173076923076923	0.415384615384615	0	0.0346153846153846	0.103846153846154	0	0	0	0	0	0	0	0	0
"Corrodopsylla_birulai"	0.236842105263158	0.0947368421052632	0	0.331578947368421	0.189473684210526	0.0473684210526316	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.158823529411765	0	0.211764705882353	0.0529411764705882	0.211764705882353	0.158823529411765	0	0.105882352941176	0	0	0	0	0	0	0	0	0
"Ceratophyllus_sciurorum"	0	0	0.15	0	0	0.15	0.45	0	0.15	0	0	0	0	0	0	0	0
