"Nephrosperma_vanhoutteanum"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Mimusops_sechellarum"	"Soulamea_terminaloides"	"Apis_mellifera"	"Unidentified_sp2_M_PL_084"	"Rhiparida_seychellensis"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_084"	"Unidentified_sp1_M_PL_084"	"Scaptodrosophila_sp1_M_PL_084"	"Xylocopa_caffra"	"Geron_seychellarum"	"Phelsuma_sp1_M_PL_084"	"Polistes_olivaceus"	"Unidentified_sp3_M_PL_084"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0.118867924528302	0.339622641509434	0.220754716981132	0	0.135849056603774	0.0339622641509434	0	0	0.0169811320754717	0.0169811320754717	0	0.0169811320754717
"Paragenipa_wrightii"	0	0	0	0	0	0.565714285714286	0	0	0.282857142857143	0	0	0	0.0257142857142857	0	0	0.0257142857142857	0
"Memecylon_eleagni"	0	0	0	0	0	0.771428571428571	0	0	0	0	0	0	0.128571428571429	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0.3	0.6	0	0	0	0	0
"Soulamea_terminaloides"	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0
"Apis_mellifera"	0.18	0.565714285714286	0.154285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_084"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_084"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_084"	0.36	0	0	0.18	0.36	0	0	0	0	0	0	0	0	0	0	0	0
"Scaptodrosophila_sp1_M_PL_084"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Geron_seychellarum"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_084"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_olivaceus"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_084"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
