"Canthium_bibracteatum"	"Psidium_cattleianum"	"Premna_serratifolia"	"Erythroxylum_sechellarum"	"Cinnamomum_verum"	"Ochna_kirkii"	"Memecylon_eleagni"	"Lasioglossum_mahense"	"Apis_mellifera"	"Ornidia_obesa"	"Parasarcophaga_hirticeps"	"Unidentified_sp1_M_PL_109"	"Xylocopa_caffra"	"Hemipyrellia_germana"	"Pachycerina_seychellensis"	"Dichaetomyia_fasciculifera"	"Hemipyrellia_sp1_M_PL_109"	"Lygistorrhina_sp1_M_PL_109"	"Plagiostenopterina_cyanosoma"	"Simosyrphus_aegyptius"
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0.490909090909091	0.245454545454545	0.0545454545454545	0	0	0	0.109090909090909	0	0	0	0	0	0
"Psidium_cattleianum"	0	0	0	0	0	0	0	0	0.620689655172414	0.0931034482758621	0.155172413793103	0	0.0310344827586207	0	0	0	0	0	0	0
"Premna_serratifolia"	0	0	0	0	0	0	0	0.156521739130435	0	0.156521739130435	0.117391304347826	0.234782608695652	0	0.0391304347826087	0.0782608695652174	0.0782608695652174	0.0391304347826087	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0.615789473684211	0.142105263157895	0	0	0	0	0	0.0473684210526316	0	0	0.0947368421052632	0	0
"Cinnamomum_verum"	0	0	0	0	0	0	0	0.65	0	0.05	0.05	0	0	0	0	0	0.05	0	0.1	0
"Ochna_kirkii"	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0.3
"Lasioglossum_mahense"	0.3375	0	0.075	0.24375	0.24375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.238235294117647	0.529411764705882	0	0.0794117647058824	0	0	0.0529411764705882	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.18	0.27	0.36	0	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0.5	0.3	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_109"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0	0.15	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.72	0	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pachycerina_seychellensis"	0	0	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dichaetomyia_fasciculifera"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_109"	0	0	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_109"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Plagiostenopterina_cyanosoma"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Simosyrphus_aegyptius"	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0
