"Apodemus_uralensis"	"Cricetulus_migratorius"	"Clethrionomys_centralis"	"Sicista_tianshanica"	"Spermophilus_relictus"	"Alticola_argentatus"	"Sciurus_vulgaris"	"Ellobius_tancrei"	"Microtus_oeconomus"	"Pectinoctenus_nemorosa"	"Frontopsylla_ornata"	"Neopsylla_teratura"	"Neopsylla_mana"	"Amalaraeus_penicilliger"	"Amphipsylla_anceps"	"Callopsylla_caspia"	"Megabothris_rectangulatus"	"Frontopsylla_elata"	"Amphipsylla_dumalis"	"Paraneopsylla_tiflovi"	"Amphipsylla_primaris"	"Neopsylla_pleskei"	"Neopsylla_setosa"	"Amphipsylla_kuznetzovi"	"Leptopsylla_nana"	"Frontopsylla_elatoides"	"Rhadinopsylla_li"	"Tarsopsylla_octodecimdentata"	"Amphipsylla_rossica"	"Amphipsylla_asiatica"	"Ctenophthalmus_breviatus"	"Oropsylla_silantiewi"	"Frontopsylla_protera"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_arvalis"	"Hystrichopsylla_talpae"	"Palaeopsylla_soricis"	"Pectinoctenus_pectiniceps"
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0.469300225733634	0.297629796839729	0.00507900677200903	0.0558690744920993	0.00914221218961625	0.00203160270880361	0.0172686230248307	0.00812641083521445	0	0	0	0.00406320541760722	0	0	0.0101580135440181	0	0	0.00203160270880361	0	0.00203160270880361	0.00406320541760722	0.00609480812641084	0.00304740406320542	0	0	0.00203160270880361	0	0	0.00203160270880361
"Cricetulus_migratorius"	0	0	0	0	0	0	0	0	0	0.0286219081272085	0.00636042402826855	0.263957597173145	0.0127208480565371	0.0508833922261484	0.270318021201413	0.0699646643109541	0.0381625441696113	0	0.0858657243816254	0.00636042402826855	0.00636042402826855	0	0	0	0.0381625441696113	0	0	0	0	0.00636042402826855	0	0	0.00636042402826855	0.00954063604240283	0	0	0	0
"Clethrionomys_centralis"	0	0	0	0	0	0	0	0	0	0.099604743083004	0.0924901185770751	0.0106719367588933	0.049802371541502	0.256126482213439	0	0.0355731225296443	0.135177865612648	0.128063241106719	0	0.0106719367588933	0.00711462450592885	0	0	0.024901185770751	0.00711462450592885	0	0.00711462450592885	0	0.0213438735177866	0	0	0	0	0	0	0.00711462450592885	0.00711462450592885	0
"Sicista_tianshanica"	0	0	0	0	0	0	0	0	0	0.0616438356164384	0.756164383561644	0.0164383561643836	0.0123287671232877	0	0	0	0.0410958904109589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0123287671232877	0	0	0	0	0
"Spermophilus_relictus"	0	0	0	0	0	0	0	0	0	0	0	0.330150753768844	0.244221105527638	0.0135678391959799	0	0	0	0	0	0	0	0.117587939698492	0.0949748743718593	0	0	0.0542713567839196	0.0316582914572864	0	0	0	0	0.0135678391959799	0	0	0	0	0	0
"Alticola_argentatus"	0	0	0	0	0	0	0	0	0	0.0222222222222222	0.0444444444444444	0	0.0666666666666667	0.0777777777777778	0	0.222222222222222	0	0	0	0.277777777777778	0.188888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0
"Ellobius_tancrei"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Microtus_oeconomus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_nemorosa"	0.805813953488372	0.0156976744186047	0.0488372093023256	0.0261627906976744	0	0.00348837209302326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
