"Psychotria_hoffmannseggiana"	"Psychotria_marginata"	"Psychotria_acuminata"	"Psychotria_deflexa"	"Psychotria_horizontalis"	"Psychotria_limonensis"	"Psychotria_poeppigiana"	"Psychotria_emetica"	"Psychotria_psychotrifolia"	"Psychotria_brachybotrya"	"Psychotria_pittieri"	"Psychotria_racemosa"	"Psychotria_grandis"	"Pipra_mentalis"	"Pipra_coronata"	"Catharus_ustulatus"	"Manacus_vitellinus"	"Catharus_fuscescens"	"Catharus_minimus"	"Habia_fuscicauda"	"Schiffornis_turdinus"	"Empidonax_virescens"	"Mionectes_oleagineus"	"Trogon_rufus"
"Psychotria_hoffmannseggiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.688235294117647	0.0926470588235294	0.0397058823529412	0.0132352941176471	0.0132352941176471	0.0397058823529412	0	0.0132352941176471	0	0	0
"Psychotria_marginata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289285714285714	0.257142857142857	0.0482142857142857	0.160714285714286	0.1125	0	0	0.0160714285714286	0	0	0.0160714285714286
"Psychotria_acuminata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.468	0.126	0.234	0	0.018	0.054	0	0	0	0	0
"Psychotria_deflexa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289285714285714	0.353571428571429	0.160714285714286	0	0	0	0.0964285714285714	0	0	0	0
"Psychotria_horizontalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.417857142857143	0.0642857142857143	0.192857142857143	0.0642857142857143	0.0642857142857143	0.0321428571428571	0	0	0.0321428571428571	0.0321428571428571	0
"Psychotria_limonensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.756	0	0.036	0.036	0.072	0	0	0	0	0	0
"Psychotria_poeppigiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415384615384615	0.207692307692308	0.0692307692307692	0.0692307692307692	0	0	0.138461538461538	0	0	0	0
"Psychotria_emetica"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385714285714286	0	0	0.514285714285714	0	0	0	0	0
"Psychotria_psychotrifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0.36	0	0	0	0	0	0	0	0	0
"Psychotria_brachybotrya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225	0.45	0.225	0	0	0	0	0	0	0	0
"Psychotria_pittieri"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0.6	0	0	0	0	0	0	0
"Psychotria_racemosa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0.3	0	0	0	0	0	0	0
"Psychotria_grandis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0
"Pipra_mentalis"	0.307894736842105	0.106578947368421	0.153947368421053	0.0532894736842105	0.0769736842105263	0.124342105263158	0.0355263157894737	0	0.0177631578947368	0.00592105263157895	0	0.00592105263157895	0.0118421052631579	0	0	0	0	0	0	0	0	0	0	0
"Pipra_coronata"	0.121153846153846	0.276923076923077	0.121153846153846	0.190384615384615	0.0346153846153846	0	0.0519230769230769	0	0.0346153846153846	0.0346153846153846	0.0173076923076923	0.0173076923076923	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_ustulatus"	0.075	0.075	0.325	0.125	0.15	0.025	0.025	0.075	0	0.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Manacus_vitellinus"	0.05	0.5	0	0	0.1	0.05	0.05	0	0	0	0.1	0.05	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_fuscescens"	0.0692307692307692	0.484615384615385	0.0692307692307692	0	0.138461538461538	0.138461538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catharus_minimus"	0.245454545454545	0	0.245454545454545	0	0.0818181818181818	0	0	0.327272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Habia_fuscicauda"	0	0	0	0.54	0	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Schiffornis_turdinus"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Empidonax_virescens"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mionectes_oleagineus"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Trogon_rufus"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
