"Marmota_caudata"	"Cricetulus_migratorius"	"Microtus_juldaschi"	"Alticola_argentatus"	"Oropsylla_silantiewi"	"Citellophilus_lebedewi"	"Amphipsylla_anceps"	"Callopsylla_caspia"	"Rhadinopsylla_li"	"Neopsylla_meridiana"	"Amalaraeus_penicilliger"	"Amphipsylla_primaris"	"Amphipsylla_montana"	"Leptopsylla_nana"	"Neopsylla_pleskei"	"Amphipsylla_phaiomydis"	"Paraneopsylla_ioffi"	"Rhadinopsylla_dahurica"	"Pectinoctenus_pamirensis"	"Neopsylla_teratura"	"Frontopsylla_elata"	"Frontopsylla_protera"	"Paradoxopsyllus_naryni"
"Marmota_caudata"	0	0	0	0	0.687874488641309	0.21109931238576	4.7001479676212e-05	5.48350596222474e-05	0.000908695273740099	0	0	0	0	0	0	0	1.56671598920707e-05	0	0	0	0	0	0
"Cricetulus_migratorius"	0	0	0	0	0	0	0.285761047463175	0.12962356792144	0.00589198036006547	0.154664484451718	0.0117839607201309	0.088379705400982	0.103109656301146	0.0250409165302782	0.0368248772504092	0	0.0250409165302782	0.00589198036006547	0.0132569558101473	0.00736497545008183	0	0.00294599018003273	0.0044189852700491
"Microtus_juldaschi"	0	0	0	0	0.0424528301886792	0	0.0849056603773585	0.0764150943396226	0.00849056603773585	0.0806603773584906	0.343867924528302	0.118867924528302	0.00849056603773585	0.0212264150943396	0	0.0636792452830189	0	0.0254716981132075	0	0	0.0169811320754717	0.00849056603773585	0
"Alticola_argentatus"	0	0	0	0	0	0	0.0509433962264151	0.390566037735849	0.0509433962264151	0	0.0169811320754717	0	0.110377358490566	0.178301886792453	0.0254716981132075	0.0594339622641509	0.0169811320754717	0	0	0	0	0	0
"Oropsylla_silantiewi"	0.899897518816684	0	0.000102481183316063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Citellophilus_lebedewi"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_anceps"	0.0238938053097345	0.772566371681416	0.079646017699115	0.0238938053097345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Callopsylla_caspia"	0.039622641509434	0.49811320754717	0.10188679245283	0.260377358490566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_li"	0.815625	0.028125	0.0140625	0.0421875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_meridiana"	0	0.762096774193548	0.137903225806452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0	0.0791208791208791	0.801098901098901	0.0197802197802198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_primaris"	0	0.613636363636364	0.286363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_montana"	0	0.741176470588235	0.0211764705882353	0.137647058823529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_nana"	0	0.355813953488372	0.104651162790698	0.43953488372093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_pleskei"	0	0.803571428571429	0	0.0964285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_phaiomydis"	0	0	0.613636363636364	0.286363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paraneopsylla_ioffi"	0.0857142857142857	0.728571428571429	0	0.0857142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_dahurica"	0	0.36	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pectinoctenus_pamirensis"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_teratura"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_protera"	0	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_naryni"	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
