"Nephrosperma_vanhoutteanum"	"Medusagyne_oppositifolia"	"Mimusops_sechellarum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Apis_mellifera"	"Lygistorrhina_sp1_M_PL_085"	"Unidentified_sp2_M_PL_085"	"Unidentified_sp1_M_PL_085"	"Lasioglossum_mahense"	"Parasarcophaga_hirticeps"	"Eristalinus_vicarians"	"Rhiparida_seychellensis"	"Geron_seychellarum"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_085"	"Chalcidoma_disjunctum"	"Hemipyrellia_germana"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_085"	"Unidentified_sp4_M_PL_085"	"Unidentified_sp5_M_PL_085"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0.16875	0.225	0.14625	0.0675	0.0225	0.0675	0.0675	0.05625	0.0225	0	0.01125	0.01125	0.01125	0	0.01125	0.01125	0
"Medusagyne_oppositifolia"	0	0	0	0	0	0.568421052631579	0	0	0.236842105263158	0	0.0947368421052632	0	0	0	0	0	0	0	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0.476470588235294	0	0	0.0529411764705882	0.158823529411765	0	0	0	0	0.105882352941176	0.0529411764705882	0	0	0	0	0	0.0529411764705882
"Erythroxylum_sechellarum"	0	0	0	0	0	0.692307692307692	0	0	0	0.207692307692308	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0
"Apis_mellifera"	0.264705882352941	0.211764705882353	0.158823529411765	0.176470588235294	0.0882352941176471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lygistorrhina_sp1_M_PL_085"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_085"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_085"	0.45	0.375	0.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.225	0	0.3375	0.3375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0.675	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Geron_seychellarum"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nectarinia_dussumieri"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phelsuma_sp1_M_PL_085"	0.45	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Simosyrphus_aegyptius"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp3_M_PL_085"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp4_M_PL_085"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp5_M_PL_085"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
