"Medusagyne_oppositifolia"	"Nephrosperma_vanhoutteanum"	"Deckenia_nobilis"	"Psychotria_pervillei"	"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Syzygium_wrightii"	"Diospyros_seychellarum"	"Memecylon_eleagni"	"Mimusops_sechellarum"	"Canthium_bibracteatum"	"Timonius_sechellensis"	"Apis_mellifera"	"Lasioglossum_mahense"	"Ornidia_obesa"	"Nectarinia_dussumieri"	"Phelsuma_sp1_M_PL_088"	"Neophyllomyza_approximatonervis"	"Hemipyrellia_germana"	"Megachile_seychellensis"	"Geron_seychellarum"	"Unidentified_sp2_M_PL_088"	"Mabuya_sechellensis"	"Musca_domestica"	"Parasarcophaga_hirticeps"	"Rhiparida_seychellensis"	"Rhynchium_brunneum"	"Cratopus_aurostriatus"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_088"	"Lampides_boeticus"	"Lygistorrhina_sp1_M_PL_088"	"Scaptodrosophila_sp1_M_PL_088"	"Unidentified_sp1_M_PL_088"
"Medusagyne_oppositifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0.549152542372881	0	0.152542372881356	0	0	0	0.076271186440678	0	0	0	0	0.0305084745762712	0.0152542372881356	0	0.0305084745762712	0	0.0152542372881356	0.0152542372881356	0	0	0.0152542372881356	0
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.327272727272727	0.0490909090909091	0	0.0327272727272727	0.0818181818181818	0.0327272727272727	0.0654545454545455	0.0327272727272727	0.0490909090909091	0	0	0.0163636363636364	0	0	0	0	0	0	0.0163636363636364	0	0.0163636363636364
"Deckenia_nobilis"	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0.072	0.036	0	0.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0	0	0.72	0	0.072	0.072	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0	0.236842105263158	0.331578947368421	0	0	0.0947368421052632	0.0947368421052632	0	0	0	0	0	0	0	0.0947368421052632	0	0.0473684210526316	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0.423529411764706	0.370588235294118	0	0	0	0	0	0	0.0529411764705882	0	0	0	0	0	0	0	0	0	0.0529411764705882	0	0	0
"Syzygium_wrightii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0	0	0	0	0
"Diospyros_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0.675	0	0	0	0	0	0	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Mimusops_sechellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Canthium_bibracteatum"	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Timonius_sechellensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.247328244274809	0.0755725190839695	0.274809160305344	0.137404580152672	0.0343511450381679	0.0549618320610687	0	0.0412213740458015	0.0274809160305344	0	0.00687022900763359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.439024390243902	0.0878048780487805	0	0.153658536585366	0.153658536585366	0	0	0.0439024390243902	0	0.0219512195121951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.529411764705882	0.158823529411765	0.105882352941176	0.105882352941176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
