"Psidium_cattleianum"	"Memecylon_eleagni"	"Cinnamomum_verum"	"Ochna_kirkii"	"Premna_serratifolia"	"Erythroxylum_sechellarum"	"Apis_mellifera"	"Ornidia_obesa"	"Xylocopa_caffra"	"Lasioglossum_mahense"	"Neavella_albipectus"	"Megachile_seychellensis"	"Parasarcophaga_hirticeps"	"Polistes_olivaceus"	"Chalcidoma_disjunctum"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_110"	"Cratopus_aurostriatus"	"Dichaetomyia_fasciculifera"
"Psidium_cattleianum"	0	0	0	0	0	0	0.781967213114754	0.059016393442623	0.0295081967213115	0	0	0	0	0	0.0147540983606557	0	0.0147540983606557	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0.658536585365854	0	0	0.153658536585366	0.0658536585365854	0	0	0	0.0219512195121951	0	0	0	0
"Cinnamomum_verum"	0	0	0	0	0	0	0.317647058823529	0.317647058823529	0	0	0	0	0.0794117647058824	0.0794117647058824	0	0.0529411764705882	0	0.0264705882352941	0.0264705882352941
"Ochna_kirkii"	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0
"Premna_serratifolia"	0	0	0	0	0	0	0	0	0	0	0.3375	0.45	0	0	0	0	0.1125	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.502105263157895	0.284210526315789	0.113684210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.225	0	0.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Xylocopa_caffra"	0.15	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0	0.7875	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neavella_albipectus"	0	0.45	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megachile_seychellensis"	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Parasarcophaga_hirticeps"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Polistes_olivaceus"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Chalcidoma_disjunctum"	0.45	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eristalinus_vicarians"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_sp1_M_PL_110"	0.45	0	0	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dichaetomyia_fasciculifera"	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
