"Clethrionomys_glareolus"	"Sorex_araneus"	"Apodemus_flavicollis"	"Apodemus_agrarius"	"Microtus_arvalis"	"Microtus_subterraneus"	"Microtus_agrestis"	"Apodemus_sylvaticus"	"Neomys_fodiens"	"Apodemus_uralensis"	"Sorex_alpinus"	"Neomys_anomalus"	"Myoxus_glis"	"Sorex_minutus"	"Crocidura_suaveolens"	"Muscardinus_avellanarius"	"Microtus_tatricus"	"Talpa_europaea"	"Arvicola_terrestris"	"Sicista_betulina"	"Dryomys_nitedula"	"Micromys_minutus"	"Ctenophthalmus_agyrtes"	"Megabothris_turbidus"	"Palaeopsylla_soricis"	"Amalaraeus_penicilliger"	"Peromyscopsylla_bidentata"	"Doratopsylla_dasycnema"	"Ctenophthalmus_assimilis"	"Peromyscopsylla_silvatica"	"Leptopsylla_segnis"	"Ctenophthalmus_solutus"	"Amalaraeus_arvicolae"	"Ctenophthalmus_uncinatus"	"Ctenophthalmus_congener"	"Hystrichopsylla_talpae"	"Hystrichopsylla_orientalis"	"Rhadinopsylla_integella"	"Ctenophthalmus_obtusus"	"Peromyscopsylla_fallax"	"Ceratophyllus_sciurorum"	"Nosopsyllus_fasciatus"	"Amphipsylla_rossica"	"Atyphloceras_nuperus"	"Rhadinopsylla_pentacantha"	"Palaeopsylla_kohauti"	"Ctenophthalmus_bisoctodentatus"
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2989449003517	0.107620164126612	0.00175849941383353	0.161078546307151	0.120984759671747	0.00316529894490035	0.00738569753810082	0.0604923798358734	0.00140679953106682	0.00175849941383353	0.000703399765533412	0.033411488862837	0.0242672919109027	0.00457209847596717	0.00562719812426729	0.0235638921453693	0.0225087924970692	0.0151230949589683	0.000703399765533412	0.000703399765533412	0	0.00316529894490035	0.00105509964830012	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0542662116040956	0.00409556313993174	0.477133105802048	0.00204778156996587	0.00921501706484642	0.286689419795222	0.016382252559727	0.00102389078498294	0.00102389078498294	0.00614334470989761	0	0.00204778156996587	0.00102389078498294	0.0174061433447099	0.00921501706484642	0.00102389078498294	0	0	0	0	0	0	0	0.00921501706484642	0.00204778156996587
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44015625	0.2221875	0.01125	0.00421875	0.00140625	0.005625	0.0084375	0.0028125	0.02671875	0.118125	0	0.00421875	0.0028125	0.01125	0.01828125	0.005625	0.0028125	0	0.00421875	0.00703125	0	0.00140625	0.00140625	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.418353344768439	0.0957118353344768	0.00771869639794168	0	0.00154373927958834	0	0.00771869639794168	0	0.23156089193825	0.0432246998284734	0	0.00308747855917667	0.00154373927958834	0.0355060034305317	0.023156089193825	0.00463121783876501	0	0.00463121783876501	0	0.0200686106346484	0	0	0	0	0.00154373927958834
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379613356766257	0.134446397188049	0	0.0442882249560633	0.0490333919156415	0.00474516695957821	0.208787346221441	0.0126537785588752	0.0031634446397188	0.0031634446397188	0.0031634446397188	0.0031634446397188	0.00474516695957821	0.00790861159929701	0.0142355008787346	0.00632688927943761	0	0	0	0.0015817223198594	0.0189806678383128	0	0	0	0
"Microtus_subterraneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373552123552124	0.0260617760617761	0.00868725868725869	0.0434362934362934	0.0903474903474903	0	0.00347490347490348	0.0138996138996139	0.00173745173745174	0.00173745173745174	0.262355212355212	0.00173745173745174	0.0208494208494209	0.00694980694980695	0.00694980694980695	0.00521235521235521	0	0.0191119691119691	0	0	0	0.00173745173745174	0.0121621621621622	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398823529411765	0.0635294117647059	0.00176470588235294	0.0547058823529412	0.127058823529412	0.00176470588235294	0.0688235294117647	0.0635294117647059	0.00352941176470588	0.00352941176470588	0.0229411764705882	0.00176470588235294	0.00529411764705882	0.0317647058823529	0.0264705882352941	0.00882352941176471	0.00176470588235294	0.0105882352941176	0	0	0.00176470588235294	0.00176470588235294	0	0	0
"Apodemus_sylvaticus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481395348837209	0.154883720930233	0.00418604651162791	0.0125581395348837	0	0.00418604651162791	0.00418604651162791	0	0.104651162790698	0.0669767441860465	0	0.0125581395348837	0.0125581395348837	0.00418604651162791	0.00418604651162791	0.0125581395348837	0	0	0	0.0167441860465116	0.00418604651162791	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123287671232877	0.0123287671232877	0.536301369863014	0	0.0184931506849315	0.135616438356164	0.0123287671232877	0	0.00616438356164384	0.00616438356164384	0	0	0	0.0123287671232877	0.0246575342465753	0	0	0	0	0	0	0	0.00616438356164384	0	0.00616438356164384
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241237113402062	0.129896907216495	0	0.0278350515463918	0.0185567010309278	0.00927835051546392	0.0927835051546392	0	0	0.352577319587629	0	0	0	0	0.0278350515463918	0	0	0	0	0	0	0	0	0	0
