"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Microtus_maximowiczii"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Amphipsylla_marikovskii"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Ceratophyllus_indages"	"Amalaraeus_ioffi"	"Catallagia_striata"	"Amalaraeus_penicilliger"	"Hystrichopsylla_microti"	"Neopsylla_acanthina"	"Peromyscopsylla_silvatica"	"Ctenophthalmus_pisticus"	"Rhadinopsylla_integella"	"Stenoponia_montana"	"Ctenophthalmus_congeneroides"	"Tarsopsylla_octodecimdentata"	"Frontopsylla_elata"	"Ctenophyllus_armatus"	"Megabothris_bispinosa"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"
"Clethrionomys_rutilus"	0	0	0	0	0	0	0.211665098777046	0.13969896519285	0.105409219190969	0.116415804327375	0.00296331138287865	0.0761994355597366	0.0660395108184384	0.0660395108184384	0.0317497648165569	0.0105832549388523	0.0122765757290687	0.00169332079021637	0.0279397930385701	0.0215898400752587	0.00211665098777046	0	0	0.00296331138287865	0.00211665098777046	0.00126999059266228	0.00126999059266228
"Clethrionomys_rufocanus"	0	0	0	0	0	0	0.223916532905297	0.225361155698234	0.128571428571429	0.0548956661316212	0.0057784911717496	0.050561797752809	0.036115569823435	0.0317817014446228	0.043338683788122	0.0231139646869984	0.0491171749598716	0	0.0130016051364366	0.007223113964687	0	0	0.0043338683788122	0	0.0028892455858748	0	0
"Tamias_sibiricus"	0	0	0	0	0	0	0.0258485639686684	0	0	0.0140992167101828	0.580417754569191	0	0	0	0.00469973890339426	0.117493472584856	0	0.152741514360313	0	0	0	0	0	0	0	0.00469973890339426	0
"Apodemus_peninsulae"	0	0	0	0	0	0	0.244285714285714	0	0	0	0	0	0	0	0.0385714285714286	0.115714285714286	0.347142857142857	0.0771428571428572	0	0	0.0514285714285714	0	0.0257142857142857	0	0	0	0
"Microtus_maximowiczii"	0	0	0	0	0	0	0.0782608695652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0.665217391304348	0	0.156521739130435	0	0	0	0
"Sciurus_vulgaris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0
"Megabothris_advenarius"	0.655021834061135	0.203056768558952	0.014410480349345	0.0248908296943231	0.00262008733624454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_marikovskii"	0.611111111111111	0.288888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_dacenkoi"	0.66301775147929	0.23698224852071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_ioffi"	0.775862068965517	0.107210031347962	0.0169278996865204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_indages"	0.0244186046511628	0.013953488372093	0.861627906976744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_ioffi"	0.753488372093023	0.146511627906977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catallagia_striata"	0.775690607734807	0.124309392265193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.78876404494382	0.11123595505618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_microti"	0.613636363636364	0.245454545454545	0.0163636363636364	0.0245454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neopsylla_acanthina"	0.225	0.144	0.45	0.081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.29	0.34	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_pisticus"	0.048	0	0.78	0.072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0.792	0.108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Stenoponia_montana"	0.819642857142857	0.0803571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_congeneroides"	0.173076923076923	0	0	0.138461538461538	0.588461538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tarsopsylla_octodecimdentata"	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Frontopsylla_elata"	0	0.3	0	0.2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophyllus_armatus"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_bispinosa"	0.642857142857143	0.257142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_fasciatus"	0.54	0	0.36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ceratophyllus_anisus"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
