"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Paragenipa_wrightii"	"Phoenicophorium_borsigianum"	"Cinnamomum_verum"	"Dillenia_ferruginea"	"Nepenthes_pervillei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_122"	"Neophyllomyza_approximatonervis"	"Cratopus_aurostriatus"	"Scaptodrosophila_sp1_M_PL_122"	"Rhiparida_seychellensis"	"Dichaetomyia_fasciculifera"	"Phelsuma_sp1_M_PL_122"	"Unidentified_sp3_M_PL_122"	"Megachile_seychellensis"	"Pachycerina_seychellensis"	"Plagiostenopterina_cyanosoma"	"Simosyrphus_aegyptius"	"Eristalinus_vicarians"	"Eristalodes_seychellarum"	"Nectarinia_dussumieri"	"Physiphoa_azurea"	"Polistes_olivaceus"	"Unidentified_sp2_M_PL_122"	"Xylocopa_caffra"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0.266197183098592	0.253521126760563	0.0126760563380282	0.0126760563380282	0.13943661971831	0.0887323943661972	0.0126760563380282	0.0126760563380282	0.0380281690140845	0	0.0253521126760563	0	0.0253521126760563	0	0.0126760563380282	0	0	0	0	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0.855	0	0	0	0	0	0.0225	0	0	0	0	0	0	0	0	0	0	0	0.0225	0	0	0	0
"Paragenipa_wrightii"	0	0	0	0	0	0	0	0.276923076923077	0.461538461538462	0	0	0	0	0	0	0	0	0.0230769230769231	0.0692307692307692	0	0.0461538461538462	0	0	0	0	0	0	0	0.0230769230769231	0
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0.0290322580645161	0.406451612903226	0.203225806451613	0	0	0	0.0290322580645161	0.145161290322581	0	0	0.0290322580645161	0	0	0	0.0290322580645161	0	0	0	0	0	0	0	0.0290322580645161
"Cinnamomum_verum"	0	0	0	0	0	0	0	0.490909090909091	0.245454545454545	0.0818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409090909090909	0.0409090909090909	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0.471428571428571	0.0857142857142857	0.0428571428571429	0	0	0	0.128571428571429	0	0.0857142857142857	0	0	0	0	0	0	0	0.0428571428571429	0.0428571428571429	0	0	0	0	0
"Nepenthes_pervillei"	0	0	0	0	0	0	0	0	0	0.128571428571429	0.428571428571429	0	0.0857142857142857	0	0	0	0.171428571428571	0	0	0	0	0	0.0857142857142857	0	0	0	0	0	0	0
"Apis_mellifera"	0.198947368421053	0.36	0.113684210526316	0.00947368421052632	0.113684210526316	0.104210526315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.290322580645161	0	0.290322580645161	0.203225806451613	0.0870967741935484	0.0290322580645161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hemipyrellia_germana"	0.0642857142857143	0	0	0.45	0.128571428571429	0.0642857142857143	0.192857142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ornidia_obesa"	0.0818181818181818	0	0	0	0	0	0.818181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp1_M_PL_122"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neophyllomyza_approximatonervis"	0.7	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cratopus_aurostriatus"	0.15	0.15	0	0.15	0	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
