"Syzygium_glomeratum"	"Stillingia_lineata"	"Badula_insularis"	"Aphloia_theiformis"	"Syzygium_petrinese"	"Diospyros_revaughanii"	"Pleurostylia_leucocarpa"	"Calophyllum_eputamen"	"Pandanus_rigidifolius"	"Turraea_rigida"	"Xyris_sp1_M_PL_071"	"Apis_mellifera"	"Stomorhina_lunata"	"Musca_domestica"	"Chrysomya_megacephala"	"Ophyra_capensis"	"Paragus_borbonicus"	"Eristalinus_flaveolus"	"Ornidia_obesa"	"Phelsuma_cepediana"	"Polistes_hebraeus"	"Phorinia_sp1_M_PL_071"	"Trirhithrum_sp1_M_PL_071"	"Sepsis_lateralis"	"Episyrphus_sp1_M_PL_071"	"Graphomya_maculata"	"Lygistorrhina_sp1_M_PL_071"	"Syritta_sp1_M_PL_071"	"Lecithoceridae_sp1_M_PL_071"	"Nacoleia_sp1_M_PL_071"	"Pachycerina_crinicornis"	"Paleorhiza_sp1_M_PL_071"	"Scolia_carniflex"	"Simulium_sp1_M_PL_071"	"Simulium_sp2_M_PL_071"	"Zizeeria_knysa"	"Zosterops_mauritianus"
"Syzygium_glomeratum"	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.18	0.21	0	0.03	0.09	0	0	0	0.15	0	0	0.09	0	0	0	0.03	0	0	0	0	0	0	0	0
"Stillingia_lineata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.144	0.144	0	0	0	0	0	0	0.108	0.144	0	0.108	0	0	0	0	0.036	0	0	0	0.036	0	0
"Badula_insularis"	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0.385714285714286	0.0428571428571429	0.0428571428571429	0	0	0.0428571428571429	0.214285714285714	0	0	0.0428571428571429	0.0428571428571429	0	0	0	0	0	0	0	0	0	0	0	0	0.0428571428571429	0
"Aphloia_theiformis"	0	0	0	0	0	0	0	0	0	0	0	0.15	0.25	0.1	0.05	0.1	0.05	0.1	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0
"Syzygium_petrinese"	0	0	0	0	0	0	0	0	0	0	0	0.264705882352941	0	0	0	0	0	0	0	0.264705882352941	0.317647058823529	0	0	0	0	0	0	0	0	0	0	0.0529411764705882	0	0	0	0	0
"Diospyros_revaughanii"	0	0	0	0	0	0	0	0	0	0	0	0.73125	0.05625	0	0	0	0	0	0.05625	0	0	0	0	0	0	0	0	0	0	0.05625	0	0	0	0	0	0	0
"Pleurostylia_leucocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0.05625	0.16875	0	0.05625	0.28125	0	0	0	0	0	0.05625	0	0	0	0.1125	0.1125	0	0	0	0	0	0.05625	0	0	0
"Calophyllum_eputamen"	0	0	0	0	0	0	0	0	0	0	0	0.3375	0.225	0	0	0.1125	0	0.1125	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pandanus_rigidifolius"	0	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Turraea_rigida"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
