"Microtus_arvalis"	"Sorex_araneus"	"Neomys_fodiens"	"Clethrionomys_glareolus"	"Talpa_europaea"	"Microtus_agrestis"	"Arvicola_terrestris"	"Sorex_minutus"	"Apodemus_uralensis"	"Apodemus_agrarius"	"Sicista_betulina"	"Sorex_minutissimus"	"Apodemus_flavicollis"	"Micromys_minutus"	"Crocidura_suaveolens"	"Palaeopsylla_soricis"	"Ctenophthalmus_assimilis"	"Amphipsylla_rossica"	"Ctenophthalmus_agyrtes"	"Doratopsylla_dasycnema"	"Megabothris_turbidus"	"Ctenophthalmus_uncinatus"	"Hystrichopsylla_talpae"	"Amalaraeus_penicilliger"	"Megabothris_rectangulatus"	"Ctenophthalmus_bisoctodentatus"	"Amphipsylla_vinogradovi"	"Paradoxopsyllus_scorodumovi"	"Leptopsylla_segnis"	"Peromyscopsylla_bidentata"	"Peromyscopsylla_silvatica"	"Nosopsyllus_fasciatus"	"Rhadinopsylla_integella"
"Microtus_arvalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0721546170365068	0.370758768790265	0.270257695060845	0.0470293486041518	0.00418754473872584	0.066034359341446	0.0190050107372942	0.0190050107372942	0.0144953471725125	0.0109520400858984	0.000966356478167502	0.000966356478167502	0.000644237652111668	0.00161059413027917	0.00128847530422334	0.000644237652111668	0	0
"Sorex_araneus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.645368052078117	0.0473209814722083	0.0193790686029044	0.0157736604907361	0.0950926389584377	0.0153229844767151	0.00811216825237857	0.0450676014021032	0.00135202804206309	0.00270405608412619	0	0.00135202804206309	0.000901352028042063	0.00225338007010516	0	0	0	0
"Neomys_fodiens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.723378839590444	0.047098976109215	0.00204778156996587	0.00409556313993174	0.0931740614334471	0.016382252559727	0.00307167235494881	0.00716723549488055	0	0	0.00102389078498294	0.0015358361774744	0.00102389078498294	0	0	0	0	0
"Clethrionomys_glareolus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0792822185970636	0.187928221859706	0.0484502446982055	0.139477977161501	0.0132137030995106	0.0367047308319739	0.160032626427406	0.033768352365416	0.101305057096248	0.0631321370309951	0.00146818923327896	0.00440456769983687	0.00293637846655791	0.00440456769983687	0.00734094616639478	0.0132137030995106	0	0.00293637846655791
"Talpa_europaea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168292682926829	0.207317073170732	0.0317073170731707	0.209756097560976	0.0317073170731707	0.00731707317073171	0.0682926829268293	0.0365853658536585	0	0	0.126829268292683	0.00731707317073171	0.0048780487804878	0	0	0	0	0
"Microtus_agrestis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0584745762711864	0.183050847457627	0.0330508474576271	0.165254237288136	0.0076271186440678	0.183050847457627	0.0915254237288136	0.0661016949152542	0.038135593220339	0.0457627118644068	0.00254237288135593	0.0076271186440678	0.00508474576271186	0.0076271186440678	0.00508474576271186	0	0	0
"Arvicola_terrestris"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0535315985130112	0.294423791821561	0.0301115241635688	0.281040892193309	0	0.194052044609665	0	0.0133828996282528	0.0133828996282528	0	0.0033457249070632	0.0100371747211896	0.00669144981412639	0	0	0	0	0
"Sorex_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578571428571429	0.107142857142857	0.075	0	0.0428571428571429	0.0214285714285714	0	0.0214285714285714	0	0	0	0.0321428571428571	0.0214285714285714	0	0	0	0	0
"Apodemus_uralensis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084375	0.2109375	0	0.225	0	0.0421875	0.0984375	0.028125	0	0.140625	0	0.0421875	0.028125	0	0	0	0	0
"Apodemus_agrarius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0435483870967742	0.420967741935484	0.145161290322581	0.130645161290323	0	0	0	0.0580645161290323	0	0	0	0.0435483870967742	0.0290322580645161	0	0	0	0.0290322580645161	0
"Sicista_betulina"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248275862068966	0.217241379310345	0	0.217241379310345	0	0	0.0620689655172414	0	0	0	0	0.0931034482758621	0.0620689655172414	0	0	0	0	0
"Sorex_minutissimus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0	0	0	0.1	0	0.1	0.1	0	0	0	0.15	0.1	0	0	0	0	0
"Apodemus_flavicollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.553846153846154	0	0.207692307692308	0.138461538461538	0	0	0	0	0
"Micromys_minutus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163636363636364	0	0	0	0.163636363636364	0	0.163636363636364	0	0	0	0.245454545454545	0.163636363636364	0	0	0	0	0
"Crocidura_suaveolens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0	0	0	0	0	0	0	0	0	0.3	0.2	0	0	0	0	0
"Palaeopsylla_soricis"	0.0608879492600423	0.389247961340985	0.384083358501963	0.014678344910903	0.0187556629417095	0.00625188764723648	0.00434913923286016	0.014678344910903	0.00163092721232256	0.000815463606161281	0.00217456961643008	0.00190274841437632	0	0	0.00054364240410752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_assimilis"	0.580011198208287	0.0529115341545353	0.0463605823068309	0.064501679731243	0.0428331466965286	0.0362821948488242	0.0443449048152296	0.00503919372900336	0.00755879059350504	0.0146136618141097	0.00352743561030235	0	0	0.00100783874580067	0.00100783874580067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_rossica"	0.777651905252317	0.0398558187435633	0.00370751802265705	0.0305870236869207	0.0120494335736354	0.0120494335736354	0.00834191555097837	0.00648815653964985	0	0.00926879505664264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_agyrtes"	0.238475499092559	0.0571687840290381	0.0130671506352087	0.155172413793103	0.140471869328494	0.106170598911071	0.137205081669691	0	0.0261343012704174	0.0147005444646098	0.0114337568058076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Doratopsylla_dasycnema"	0.0267734553775744	0.434553775743707	0.374828375286041	0.0185354691075515	0.0267734553775744	0.00617848970251716	0	0.00823798627002288	0	0	0	0.00411899313501144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_turbidus"	0.423165137614679	0.0701834862385321	0.0660550458715596	0.051605504587156	0.00619266055045872	0.148623853211009	0.119724770642202	0.00412844036697248	0.00619266055045872	0	0	0	0	0.00412844036697248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_uncinatus"	0.198876404494382	0.0606741573033708	0.0202247191011236	0.367415730337079	0.0943820224719101	0.121348314606742	0	0	0.0235955056179775	0	0.00674157303370787	0.00674157303370787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hystrichopsylla_talpae"	0.209881422924901	0.355731225296443	0.049802371541502	0.0818181818181818	0.0533596837944664	0.0924901185770751	0.0142292490118577	0.00711462450592885	0.00711462450592885	0.0142292490118577	0	0.00711462450592885	0	0.00711462450592885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amalaraeus_penicilliger"	0.297794117647059	0.0198529411764706	0	0.456617647058824	0	0.0992647058823529	0.0264705882352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Megabothris_rectangulatus"	0.257142857142857	0.0453781512605042	0	0.325210084033613	0	0.136134453781513	0	0	0.0756302521008403	0	0	0	0.0605042016806723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ctenophthalmus_bisoctodentatus"	0.045	0	0.03	0.015	0.78	0.015	0.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Amphipsylla_vinogradovi"	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Paradoxopsyllus_scorodumovi"	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Leptopsylla_segnis"	0.28125	0.28125	0	0.16875	0	0.16875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_bidentata"	0.327272727272727	0	0	0.409090909090909	0	0.163636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Peromyscopsylla_silvatica"	0.163636363636364	0	0	0.736363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Nosopsyllus_fasciatus"	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhadinopsylla_integella"	0	0	0	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
