"Nephrosperma_vanhoutteanum"	"Chrysobalanus_icaco"	"Memecylon_eleagni"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Phoenicophorium_borsigianum"	"Northea_hornei"	"Roscheria_melanochaetes"	"Campnosperma_seychellarum"	"Psychotria_pervillei"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp2_M_PL_121"	"Rhiparida_seychellensis"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_121"	"Unidentified_sp4_M_PL_121"	"Unidentified_sp6_M_PL_121"	"Unidentified_sp1_M_PL_121"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp3_M_PL_121"	"Cratopus_aurostriatus"	"Polistes_olivaceus"	"Simosyrphus_aegyptius"	"Unidentified_sp5_M_PL_121"	"Forcipomyia_litoraurea"	"Forcipomyia_sp1_M_PL_121"	"Lygistorrhina_sp1_M_PL_121"	"Nectarinia_dussumieri"	"Pachycerina_seychellensis"	"Unidentified_sp7_M_PL_121"	"Xylocopa_caffra"
"Nephrosperma_vanhoutteanum"	0	0	0	0	0	0	0	0	0	0	0.174626865671642	0.134328358208955	0.402985074626866	0.0671641791044776	0.0402985074626866	0.0134328358208955	0	0	0	0.0134328358208955	0	0	0.0134328358208955	0.0134328358208955	0	0.0134328358208955	0	0	0.0134328358208955	0	0	0	0
"Chrysobalanus_icaco"	0	0	0	0	0	0	0	0	0	0	0.765	0	0	0	0	0	0	0	0	0.045	0.045	0	0	0.045	0	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0	0	0	0	0	0	0	0	0	0	0.63	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0.09	0	0	0	0	0	0	0	0
"Erythroxylum_sechellarum"	0	0	0	0	0	0	0	0	0	0	0.426315789473684	0.236842105263158	0	0	0	0	0	0.236842105263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	0	0	0.211764705882353	0.370588235294118	0	0.105882352941176	0	0	0	0	0	0.0529411764705882	0.0529411764705882	0	0	0	0	0	0	0	0	0	0.0529411764705882	0	0.0529411764705882
"Phoenicophorium_borsigianum"	0	0	0	0	0	0	0	0	0	0	0	0.207692307692308	0	0	0.0692307692307692	0.0692307692307692	0.276923076923077	0	0	0	0.0692307692307692	0	0.0692307692307692	0	0	0.0692307692307692	0	0	0	0	0	0.0692307692307692	0
"Northea_hornei"	0	0	0	0	0	0	0	0	0	0	0.654545454545455	0	0	0	0	0.163636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0818181818181818	0	0	0
"Roscheria_melanochaetes"	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0.18	0	0.09	0	0	0	0	0.27	0	0	0	0	0.09	0.09	0	0	0	0	0
"Campnosperma_seychellarum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0	0	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Psychotria_pervillei"	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Apis_mellifera"	0.174626865671642	0.228358208955224	0.188059701492537	0.12089552238806	0.0537313432835821	0	0.107462686567164	0	0	0.026865671641791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lasioglossum_mahense"	0.290322580645161	0	0.116129032258065	0.145161290322581	0.203225806451613	0.0870967741935484	0	0.0580645161290323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Unidentified_sp2_M_PL_121"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Rhiparida_seychellensis"	0.5625	0	0	0	0.225	0	0	0	0.1125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
