"Hamelia_versicolor"	"Vitex_mollis"	"Combretum_farinosum"	"Ipomoea_bracteata"	"Mirabilis_sp1_M_PL_065"	"Ipomoea_wolcottiana"	"Opuntia_excelsa"	"Nopalea_karwinskiana"	"Ceiba_aesculifolia"	"Caesalpinia_pulcherrima"	"Cordia_seleriana"	"Psittacanthus_calyculatus"	"Tillandsia_bartramii"	"Pithecellobium_mangens"	"Tillandsia_paucifolia"	"Tillandsia_dasyrifolia"	"Groton_suberosus"	"Justicia_mexicana"	"Erythrina_lanata"	"Ipomoea_quamoclit"	"Tabebuia_donnell-smithii"	"Amazilia_rutila"	"Chlorostilbon_canivetii"	"Cynanthus_latirostris"	"Heliomaster_constantii"	"Archilochus_colubris"
"Hamelia_versicolor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472131147540984	0.26467958271237	0.144858420268256	0.0183308494783905	0
"Vitex_mollis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0246445497630332	0.875355450236967	0	0	0
"Combretum_farinosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588296860133206	0.114747859181732	0.196955280685062	0	0
"Ipomoea_bracteata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.679856115107914	0	0.160575539568345	0.0440287769784173	0.0155395683453237
"Mirabilis_sp1_M_PL_065"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0
"Ipomoea_wolcottiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0871578947368421	0	0.532421052631579	0	0.280421052631579
"Opuntia_excelsa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.796897374701671	0.00429594272076372	0	0.0988066825775656	0
"Nopalea_karwinskiana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135714285714286	0	0	0.764285714285714	0
"Ceiba_aesculifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.50531561461794	0	0.0747508305647841	0.319933554817276	0
"Caesalpinia_pulcherrima"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Cordia_seleriana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267567567567568	0.632432432432433	0	0	0
"Psittacanthus_calyculatus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254347826086956	0	0	0	0.645652173913043
"Tillandsia_bartramii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Pithecellobium_mangens"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0
"Tillandsia_paucifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.818181818181818	0	0.0727272727272727	0.00909090909090909	0
"Tillandsia_dasyrifolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Groton_suberosus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0
"Justicia_mexicana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273913043478261	0	0.626086956521739	0	0
"Erythrina_lanata"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
"Ipomoea_quamoclit"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0.36	0.18	0	0
"Tabebuia_donnell-smithii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	0
"Amazilia_rutila"	0.259105779716467	0.0127589967284624	0.168565976008724	0.12881679389313	0	0.0112868047982552	0.091030534351145	0.0139858233369684	0.0414667393675027	0.0596237731733915	0.013495092693566	0.00956924754634678	0.0291984732824427	0	0.022082878953108	0.020856052344602	0.0142311886586696	0.00343511450381679	0	0.000490730643402399	0	0	0	0	0	0
"Chlorostilbon_canivetii"	0.189541088580576	0.591355389541089	0.0429028815368196	0	0	0	0.00064034151547492	0	0	0	0.0416221985058698	0	0	0.0332977588046958	0	0	0	0	0	0.00064034151547492	0	0	0	0	0	0
"Cynanthus_latirostris"	0.176513317191283	0	0.125302663438257	0.0675544794188862	0.341585956416465	0.153087167070218	0	0	0.0136198547215496	0	0	0	0	0	0.00435835351089588	0	0	0.0174334140435835	0	0.000544794188861986	0	0	0	0	0	0
"Heliomaster_constantii"	0.0661290322580645	0	0	0.0548387096774194	0	0	0.0741935483870968	0.517741935483871	0.17258064516129	0	0	0	0	0	0.00161290322580645	0	0	0	0.00806451612903226	0	0.00483870967741936	0	0	0	0	0
"Archilochus_colubris"	0	0	0	0.0416988416988417	0	0.514285714285714	0	0	0	0	0	0.344015444015444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
